perfomance_names,perfomance_odds,contest
Martin Odegaard Perf,23 - 26,Arsenal v Nottingham Forest
Noni Madueke Perf,21 - 24,Arsenal v Nottingham Forest
Eberechi Eze Perf,21 - 24,Arsenal v Nottingham Forest
Declan Rice Perf,21 - 24,Arsenal v Nottingham Forest
Gabriel Magalhaes Perf,20 - 23,Arsenal v Nottingham Forest
Martin Zubimendi Perf,19 - 22,Arsenal v Nottingham Forest
Cristhian Mosquera Perf,19 - 22,Arsenal v Nottingham Forest
William Saliba Perf,19 - 22,Arsenal v Nottingham Forest
Riccardo Calafiori Perf,17 - 19.5,Arsenal v Nottingham Forest
Viktor Gyokeres Perf,16 - 18.5,Arsenal v Nottingham Forest
Jurrien Timber Perf,16 - 18.5,Arsenal v Nottingham Forest
Gabriel Martinelli Perf,15 - 17.5,Arsenal v Nottingham Forest
Myles Lewis-Skelly Perf,13 - 15.5,Arsenal v Nottingham Forest
Elliot Anderson Perf,14 - 16.5,Arsenal v Nottingham Forest
Ibrahim Sangare Perf,12.5 - 15,Arsenal v Nottingham Forest
Morgan Gibbs-White Perf,11.5 - 14,Arsenal v Nottingham Forest
Neco Williams Perf,11.5 - 14,Arsenal v Nottingham Forest
Murillo Perf,9.5 - 12,Arsenal v Nottingham Forest
Callum Hudson-Odoi Perf,9 - 11,Arsenal v Nottingham Forest
Dan Ndoye Perf,9 - 11,Arsenal v Nottingham Forest
Morato Perf,8 - 10,Arsenal v Nottingham Forest
Nikola Milenkovic Perf,7 - 9,Arsenal v Nottingham Forest
Chris Wood Perf,5 - 7,Arsenal v Nottingham Forest
Bruno Guimaraes Perf,24 - 27,Newcastle v Wolves
Fabian Schar Perf,22 - 25,Newcastle v Wolves
Sandro Tonali Perf,20 - 23,Newcastle v Wolves
Joelinton Perf,19 - 22,Newcastle v Wolves
Nick Woltemade Perf,19 - 22,Newcastle v Wolves
Harvey Barnes Perf,18.5 - 21,Newcastle v Wolves
Anthony Elanga Perf,18 - 20.5,Newcastle v Wolves
Lewis Hall Perf,17 - 19.5,Newcastle v Wolves
Dan Burn Perf,15 - 17.5,Newcastle v Wolves
Tino Livramento Perf,14.5 - 17,Newcastle v Wolves
Joao Gomes Perf,14 - 16.5,Newcastle v Wolves
Emmanuel Agbadou Perf,14 - 16.5,Newcastle v Wolves
Andre Perf,12 - 14.5,Newcastle v Wolves
Marshall Munetsi Perf,10.5 - 13,Newcastle v Wolves
Santiago Bueno Perf,10.5 - 13,Newcastle v Wolves
Toti Gomes Perf,10 - 12.5,Newcastle v Wolves
Jhon Arias Perf,9.5 - 12,Newcastle v Wolves
David Moller Wolfe Perf,9 - 11,Newcastle v Wolves
Hwang Hee-chan Perf,9 - 11,Newcastle v Wolves
Jackson Tchatchoua Perf,6.5 - 8.5,Newcastle v Wolves
Lucas Paqueta Perf,21 - 24,West Ham v Tottenham
Jarrod Bowen Perf,16.5 - 19,West Ham v Tottenham
Konstantinos Mavropanos Perf,14.5 - 17,West Ham v Tottenham
Mateus Fernandes Perf,14.5 - 17,West Ham v Tottenham
Aaron Wan-Bissaka Perf,14.5 - 17,West Ham v Tottenham
El Hadji Malick Diouf Perf,14 - 16.5,West Ham v Tottenham
James Ward Prowse Perf,13.5 - 16,West Ham v Tottenham
Jean-Clair Todibo Perf,13.5 - 16,West Ham v Tottenham
Tomas Soucek Perf,12.5 - 15,West Ham v Tottenham
Max Kilman Perf,12 - 14.5,West Ham v Tottenham
Kyle Walker-Peters Perf,11 - 13.5,West Ham v Tottenham
Crysencio Summerville Perf,10.5 - 13,West Ham v Tottenham
Niclas Fullkrug Perf,8 - 10,West Ham v Tottenham
Callum Wilson Perf,6.5 - 8.5,West Ham v Tottenham
Cristian Romero Perf,21 - 24,West Ham v Tottenham
Pedro Porro Perf,20 - 23,West Ham v Tottenham
Rodrigo Bentancur Perf,19 - 22,West Ham v Tottenham
Joao Palhinha Perf,18.5 - 21,West Ham v Tottenham
Mohammed Kudus Perf,17.5 - 20,West Ham v Tottenham
Micky van de Ven Perf,17.5 - 20,West Ham v Tottenham
Xavi Simons Perf,17.5 - 20,West Ham v Tottenham
Richarlison Perf,17 - 19.5,West Ham v Tottenham
Djed Spence Perf,17 - 19.5,West Ham v Tottenham
Pape Matar Sarr Perf,16.5 - 19,West Ham v Tottenham
Lucas Bergvall Perf,16.5 - 19,West Ham v Tottenham
Randal Kolo Muani Perf,14 - 16.5,West Ham v Tottenham
Brennan Johnson Perf,13 - 15.5,West Ham v Tottenham
Mikkel Damsgaard Perf,13.5 - 16,Brentford v Chelsea
Dango Ouattara Perf,12.5 - 15,Brentford v Chelsea
Fabio Carvalho Perf,12.5 - 15,Brentford v Chelsea
Yehor Yarmolyuk Perf,11.5 - 14,Brentford v Chelsea
Jordan Henderson Perf,12 - 14.5,Brentford v Chelsea
Frank Onyeka Perf,12 - 14.5,Brentford v Chelsea
Mathias Jensen Perf,11.5 - 14,Brentford v Chelsea
Nathan Collins Perf,11 - 13.5,Brentford v Chelsea
Igor Thiago Perf,11.5 - 14,Brentford v Chelsea
Kevin Schade Perf,10.5 - 13,Brentford v Chelsea
Sepp van den Berg Perf,9.5 - 12,Brentford v Chelsea
Rico Henry Perf,9.5 - 12,Brentford v Chelsea
Michael Kayode Perf,9 - 11.5,Brentford v Chelsea
Keane Lewis-Potter Perf,7 - 9,Brentford v Chelsea
Enzo Fernandez Perf,21 - 24,Brentford v Chelsea
Moises Caicedo Perf,19 - 22,Brentford v Chelsea
Andrey Santos Perf,18 - 20.5,Brentford v Chelsea
Joao Pedro Perf,17.5 - 20,Brentford v Chelsea
Marc Cucurella Perf,17 - 19.5,Brentford v Chelsea
Tosin Adarabioyo Perf,17 - 19.5,Brentford v Chelsea
Reece James Perf,17 - 19.5,Brentford v Chelsea
Trevoh Chalobah Perf,16.5 - 19,Brentford v Chelsea
Estevao Perf,15.5 - 18,Brentford v Chelsea
Alejandro Garnacho Perf,16 - 18.5,Brentford v Chelsea
Malo Gusto Perf,16 - 18.5,Brentford v Chelsea
Cole Palmer Perf,14.5 - 17,Brentford v Chelsea
Pedro Neto Perf,13.5 - 16,Brentford v Chelsea
Jamie Gittens Perf,12 - 14.5,Brentford v Chelsea
Jaidon Anthony Perf,13 - 15.5,Burnley v Liverpool
Quilindschy Hartman Perf,10.5 - 13,Burnley v Liverpool
Josh Cullen Perf,10 - 12.5,Burnley v Liverpool
Hannibal Mejbri Perf,9.5 - 12,Burnley v Liverpool
Lyle Foster Perf,7.5 - 9.5,Burnley v Liverpool
Kyle Walker Perf,7 - 9,Burnley v Liverpool
Mohamed Salah Perf,26 - 29,Burnley v Liverpool
Florian Wirtz Perf,24 - 27,Burnley v Liverpool
Alexis Mac Allister Perf,21 - 24,Burnley v Liverpool
Virgil van Dijk Perf,20 - 23,Burnley v Liverpool
Cody Gakpo Perf,19 - 22,Burnley v Liverpool
Hugo Ekitike Perf,18.5 - 21,Burnley v Liverpool
Alexander Isak Perf,18 - 20.5,Burnley v Liverpool
Ryan Gravenberch Perf,17.5 - 20,Burnley v Liverpool
Rodri Perf,24 - 27,Man City v Man Utd
Rayan Ait-Nouri Perf,20 - 23,Man City v Man Utd
Tijjani Reijnders Perf,20 - 23,Man City v Man Utd
Josko Gvardiol Perf,20 - 23,Man City v Man Utd
Erling Haaland Perf,19 - 22,Man City v Man Utd
Ruben Dias Perf,19 - 22,Man City v Man Utd
Oscar Bobb Perf,17 - 19.5,Man City v Man Utd
Phil Foden Perf,16.5 - 19,Man City v Man Utd
Jeremy Doku Perf,15.5 - 18,Man City v Man Utd
Matheus Nunes Perf,14.5 - 17,Man City v Man Utd
Bernardo Silva Perf,14.5 - 17,Man City v Man Utd
Savinho Perf,14.5 - 17,Man City v Man Utd
John Stones Perf,14 - 16.5,Man City v Man Utd
Rico Lewis Perf,13.5 - 16,Man City v Man Utd
Bruno Fernandes Perf,22 - 25,Man City v Man Utd
Casemiro Perf,15 - 17.5,Man City v Man Utd
Bryan Mbeumo Perf,14.5 - 17,Man City v Man Utd
Noussair Mazraoui Perf,14 - 16.5,Man City v Man Utd
Leny Yoro Perf,13 - 15.5,Man City v Man Utd
Manuel Ugarte Perf,13 - 15.5,Man City v Man Utd
Patrick Dorgu Perf,13 - 15.5,Man City v Man Utd
Harry Maguire Perf,12.5 - 15,Man City v Man Utd
Amad Diallo Perf,12 - 14.5,Man City v Man Utd
Matthijs De Ligt Perf,11.5 - 14,Man City v Man Utd
Kobbie Mainoo Perf,10.5 - 13,Man City v Man Utd
Joshua Zirkzee Perf,8.5 - 10.5,Man City v Man Utd
Luke Shaw Perf,8.5 - 10.5,Man City v Man Utd
Benjamin Sesko Perf,8 - 10,Man City v Man Utd
