perfomance_names,perfomance_odds,contest
Erling Haaland Perf,22 - 25,Man City v Tottenham
Ruben Dias Perf,22 - 25,Man City v Tottenham
Bernardo Silva Perf,20 - 23,Man City v Tottenham
Jeremy Doku Perf,20 - 23,Man City v Tottenham
Rayan Ait-Nouri Perf,19.5 - 22,Man City v Tottenham
Nico Gonzalez Perf,19.5 - 22,Man City v Tottenham
Oscar Bobb Perf,19 - 21.5,Man City v Tottenham
Matheus Nunes Perf,18.5 - 21,Man City v Tottenham
Omar Marmoush Perf,17.5 - 20,Man City v Tottenham
Manuel Akanji Perf,17.5 - 20,Man City v Tottenham
John Stones Perf,17 - 19.5,Man City v Tottenham
Rico Lewis Perf,16 - 18.5,Man City v Tottenham
Rayan Cherki Perf,11.5 - 14,Man City v Tottenham
Tijani Reijnders Perf,10 - 12.5,Man City v Tottenham
Pedro Porro Perf,16.5 - 19,Man City v Tottenham
Cristian Romero Perf,16 - 18.5,Man City v Tottenham
Rodrigo Bentancur Perf,14 - 16.5,Man City v Tottenham
Kevin Danso Perf,13.5 - 16,Man City v Tottenham
Micky van de Ven Perf,13.5 - 16,Man City v Tottenham
Lucas Bergvall Perf,13.5 - 16,Man City v Tottenham
Pape Sarr Perf,12.5 - 15,Man City v Tottenham
Djed Spence Perf,12.5 - 15,Man City v Tottenham
Richarlison Perf,10 - 12.5,Man City v Tottenham
Mohammed Kudus Perf,10.5 - 13,Man City v Tottenham
Archie Gray Perf,10 - 12.5,Man City v Tottenham
Brennan Johnson Perf,9.5 - 11.5,Man City v Tottenham
Dominic Solanke Perf,8.5 - 10.5,Man City v Tottenham
Joao Palhinha Perf,5.5 - 7.5,Man City v Tottenham
Bukayo Saka Perf,27 - 30,Arsenal v Leeds
Martin Odegaard Perf,23 - 26,Arsenal v Leeds
Declan Rice Perf,22 - 25,Arsenal v Leeds
Martin Zubimendi Perf,22 - 25,Arsenal v Leeds
Gabriel Perf,21 - 24,Arsenal v Leeds
Riccardo Calafiori Perf,20 - 23,Arsenal v Leeds
William Saliba Perf,20 - 23,Arsenal v Leeds
Viktor Gyokeres Perf,18 - 20.5,Arsenal v Leeds
