perfomance_names,perfomance_odds,contest
Dango Ouattara Perf,16 - 18.5,Brentford v Man Utd
Mikkel Damsgaard Perf,15.5 - 18,Brentford v Man Utd
Kevin Schade Perf,13.5 - 16,Brentford v Man Utd
Yehor Yarmolyuk Perf,13.5 - 16,Brentford v Man Utd
Fabio Carvalho Perf,13.5 - 16,Brentford v Man Utd
Igor Thiago Perf,12.5 - 15,Brentford v Man Utd
Nathan Collins Perf,12 - 14.5,Brentford v Man Utd
Ethan Pinnock Perf,11.5 - 14,Brentford v Man Utd
Jordan Henderson Perf,11.5 - 14,Brentford v Man Utd
Sepp van den Berg Perf,11.5 - 14,Brentford v Man Utd
Mathias Jensen Perf,11.5 - 14,Brentford v Man Utd
Michael Kayode Perf,9.5 - 12,Brentford v Man Utd
Rico Henry Perf,9 - 11.5,Brentford v Man Utd
Keane Lewis-Potter Perf,8.5 - 10.5,Brentford v Man Utd
Bruno Fernandes Perf,26 - 29,Brentford v Man Utd
Bryan Mbeumo Perf,19 - 22,Brentford v Man Utd
Matheus Cunha Perf,17.5 - 20,Brentford v Man Utd
Patrick Dorgu Perf,16.5 - 19,Brentford v Man Utd
Mason Mount Perf,16.5 - 19,Brentford v Man Utd
Amad Diallo Perf,16.5 - 19,Brentford v Man Utd
Harry Maguire Perf,16 - 18.5,Brentford v Man Utd
Matthijs de Ligt Perf,16 - 18.5,Brentford v Man Utd
Manuel Ugarte Perf,15.5 - 18,Brentford v Man Utd
Leny Yoro Perf,15 - 17.5,Brentford v Man Utd
Kobbie Mainoo Perf,13 - 15.5,Brentford v Man Utd
Luke Shaw Perf,12 - 14.5,Brentford v Man Utd
Noussair Mazraoui Perf,12 - 14.5,Brentford v Man Utd
Benjamin Sesko Perf,11 - 13.5,Brentford v Man Utd
Enzo Fernandez Perf,Suspended,Chelsea v Brighton
Andrey Santos Perf,Suspended,Chelsea v Brighton
Alejandro Garnacho Perf,Suspended,Chelsea v Brighton
Joao Pedro Perf,Suspended,Chelsea v Brighton
Pedro Neto Perf,Suspended,Chelsea v Brighton
Marc Cucurella Perf,Suspended,Chelsea v Brighton
Estevao Perf,Suspended,Chelsea v Brighton
Moises Caicedo Perf,Suspended,Chelsea v Brighton
Jamie Gittens Perf,Suspended,Chelsea v Brighton
Trevoh Chalobah Perf,Suspended,Chelsea v Brighton
Reece James Perf,Suspended,Chelsea v Brighton
Wesley Fofana Perf,Suspended,Chelsea v Brighton
Georginio Rutter Perf,Suspended,Chelsea v Brighton
Kaoru Mitoma Perf,Suspended,Chelsea v Brighton
Danny Welbeck Perf,Suspended,Chelsea v Brighton
Yankuba Minteh Perf,Suspended,Chelsea v Brighton
Brajan Gruda Perf,Suspended,Chelsea v Brighton
Ferdi Kadioglu Perf,Suspended,Chelsea v Brighton
Yasin Ayari Perf,Suspended,Chelsea v Brighton
Carlos Baleba Perf,Suspended,Chelsea v Brighton
Joel Veltman Perf,Suspended,Chelsea v Brighton
Maxime De Cuyper Perf,Suspended,Chelsea v Brighton
Lewis Dunk Perf,Suspended,Chelsea v Brighton
Jan Paul van Hecke Perf,Suspended,Chelsea v Brighton
Daichi Kamada Perf,15 - 17.5,Crystal Palace v Liverpool
Daniel Munoz Perf,14 - 16.5,Crystal Palace v Liverpool
Justin Devenny Perf,13 - 15.5,Crystal Palace v Liverpool
Ismaila Sarr Perf,12.5 - 15,Crystal Palace v Liverpool
Adam Wharton Perf,12.5 - 15,Crystal Palace v Liverpool
Maxence Lacroix Perf,11 - 13.5,Crystal Palace v Liverpool
Will Hughes Perf,10.5 - 13,Crystal Palace v Liverpool
Tyrick Mitchell Perf,10 - 12.5,Crystal Palace v Liverpool
Marc Guehi Perf,10 - 12.5,Crystal Palace v Liverpool
Chris Richards Perf,9 - 11.5,Crystal Palace v Liverpool
Jean-Philippe Mateta Perf,9 - 11.5,Crystal Palace v Liverpool
Virgil van Dijk Perf,20 - 23,Crystal Palace v Liverpool
Alexis MacAllister Perf,19 - 22,Crystal Palace v Liverpool
Dominik Szoboszlai Perf,18.5 - 21,Crystal Palace v Liverpool
Mohamed Salah Perf,17.5 - 20,Crystal Palace v Liverpool
Florian Wirtz Perf,17.5 - 20,Crystal Palace v Liverpool
Ibrahima Konate Perf,17.5 - 20,Crystal Palace v Liverpool
Ryan Gravenberch Perf,16 - 18.5,Crystal Palace v Liverpool
Cody Gakpo Perf,14.5 - 17,Crystal Palace v Liverpool
Milos Kerkez Perf,14.5 - 17,Crystal Palace v Liverpool
Alexander Isak Perf,13.5 - 16,Crystal Palace v Liverpool
Conor Bradley Perf,12 - 14.5,Crystal Palace v Liverpool
Jeremie Frimpong Perf,11 - 13.5,Crystal Palace v Liverpool
Elliot Anderson Perf,25 - 28,Nottingham Forest v Sunderland
Morgan Gibbs-White Perf,20 - 23,Nottingham Forest v Sunderland
Douglas Luiz Perf,21 - 24,Nottingham Forest v Sunderland
Neco Williams Perf,20 - 23,Nottingham Forest v Sunderland
Dan Ndoye Perf,17 - 19.5,Nottingham Forest v Sunderland
Dilane Bakwa Perf,17 - 19.5,Nottingham Forest v Sunderland
Chris Wood Perf,15 - 17.5,Nottingham Forest v Sunderland
Oleksandr Zinchenko Perf,15 - 17.5,Nottingham Forest v Sunderland
Morato Perf,14.5 - 17,Nottingham Forest v Sunderland
Nikola Milenkovic Perf,14 - 16.5,Nottingham Forest v Sunderland
Omar Alderete Perf,15 - 17.5,Nottingham Forest v Sunderland
Trai Hume Perf,14.5 - 17,Nottingham Forest v Sunderland
Arthur Masuaku Perf,14.5 - 17,Nottingham Forest v Sunderland
Nordi Mukiele Perf,14 - 16.5,Nottingham Forest v Sunderland
Granit Xhaka Perf,12.5 - 15,Nottingham Forest v Sunderland
Noah Sadiki Perf,10.5 - 13,Nottingham Forest v Sunderland
Habib Diarra Perf,9.5 - 12,Nottingham Forest v Sunderland
Simon Adingra Perf,9.5 - 12,Nottingham Forest v Sunderland
Wilson Isidor Perf,7 - 9,Nottingham Forest v Sunderland
Chemsdine Talbi Perf,7 - 9,Nottingham Forest v Sunderland
