perfomance_names,perfomance_odds,contest
Kenny Tete Perf,13.5 - 16,Fulham v Man City
Joachim Andersen Perf,13 - 15.5,Fulham v Man City
Kevin Perf,13 - 15.5,Fulham v Man City
Tom Cairney Perf,13.5 - 16,Fulham v Man City
Calvin Bassey Perf,13 - 15.5,Fulham v Man City
Raul Jimenez Perf,11.5 - 14,Fulham v Man City
Emile Smith Rowe Perf,11.5 - 14,Fulham v Man City
Joshua King Perf,11.5 - 14,Fulham v Man City
Harry Wilson Perf,11.5 - 14,Fulham v Man City
Sander Berge Perf,11.5 - 14,Fulham v Man City
Ryan Sessegnon Perf,11 - 13.5,Fulham v Man City
Sasa Lukic Perf,11.5 - 14,Fulham v Man City
Timothy Castagne Perf,11.5 - 14,Fulham v Man City
Alex Iwobi Perf,10.5 - 13,Fulham v Man City
Samuel Chukwueze Perf,9 - 11.5,Fulham v Man City
Adama Traore Perf,9 - 11.5,Fulham v Man City
Nico Gonzalez Perf,19 - 22,Fulham v Man City
Erling Haaland Perf,19 - 22,Fulham v Man City
Rayan Cherki Perf,19 - 22,Fulham v Man City
Rayan Ait-Nouri Perf,19 - 22,Fulham v Man City
Omar Marmoush Perf,18.5 - 21,Fulham v Man City
Josko Gvardiol Perf,18 - 20.5,Fulham v Man City
Ruben Dias Perf,18 - 20.5,Fulham v Man City
Tijjani Reijnders Perf,17 - 19.5,Fulham v Man City
Phil Foden Perf,17 - 19.5,Fulham v Man City
Jeremy Doku Perf,17 - 19.5,Fulham v Man City
Savinho Perf,17 - 19.5,Fulham v Man City
Matheus Nunes Perf,16 - 18.5,Fulham v Man City
Nico O'Reilly Perf,16 - 18.5,Fulham v Man City
Nathan Ake Perf,15.5 - 18,Fulham v Man City
Bernardo Silva Perf,15 - 17.5,Fulham v Man City
Rico Lewis Perf,15 - 17.5,Fulham v Man City
John Stones Perf,14.5 - 17,Fulham v Man City
Bruno Guimaraes Perf,21 - 24,Newcastle v Tottenham
Anthony Gordon Perf,20 - 23,Newcastle v Tottenham
Sandro Tonali Perf,18.5 - 21,Newcastle v Tottenham
Lewis Hall Perf,18 - 20.5,Newcastle v Tottenham
Jacob Ramsey Perf,17.5 - 20,Newcastle v Tottenham
Fabian Schar Perf,17.5 - 20,Newcastle v Tottenham
Harvey Barnes Perf,17 - 19.5,Newcastle v Tottenham
Joelinton Perf,16.5 - 19,Newcastle v Tottenham
Nick Woltemade Perf,16.5 - 19,Newcastle v Tottenham
Malick Thiaw Perf,15.5 - 18,Newcastle v Tottenham
Sven Botman Perf,15.5 - 18,Newcastle v Tottenham
Anthony Elanga Perf,15 - 17.5,Newcastle v Tottenham
Lewis Miley Perf,14.5 - 17,Newcastle v Tottenham
Dan Burn Perf,14 - 16.5,Newcastle v Tottenham
Jacob Murphy Perf,14 - 16.5,Newcastle v Tottenham
Tino Livramento Perf,13.5 - 16,Newcastle v Tottenham
Joe Willock Perf,13 - 15.5,Newcastle v Tottenham
Emil Krafth Perf,12.5 - 15,Newcastle v Tottenham
Joao Palhinha Perf,20 - 23,Newcastle v Tottenham
Cristian Romero Perf,18 - 20.5,Newcastle v Tottenham
Pedro Porro Perf,17.5 - 20,Newcastle v Tottenham
Micky van de Ven Perf,17 - 19.5,Newcastle v Tottenham
Kevin Danso Perf,16.5 - 19,Newcastle v Tottenham
Lucas Bergvall Perf,15.5 - 18,Newcastle v Tottenham
Mohammed Kudus Perf,15.5 - 18,Newcastle v Tottenham
Rodrigo Bentancur Perf,15 - 17.5,Newcastle v Tottenham
Destiny Udogie Perf,14.5 - 17,Newcastle v Tottenham
Djed Spence Perf,14 - 16.5,Newcastle v Tottenham
Xavi Simons Perf,14.5 - 17,Newcastle v Tottenham
Archie Gray Perf,13.5 - 16,Newcastle v Tottenham
Pape Sarr Perf,13.5 - 16,Newcastle v Tottenham
Mathys Tel Perf,12 - 14.5,Newcastle v Tottenham
Richarlison Perf,11.5 - 14,Newcastle v Tottenham
Brennan Johnson Perf,10 - 12.5,Newcastle v Tottenham
Randal Kolo Muani Perf,10 - 12.5,Newcastle v Tottenham
Wilson Odobert Perf,10 - 12.5,Newcastle v Tottenham
