perfomance_names,perfomance_odds,contest
Florentino Luis Perf,17.5 - 20,Burnley v Fulham
Josh Cullen Perf,13.5 - 16,Burnley v Fulham
Quilindschy Hartman Perf,12.5 - 15,Burnley v Fulham
Maxime Esteve Perf,12.5 - 15,Burnley v Fulham
Oliver Sonne Perf,12 - 14.5,Burnley v Fulham
Hjalmar Ekdal Perf,11.5 - 14,Burnley v Fulham
Lesley Ugochukwu Perf,11.5 - 14,Burnley v Fulham
Zian Flemming Perf,9 - 11,Burnley v Fulham
Loum Tchaouna Perf,9 - 11,Burnley v Fulham
Lyle Foster Perf,8.5 - 10.5,Burnley v Fulham
Joachim Andersen Perf,20 - 23,Burnley v Fulham
Kenny Tete Perf,18 - 20.5,Burnley v Fulham
Calvin Bassey Perf,18 - 20.5,Burnley v Fulham
Harry Wilson Perf,17 - 19.5,Burnley v Fulham
Joshua King Perf,17 - 19.5,Burnley v Fulham
Sander Berge Perf,16 - 18.5,Burnley v Fulham
Raul Jimenez Perf,16 - 18.5,Burnley v Fulham
Timothy Castagne Perf,15.5 - 18,Burnley v Fulham
Samuel Chukwueze Perf,15 - 17.5,Burnley v Fulham
Alex Iwobi Perf,15 - 17.5,Burnley v Fulham
