perfomance_names,perfomance_odds,contest
Joao Gomes Perf,15.5 - 18,Wolves v Newcastle
Yerson Mosquera Perf,14 - 16.5,Wolves v Newcastle
Ladislav Krejci Perf,13.5 - 16,Wolves v Newcastle
Jhon Arias Perf,14 - 16.5,Wolves v Newcastle
Andre Perf,12 - 14.5,Wolves v Newcastle
Santiago Bueno Perf,11.5 - 14,Wolves v Newcastle
Hugo Bueno Perf,11.5 - 14,Wolves v Newcastle
Tolu Arokodare Perf,10 - 12.5,Wolves v Newcastle
Matt Doherty Perf,9.5 - 12,Wolves v Newcastle
Hwang Hee-chan Perf,9 - 11.5,Wolves v Newcastle
Mateus Mane Perf,9 - 11.5,Wolves v Newcastle
David Moller Wolfe Perf,8.5 - 10.5,Wolves v Newcastle
Jackson Tchatchoua Perf,7.5 - 9.5,Wolves v Newcastle
Jorgen Strand Larsen Perf,7.5 - 9.5,Wolves v Newcastle
Bruno Guimaraes Perf,22 - 25,Wolves v Newcastle
Kieran Trippier Perf,20 - 23,Wolves v Newcastle
Lewis Hall Perf,19 - 22,Wolves v Newcastle
Joelinton Perf,18 - 20.5,Wolves v Newcastle
Lewis Miley Perf,17.5 - 20,Wolves v Newcastle
Harvey Barnes Perf,17 - 19.5,Wolves v Newcastle
Anthony Gordon Perf,16.5 - 19,Wolves v Newcastle
Malick Thiaw Perf,16 - 18.5,Wolves v Newcastle
Sandro Tonali Perf,15 - 17.5,Wolves v Newcastle
Sven Botman Perf,15.5 - 18,Wolves v Newcastle
Nick Woltemade Perf,15 - 17.5,Wolves v Newcastle
Jacob Murphy Perf,14.5 - 17,Wolves v Newcastle
Joe Willock Perf,13 - 15.5,Wolves v Newcastle
Yoane Wissa Perf,12.5 - 15,Wolves v Newcastle
Youri Tielemans Perf,23 - 26,Aston Villa v Everton
Emiliano Buendia Perf,20 - 23,Aston Villa v Everton
Boubacar Kamara Perf,19 - 22,Aston Villa v Everton
Morgan Rogers Perf,19 - 22,Aston Villa v Everton
Ian Maatsen Perf,18 - 20.5,Aston Villa v Everton
Ezri Konsa Perf,17.5 - 20,Aston Villa v Everton
Lamare Bogarde Perf,17 - 19.5,Aston Villa v Everton
Pau Torres Perf,17 - 19.5,Aston Villa v Everton
John McGinn Perf,17 - 19.5,Aston Villa v Everton
Ollie Watkins Perf,17 - 19.5,Aston Villa v Everton
Lucas Digne Perf,16.5 - 19,Aston Villa v Everton
Matty Cash Perf,15.5 - 18,Aston Villa v Everton
Victor Lindelof Perf,15 - 17.5,Aston Villa v Everton
Tyrone Mings Perf,14 - 16.5,Aston Villa v Everton
Jadon Sancho Perf,14 - 16.5,Aston Villa v Everton
James Garner Perf,13.5 - 16,Aston Villa v Everton
Dwight McNeil Perf,13 - 15.5,Aston Villa v Everton
Tim Iroegbunam Perf,12.5 - 15,Aston Villa v Everton
James Tarkowski Perf,11.5 - 14,Aston Villa v Everton
Jack Grealish Perf,11.5 - 14,Aston Villa v Everton
Nathan Patterson Perf,10.5 - 13,Aston Villa v Everton
Harrison Armstrong Perf,11 - 13.5,Aston Villa v Everton
Tyler Dibling Perf,10 - 12.5,Aston Villa v Everton
Vitaliy Mykolenko Perf,9.5 - 12,Aston Villa v Everton
Beto Perf,10 - 12.5,Aston Villa v Everton
Thierno Barry Perf,9 - 11,Aston Villa v Everton
Jake O'Brien Perf,7.5 - 9.5,Aston Villa v Everton
Pascal Gross Perf,25 - 28,Brighton v Bournemouth
Diego Gomez Perf,22 - 25,Brighton v Bournemouth
Yasin Ayari Perf,18.5 - 21,Brighton v Bournemouth
Georginio Rutter Perf,18.5 - 21,Brighton v Bournemouth
Lewis Dunk Perf,18 - 20.5,Brighton v Bournemouth
Jan Paul van Hecke Perf,18 - 20.5,Brighton v Bournemouth
Kaoru Mitoma Perf,17 - 19.5,Brighton v Bournemouth
Maxime De Cuyper Perf,17 - 19.5,Brighton v Bournemouth
Ferdi Kadioglu Perf,15.5 - 18,Brighton v Bournemouth
Danny Welbeck Perf,15.5 - 18,Brighton v Bournemouth
James Milner Perf,15.5 - 18,Brighton v Bournemouth
Jack Hinshelwood Perf,15 - 17.5,Brighton v Bournemouth
Brajan Gruda Perf,14.5 - 17,Brighton v Bournemouth
Joel Veltman Perf,14.5 - 17,Brighton v Bournemouth
Yankuba Minteh Perf,14.5 - 17,Brighton v Bournemouth
Marcus Tavernier Perf,16.5 - 19,Brighton v Bournemouth
Marcos Senesi Perf,15 - 17.5,Brighton v Bournemouth
Lewis Cook Perf,14 - 16.5,Brighton v Bournemouth
Alex Scott Perf,12.5 - 15,Brighton v Bournemouth
Adrien Truffert Perf,12.5 - 15,Brighton v Bournemouth
James Hill Perf,12.5 - 15,Brighton v Bournemouth
Amine Adli Perf,11.5 - 14,Brighton v Bournemouth
David Brooks Perf,11 - 13.5,Brighton v Bournemouth
Julio Soler Perf,11 - 13.5,Brighton v Bournemouth
Bafode Diakite Perf,10.5 - 13,Brighton v Bournemouth
Evanilson Perf,9.5 - 12,Brighton v Bournemouth
Alejandro Jimenez Perf,9.5 - 12,Brighton v Bournemouth
Eli Junior Kroupi Perf,9 - 11,Brighton v Bournemouth
