perfomance_names,perfomance_odds,contest
Joao Palhinha Perf,19 - 22,Tottenham v Man Utd
Pedro Porro Perf,17.5 - 20,Tottenham v Man Utd
Mohammed Kudus Perf,16.5 - 19,Tottenham v Man Utd
Cristian Romero Perf,16.5 - 19,Tottenham v Man Utd
Xavi Simons Perf,16 - 18.5,Tottenham v Man Utd
Micky van de Ven Perf,15 - 17.5,Tottenham v Man Utd
Rodrigo Bentancur Perf,14 - 16.5,Tottenham v Man Utd
Djed Spence Perf,13 - 15.5,Tottenham v Man Utd
Richarlison Perf,12.5 - 15,Tottenham v Man Utd
Wilson Odobert Perf,11 - 13.5,Tottenham v Man Utd
Randal Kolo Muani Perf,10 - 12.5,Tottenham v Man Utd
Brennan Johnson Perf,10 - 12.5,Tottenham v Man Utd
Bruno Fernandes Perf,21 - 24,Tottenham v Man Utd
Casemiro Perf,18.5 - 21,Tottenham v Man Utd
Matheus Cunha Perf,18.5 - 21,Tottenham v Man Utd
Bryan Mbeumo Perf,17 - 19.5,Tottenham v Man Utd
Harry Maguire Perf,14 - 16.5,Tottenham v Man Utd
Mason Mount Perf,14.5 - 17,Tottenham v Man Utd
Diogo Dalot Perf,13 - 15.5,Tottenham v Man Utd
Amad Diallo Perf,12.5 - 15,Tottenham v Man Utd
Matthijs De Ligt Perf,12 - 14.5,Tottenham v Man Utd
Luke Shaw Perf,9.5 - 12,Tottenham v Man Utd
Benjamin Sesko Perf,5 - 7,Tottenham v Man Utd
Enzo Le Fee Perf,15 - 17.5,Sunderland v Arsenal
Granit Xhaka Perf,14 - 16.5,Sunderland v Arsenal
Nordi Mukiele Perf,12.5 - 15,Sunderland v Arsenal
Arthur Masuaku Perf,12.5 - 15,Sunderland v Arsenal
Daniel Ballard Perf,12 - 14.5,Sunderland v Arsenal
Reinildo Mandava Perf,11.5 - 14,Sunderland v Arsenal
Trai Hume Perf,11 - 13.5,Sunderland v Arsenal
Lutsharel Geertruida Perf,11 - 13.5,Sunderland v Arsenal
Omar Alderete Perf,10 - 12.5,Sunderland v Arsenal
Chris Rigg Perf,9.5 - 12,Sunderland v Arsenal
Bertrand Traore Perf,8.5 - 10.5,Sunderland v Arsenal
Noah Sadiki Perf,9 - 11,Sunderland v Arsenal
Simon Adingra Perf,7.5 - 9.5,Sunderland v Arsenal
Brian Brobbey Perf,6.5 - 8.5,Sunderland v Arsenal
Chemsdine Talbi Perf,6 - 8,Sunderland v Arsenal
