perfomance_names,perfomance_odds,contest
Bruno Fernandes Perf,31 - 34,Man Utd v Burnley
Casemiro Perf,24 - 27,Man Utd v Burnley
Matheus Cunha Perf,21 - 24,Man Utd v Burnley
Mason Mount Perf,20 - 23,Man Utd v Burnley
Harry Maguire Perf,20 - 23,Man Utd v Burnley
Bryan Mbeumo Perf,19.5 - 22,Man Utd v Burnley
Matthijs de Ligt Perf,19.5 - 22,Man Utd v Burnley
Leny Yoro Perf,19 - 21.5,Man Utd v Burnley
Manuel Ugarte Perf,19.5 - 22,Man Utd v Burnley
Amad Diallo Perf,18.5 - 21,Man Utd v Burnley
Patrick Dorgu Perf,18.5 - 21,Man Utd v Burnley
Diogo Dalot Perf,18.5 - 21,Man Utd v Burnley
Luke Shaw Perf,17.5 - 20,Man Utd v Burnley
Benjamin Sesko Perf,16 - 18.5,Man Utd v Burnley
Jaidon Anthony Perf,15 - 17.5,Man Utd v Burnley
Hjalmar Ekdal Perf,13 - 15.5,Man Utd v Burnley
Josh Cullen Perf,12.5 - 15,Man Utd v Burnley
Oliver Sonne Perf,12.5 - 15,Man Utd v Burnley
Josh Laurent Perf,12.5 - 15,Man Utd v Burnley
Maxime Esteve Perf,11.5 - 14,Man Utd v Burnley
Joe Worrall Perf,11.5 - 14,Man Utd v Burnley
Quilindschy Hartman Perf,10.5 - 13,Man Utd v Burnley
Hannibal Mejbri Perf,9.5 - 12,Man Utd v Burnley
Lesley Ugochukwu Perf,9.5 - 12,Man Utd v Burnley
Kyle Walker Perf,9 - 11,Man Utd v Burnley
Lyle Foster Perf,8 - 10,Man Utd v Burnley
Zian Flemming Perf,8 - 10,Man Utd v Burnley
Jacob Bruun Larsen Perf,7.5 - 9.5,Man Utd v Burnley
