perfomance_names,perfomance_odds,contest
Enzo Fernandez Perf,25 - 28,Chelsea v Bournemouth
Cole Palmer Perf,23 - 26,Chelsea v Bournemouth
Moises Caicedo Perf,21 - 24,Chelsea v Bournemouth
Alejandro Garnacho Perf,20 - 23,Chelsea v Bournemouth
Estevao Perf,19 - 22,Chelsea v Bournemouth
Trevoh Chalobah Perf,18 - 20.5,Chelsea v Bournemouth
Wesley Fofana Perf,15 - 17.5,Chelsea v Bournemouth
Marcus Tavernier Perf,15 - 17.5,Chelsea v Bournemouth
Antoine Semenyo Perf,14.5 - 17,Chelsea v Bournemouth
Adrien Truffert Perf,11.5 - 14,Chelsea v Bournemouth
Justin Kluivert Perf,10 - 12.5,Chelsea v Bournemouth
David Brooks Perf,10 - 12.5,Chelsea v Bournemouth
Evanilson Perf,9 - 11.5,Chelsea v Bournemouth
Alejandro Jimenez Perf,8.5 - 10.5,Chelsea v Bournemouth
Bukayo Saka Perf,21 - 24,Arsenal v Aston Villa
Declan Rice Perf,19 - 22,Arsenal v Aston Villa
Martin Odegaard Perf,20 - 23,Arsenal v Aston Villa
Martin Zubimendi Perf,18.5 - 21,Arsenal v Aston Villa
Piero Hincapie Perf,18 - 20.5,Arsenal v Aston Villa
Mikel Merino Perf,18 - 20.5,Arsenal v Aston Villa
William Saliba Perf,17 - 19.5,Arsenal v Aston Villa
Eberechi Eze Perf,16.5 - 19,Arsenal v Aston Villa
Jurrien Timber Perf,14.5 - 17,Arsenal v Aston Villa
Gabriel Magalhaes Perf,14 - 16.5,Arsenal v Aston Villa
Leandro Trossard Perf,13.5 - 16,Arsenal v Aston Villa
Myles Lewis-Skelly Perf,11.5 - 14,Arsenal v Aston Villa
Gabriel Martinelli Perf,12.5 - 15,Arsenal v Aston Villa
Viktor Gyokeres Perf,12 - 14.5,Arsenal v Aston Villa
Youri Tielemans Perf,14 - 16.5,Arsenal v Aston Villa
Amadou Onana Perf,12 - 14.5,Arsenal v Aston Villa
Ian Maatsen Perf,11 - 13.5,Arsenal v Aston Villa
Emiliano Buendia Perf,10 - 12.5,Arsenal v Aston Villa
Ezri Konsa Perf,9.5 - 12,Arsenal v Aston Villa
Victor Lindelof Perf,9.5 - 12,Arsenal v Aston Villa
John McGinn Perf,8.5 - 10.5,Arsenal v Aston Villa
Morgan Rogers Perf,9 - 11,Arsenal v Aston Villa
