perfomance_names,perfomance_odds,contest
Erling Haaland Perf,Suspended,Man City v Everton
Rayan Cherki Perf,Suspended,Man City v Everton
Jeremy Doku Perf,Suspended,Man City v Everton
Savinho Perf,Suspended,Man City v Everton
Phil Foden Perf,Suspended,Man City v Everton
Tijani Reijnders Perf,Suspended,Man City v Everton
Bernardo Silva Perf,Suspended,Man City v Everton
Nico O'Reilly Perf,Suspended,Man City v Everton
Josko Gvardiol Perf,Suspended,Man City v Everton
Nicolas Gonzalez Perf,Suspended,Man City v Everton
Matheus Nunes Perf,Suspended,Man City v Everton
Ruben Dias Perf,Suspended,Man City v Everton
Idrissa Gueye Perf,Suspended,Man City v Everton
James Garner Perf,Suspended,Man City v Everton
Dwight McNeil Perf,Suspended,Man City v Everton
Tyler Dibling Perf,Suspended,Man City v Everton
Kiernan Dewsbury-Hall Perf,Suspended,Man City v Everton
Iliman Ndiaye Perf,Suspended,Man City v Everton
Thierno Barry Perf,Suspended,Man City v Everton
James Tarkowski Perf,Suspended,Man City v Everton
Beto Perf,Suspended,Man City v Everton
Vitaliy Mykolenko Perf,Suspended,Man City v Everton
Michael Keane Perf,Suspended,Man City v Everton
Jake O'Brien Perf,Suspended,Man City v Everton
Ryan Sessegnon Perf,14 - 16.5,Fulham v Arsenal
Tom Cairney Perf,13 - 15.5,Fulham v Arsenal
Joachim Andersen Perf,12 - 14.5,Fulham v Arsenal
Harry Wilson Perf,11 - 13.5,Fulham v Arsenal
Calvin Bassey Perf,11.5 - 14,Fulham v Arsenal
Sander Berge Perf,11 - 13.5,Fulham v Arsenal
Alex Iwobi Perf,10.5 - 13,Fulham v Arsenal
Timothy Castagne Perf,10.5 - 13,Fulham v Arsenal
Emile Smith Rowe Perf,10 - 12.5,Fulham v Arsenal
Issa Diop Perf,10 - 12.5,Fulham v Arsenal
Raul Jimenez Perf,9 - 11.5,Fulham v Arsenal
Joshua King Perf,8.5 - 10.5,Fulham v Arsenal
Adama Traore Perf,6.5 - 8.5,Fulham v Arsenal
Bukayo Saka Perf,19 - 22,Fulham v Arsenal
Declan Rice Perf,18.5 - 21,Fulham v Arsenal
Gabriel Magalhaes Perf,16.5 - 19,Fulham v Arsenal
Martin Zubimendi Perf,16.5 - 19,Fulham v Arsenal
William Saliba Perf,16.5 - 19,Fulham v Arsenal
Eberechi Eze Perf,15 - 17.5,Fulham v Arsenal
Mikel Merino Perf,15 - 17.5,Fulham v Arsenal
Viktor Gyokeres Perf,14.5 - 17,Fulham v Arsenal
Riccardo Calafiori Perf,13.5 - 16,Fulham v Arsenal
Jurrien Timber Perf,13.5 - 16,Fulham v Arsenal
Leandro Trossard Perf,12.5 - 15,Fulham v Arsenal
Gabriel Martinelli Perf,12 - 14.5,Fulham v Arsenal
Myles Lewis-Skelly Perf,10.5 - 13,Fulham v Arsenal
Mohamed Salah Perf,21 - 24,Liverpool v Man Utd
Virgil van Dijk Perf,21 - 24,Liverpool v Man Utd
Ryan Gravenberch Perf,19 - 22,Liverpool v Man Utd
Dominik Szoboszlai Perf,19 - 22,Liverpool v Man Utd
Alexis MacAllister Perf,18.5 - 21,Liverpool v Man Utd
Hugo Ekitike Perf,17.5 - 20,Liverpool v Man Utd
Florian Wirtz Perf,17 - 19.5,Liverpool v Man Utd
Wataru Endo Perf,17 - 19.5,Liverpool v Man Utd
Curtis Jones Perf,17 - 19.5,Liverpool v Man Utd
Conor Bradley Perf,16.5 - 19,Liverpool v Man Utd
Ibrahima Konate Perf,16.5 - 19,Liverpool v Man Utd
Joe Gomez Perf,15.5 - 18,Liverpool v Man Utd
Cody Gakpo Perf,15.5 - 18,Liverpool v Man Utd
Andrew Robertson Perf,15.5 - 18,Liverpool v Man Utd
Federico Chiesa Perf,14 - 16.5,Liverpool v Man Utd
Alexander Isak Perf,13.5 - 16,Liverpool v Man Utd
Milos Kerkez Perf,13.5 - 16,Liverpool v Man Utd
Jeremie Frimpong Perf,12.5 - 15,Liverpool v Man Utd
Bruno Fernandes Perf,21 - 24,Liverpool v Man Utd
Casemiro Perf,15.5 - 18,Liverpool v Man Utd
Matheus Cunha Perf,14 - 16.5,Liverpool v Man Utd
Bryan Mbeumo Perf,13.5 - 16,Liverpool v Man Utd
Manuel Ugarte Perf,13 - 15.5,Liverpool v Man Utd
Mason Mount Perf,12 - 14.5,Liverpool v Man Utd
Noussair Mazraoui Perf,12 - 14.5,Liverpool v Man Utd
Amad Diallo Perf,11 - 13.5,Liverpool v Man Utd
Patrick Dorgu Perf,11 - 13.5,Liverpool v Man Utd
Leny Yoro Perf,11 - 13.5,Liverpool v Man Utd
Harry Maguire Perf,11 - 13.5,Liverpool v Man Utd
Ayden Heaven Perf,11 - 13.5,Liverpool v Man Utd
Kobbie Mainoo Perf,11 - 13.5,Liverpool v Man Utd
Matthijs de Ligt Perf,10 - 12.5,Liverpool v Man Utd
Luke Shaw Perf,9 - 11.5,Liverpool v Man Utd
Diogo Dalot Perf,9 - 11.5,Liverpool v Man Utd
Joshua Zirkzee Perf,8.5 - 10.5,Liverpool v Man Utd
Benjamin Sesko Perf,6.5 - 8.5,Liverpool v Man Utd
