home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
Fulham,Man Utd,Carlos Vinicius,23/10,14/1,66/1
Fulham,Man Utd,Raul Jimenez,5/2,16/1,80/1
Fulham,Man Utd,Rodrigo Muniz,3/1,20/1,100/1
Fulham,Man Utd,Bobby De Cordova-Reid,3/1,20/1,100/1
Fulham,Man Utd,Andreas Pereira,24/5,40/1,250/1
Fulham,Man Utd,Willian,10/3,22/1,150/1
Fulham,Man Utd,Harry Wilson,15/4,28/1,200/1
Fulham,Man Utd,Joao Palhinha,11/2,45/1,250/1
Fulham,Man Utd,Alex Iwobi,24/5,40/1,250/1
Fulham,Man Utd,Sasa Lukic,6/1,50/1,300/1
Fulham,Man Utd,Adama Traore,9/2,35/1,200/1
Fulham,Man Utd,Tom Cairney,13/2,55/1,300/1
Fulham,Man Utd,Harrison Reed,15/2,70/1,500/1
Fulham,Man Utd,Timothy Castagne,12/1,150/1,500/1
Fulham,Man Utd,Calvin Bassey,16/1,250/1,500/1
Fulham,Man Utd,Devan Tanton,16/1,250/1,500/1
Fulham,Man Utd,Antonee Robinson,18/1,250/1,500/1
Fulham,Man Utd,Kenny Tete,18/1,250/1,500/1
Fulham,Man Utd,Fode Ballo-Toure,20/1,300/1,500/1
Fulham,Man Utd,Tim Ream,20/1,300/1,500/1
Fulham,Man Utd,Luc De Fougerolles,20/1,300/1,500/1
Fulham,Man Utd,Rasmus Hojlund,15/8,11/1,50/1
Fulham,Man Utd,Marcus Rashford,2/1,12/1,55/1
Fulham,Man Utd,Anthony Martial,2/1,12/1,55/1
Fulham,Man Utd,Alejandro Garnacho,23/10,14/1,70/1
Fulham,Man Utd,Bruno Fernandes,14/5,18/1,100/1
Fulham,Man Utd,Antony,15/4,25/1,200/1
Fulham,Man Utd,Hannibal Mejbri,6/1,50/1,300/1
Fulham,Man Utd,Facundo Pellistri,24/5,40/1,250/1
Fulham,Man Utd,Casemiro,9/2,35/1,200/1
Fulham,Man Utd,Mason Mount,11/2,45/1,250/1
Fulham,Man Utd,Scott McTominay,9/2,35/1,250/1
Fulham,Man Utd,Kobbie Mainoo,6/1,50/1,300/1
Fulham,Man Utd,Christian Eriksen,6/1,50/1,300/1
Fulham,Man Utd,Harry Maguire,10/1,125/1,500/1
Fulham,Man Utd,Diogo Dalot,12/1,150/1,500/1
Fulham,Man Utd,Raphael Varane,12/1,150/1,500/1
Fulham,Man Utd,Sergio Reguilon,12/1,150/1,500/1
Fulham,Man Utd,Sofyan Amrabat,12/1,200/1,500/1
Fulham,Man Utd,Jonny Evans,12/1,200/1,500/1
Fulham,Man Utd,Victor Lindelof,14/1,200/1,500/1
Fulham,Man Utd,Aaron Wan-Bissaka,16/1,250/1,500/1
Brentford,West Ham,Bryan Mbeumo,6/4,17/2,35/1
Brentford,West Ham,Yoane Wissa,9/5,11/1,45/1
Brentford,West Ham,Neal Maupay,9/5,11/1,45/1
Brentford,West Ham,Michael Olakigbe,3/1,20/1,125/1
Brentford,West Ham,Yegor Yarmolyuk,10/3,22/1,150/1
Brentford,West Ham,Saman Ghoddos,9/2,35/1,200/1
Brentford,West Ham,Ethan Brierley,6/1,50/1,300/1
Brentford,West Ham,Shandon Baptiste,6/1,50/1,300/1
Brentford,West Ham,Frank Onyeka,6/1,50/1,300/1
Brentford,West Ham,Mathias Jensen,24/5,40/1,250/1
Brentford,West Ham,Vitaly Janelt,6/1,50/1,300/1
Brentford,West Ham,Christian Norgaard,17/2,90/1,500/1
Brentford,West Ham,Ben Mee,10/1,100/1,500/1
Brentford,West Ham,Ethan Pinnock,10/1,125/1,500/1
Brentford,West Ham,Aaron Hickey,12/1,150/1,500/1
Brentford,West Ham,Nathan Collins,11/1,150/1,500/1
Brentford,West Ham,Kim Ji-soo,12/1,150/1,500/1
Brentford,West Ham,Kristoffer Ajer,11/1,150/1,500/1
Brentford,West Ham,Mathias Jorgensen,11/1,150/1,500/1
Brentford,West Ham,Mads Roerslev Rasmussen,11/1,150/1,500/1
Brentford,West Ham,Jarrod Bowen,13/5,16/1,80/1
Brentford,West Ham,Michail Antonio,16/5,22/1,150/1
Brentford,West Ham,Danny Ings,10/3,22/1,150/1
Brentford,West Ham,Mohammed Kudus,4/1,33/1,200/1
Brentford,West Ham,Divin Mubama,17/5,22/1,150/1
Brentford,West Ham,Said Benrahma,24/5,40/1,250/1
Brentford,West Ham,James Ward-Prowse,15/4,25/1,200/1
Brentford,West Ham,Maxwel Cornet,24/5,40/1,250/1
Brentford,West Ham,Pablo Fornals,15/2,66/1,500/1
Brentford,West Ham,Tomas Soucek,8/1,70/1,500/1
Brentford,West Ham,Dan Chesters,17/2,80/1,500/1
Brentford,West Ham,Conor Coventry,12/1,150/1,500/1
Brentford,West Ham,Nayef Aguerd,12/1,200/1,500/1
Brentford,West Ham,Konstantinos Mavropanos,14/1,200/1,500/1
Brentford,West Ham,Angelo Ogbonna,14/1,200/1,500/1
Brentford,West Ham,Kurt Zouma,14/1,200/1,500/1
Brentford,West Ham,Ben Johnson,18/1,250/1,500/1
Brentford,West Ham,Aaron Cresswell,18/1,250/1,500/1
Brentford,West Ham,Emerson Palmieri,20/1,300/1,500/1
Brentford,West Ham,Thilo Kehrer,22/1,300/1,500/1
Brentford,West Ham,Vladimir Coufal,28/1,400/1,500/1
Burnley,Crystal Palace,Zeki Amdouni,14/5,18/1,100/1
Burnley,Crystal Palace,Jay Rodriguez,3/1,20/1,125/1
Burnley,Crystal Palace,Lyle Foster,14/5,18/1,100/1
Burnley,Crystal Palace,Manuel Benson,4/1,33/1,200/1
Burnley,Crystal Palace,Luca Koleosho,4/1,28/1,200/1
Burnley,Crystal Palace,Aaron Ramsey,5/1,40/1,250/1
Burnley,Crystal Palace,Wilson Odobert,15/4,25/1,200/1
Burnley,Crystal Palace,Jacob Bruun Larsen,9/2,35/1,250/1
Burnley,Crystal Palace,Mike Tresor,9/2,35/1,200/1
Burnley,Crystal Palace,Nathan Redmond,5/1,40/1,250/1
