home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
Crystal Palace,Fulham,Odsonne Edouard,17/10,10/1,45/1
Crystal Palace,Fulham,Jean-Philippe Mateta,11/5,14/1,65/1
Crystal Palace,Fulham,Jesurun Rak-Sakyi,5/2,16/1,80/1
Crystal Palace,Fulham,Eberechi Eze,2/1,12/1,50/1
Crystal Palace,Fulham,Jordan Ayew,10/3,22/1,150/1
Crystal Palace,Fulham,Jeffrey Schlupp,4/1,33/1,200/1
Crystal Palace,Fulham,Malcolm Ebiowei,9/2,35/1,250/1
Crystal Palace,Fulham,Naouirou Ahamada,15/2,65/1,400/1
Crystal Palace,Fulham,Will Hughes,8/1,80/1,500/1
Crystal Palace,Fulham,Jairo Riedewald,9/1,90/1,500/1
Crystal Palace,Fulham,Joachim Andersen,10/1,100/1,500/1
Crystal Palace,Fulham,Cheick Oumar Doucoure,11/1,125/1,500/1
Crystal Palace,Fulham,Marc Guehi,12/1,150/1,500/1
Crystal Palace,Fulham,Chris Richards,12/1,200/1,500/1
Crystal Palace,Fulham,Tyrick Mitchell,14/1,200/1,500/1
Crystal Palace,Fulham,Nathaniel Clyne,14/1,200/1,500/1
Crystal Palace,Fulham,Rob Holding,14/1,200/1,500/1
Crystal Palace,Fulham,Joel Ward,14/1,200/1,500/1
Crystal Palace,Fulham,Rodrigo Muniz,4/1,28/1,200/1
Crystal Palace,Fulham,Harry Wilson,9/2,35/1,250/1
Crystal Palace,Fulham,Andreas Pereira,9/2,35/1,250/1
Crystal Palace,Fulham,Raul Jimenez,18/5,25/1,200/1
Crystal Palace,Fulham,Carlos Vinicius,18/5,25/1,200/1
Crystal Palace,Fulham,Luke Harris,5/1,40/1,250/1
Crystal Palace,Fulham,Adama Traore,5/1,40/1,250/1
Crystal Palace,Fulham,Bobby De Cordova-Reid,9/2,35/1,250/1
Crystal Palace,Fulham,Joao Palhinha,13/2,50/1,300/1
Crystal Palace,Fulham,Willian,9/2,35/1,250/1
Crystal Palace,Fulham,Tom Cairney,15/2,65/1,400/1
Crystal Palace,Fulham,Alex Iwobi,15/2,65/1,400/1
Crystal Palace,Fulham,Sasa Lukic,15/2,65/1,400/1
Crystal Palace,Fulham,Matt Dibley-Dias,8/1,80/1,500/1
Crystal Palace,Fulham,Harrison Reed,8/1,80/1,500/1
