home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
West Ham,Liverpool,Divin Mubama,16/5,20/1,125/1
West Ham,Liverpool,Jarrod Bowen,11/5,14/1,65/1
West Ham,Liverpool,Danny Ings,5/2,16/1,80/1
West Ham,Liverpool,Maxwel Cornet,4/1,33/1,200/1
West Ham,Liverpool,Lucas Paqueta,5/1,40/1,250/1
West Ham,Liverpool,Tomas Soucek,5/1,40/1,250/1
West Ham,Liverpool,James Ward-Prowse,5/1,40/1,250/1
West Ham,Liverpool,Mohammed Kudus,17/5,22/1,150/1
West Ham,Liverpool,Michail Antonio,3/1,20/1,125/1
West Ham,Liverpool,Ben Johnson,13/2,55/1,300/1
West Ham,Liverpool,Lewis Orford,7/1,60/1,400/1
West Ham,Liverpool,Kurt Zouma,17/2,80/1,500/1
West Ham,Liverpool,Edson Alvarez,10/1,100/1,500/1
West Ham,Liverpool,Nayef Aguerd,12/1,150/1,500/1
West Ham,Liverpool,Kalvin Phillips,12/1,150/1,500/1
West Ham,Liverpool,Oliver Scarles,14/1,200/1,500/1
West Ham,Liverpool,Konstantinos Mavropanos,12/1,200/1,500/1
West Ham,Liverpool,Emerson Palmieri,14/1,200/1,500/1
West Ham,Liverpool,Kaelen Casey,14/1,200/1,500/1
West Ham,Liverpool,Aaron Cresswell,14/1,200/1,500/1
West Ham,Liverpool,Angelo Ogbonna,14/1,200/1,500/1
West Ham,Liverpool,Vladimir Coufal,20/1,300/1,500/1
West Ham,Liverpool,Mohamed Salah,4/5,4/1,14/1
West Ham,Liverpool,Jayden Danns,6/5,13/2,25/1
West Ham,Liverpool,Darwin Nunez,21/20,11/2,20/1
West Ham,Liverpool,Cody Gakpo,7/5,8/1,33/1
West Ham,Liverpool,Luis Diaz,11/5,14/1,65/1
West Ham,Liverpool,Bobby Clark,18/5,25/1,200/1
West Ham,Liverpool,Alexis Mac Allister,18/5,25/1,200/1
West Ham,Liverpool,Harvey Elliott,4/1,33/1,200/1
West Ham,Liverpool,Curtis Jones,9/2,35/1,250/1
West Ham,Liverpool,Trent Alexander-Arnold,24/5,40/1,250/1
West Ham,Liverpool,James McConnell,11/2,45/1,250/1
West Ham,Liverpool,Dominik Szoboszlai,11/2,45/1,250/1
West Ham,Liverpool,Ryan Gravenberch,6/1,45/1,300/1
West Ham,Liverpool,Stefan Bajcetic,13/2,55/1,300/1
West Ham,Liverpool,Wataru Endo,7/1,60/1,400/1
West Ham,Liverpool,Virgil van Dijk,9/1,90/1,500/1
West Ham,Liverpool,Ibrahima Konate,10/1,125/1,500/1
West Ham,Liverpool,Jarell Quansah,10/1,125/1,500/1
West Ham,Liverpool,Konstantinos Tsimikas,11/1,150/1,500/1
West Ham,Liverpool,Andrew Robertson,10/1,125/1,500/1
West Ham,Liverpool,Joseph Gomez,11/1,150/1,500/1
Fulham,Crystal Palace,Raul Jimenez,17/10,10/1,40/1
Fulham,Crystal Palace,Rodrigo Muniz,5/4,7/1,28/1
Fulham,Crystal Palace,Bobby De Cordova-Reid,11/5,14/1,60/1
Fulham,Crystal Palace,Armando Broja,17/10,10/1,45/1
Fulham,Crystal Palace,Willian,3/1,20/1,125/1
Fulham,Crystal Palace,Alex Iwobi,29/10,18/1,100/1
Fulham,Crystal Palace,Harry Wilson,7/2,25/1,150/1
Fulham,Crystal Palace,Adama Traore,7/2,25/1,150/1
Fulham,Crystal Palace,Joao Palhinha,9/2,35/1,200/1
Fulham,Crystal Palace,Tosin Adarabioyo,7/1,60/1,400/1
Fulham,Crystal Palace,Andreas Pereira,13/2,55/1,300/1
Fulham,Crystal Palace,Tom Cairney,15/2,66/1,500/1
Fulham,Crystal Palace,Sasa Lukic,8/1,70/1,500/1
Fulham,Crystal Palace,Harrison Reed,8/1,80/1,500/1
Fulham,Crystal Palace,Issa Diop,12/1,200/1,500/1
Fulham,Crystal Palace,Calvin Bassey,14/1,200/1,500/1
Fulham,Crystal Palace,Kenny Tete,14/1,200/1,500/1
Fulham,Crystal Palace,Timothy Castagne,14/1,200/1,500/1
Fulham,Crystal Palace,Antonee Robinson,16/1,250/1,500/1
Fulham,Crystal Palace,Fode Ballo-Toure,16/1,250/1,500/1
Fulham,Crystal Palace,Tim Ream,16/1,250/1,500/1
Fulham,Crystal Palace,Franco Umeh-Chibueze,12/5,14/1,80/1
Fulham,Crystal Palace,Odsonne Edouard,2/1,12/1,50/1
Fulham,Crystal Palace,Eberechi Eze,2/1,12/1,55/1
Fulham,Crystal Palace,Jean-Philippe Mateta,19/10,12/1,50/1
Fulham,Crystal Palace,Jordan Ayew,3/1,20/1,125/1
Fulham,Crystal Palace,Jesurun Rak-Sakyi,29/10,18/1,100/1
Fulham,Crystal Palace,Michael Olise,11/5,14/1,60/1
Fulham,Crystal Palace,Roshaun Mathurin,18/5,25/1,200/1
Fulham,Crystal Palace,Jeffrey Schlupp,7/1,60/1,400/1
Fulham,Crystal Palace,Daniel Munoz,10/1,100/1,500/1
Fulham,Crystal Palace,Adam Wharton,12/1,150/1,500/1
Fulham,Crystal Palace,Naouirou Ahamada,12/1,150/1,500/1
Fulham,Crystal Palace,Joachim Andersen,11/1,150/1,500/1
Fulham,Crystal Palace,David Ozoh,12/1,200/1,500/1
Fulham,Crystal Palace,Jairo Riedewald,14/1,200/1,500/1
Fulham,Crystal Palace,Will Hughes,14/1,200/1,500/1
Fulham,Crystal Palace,Chris Richards,14/1,200/1,500/1
Fulham,Crystal Palace,James Tomkins,14/1,200/1,500/1
Fulham,Crystal Palace,Joel Ward,16/1,250/1,500/1
Fulham,Crystal Palace,Tyrick Mitchell,16/1,250/1,500/1
Fulham,Crystal Palace,Rob Holding,20/1,300/1,500/1
Fulham,Crystal Palace,Nathaniel Clyne,33/1,400/1,500/1
Man Utd,Burnley,Rasmus Hojlund,13/10,15/2,28/1
Man Utd,Burnley,Alejandro Garnacho,8/5,9/1,40/1
Man Utd,Burnley,Marcus Rashford,6/4,17/2,35/1
Man Utd,Burnley,Bruno Fernandes,13/8,9/1,40/1
Man Utd,Burnley,Antony,9/4,14/1,65/1
Man Utd,Burnley,Amad Diallo,21/10,12/1,55/1
Man Utd,Burnley,Omari Forson,21/10,12/1,55/1
Man Utd,Burnley,Ethan Wheatley,21/10,12/1,55/1
Man Utd,Burnley,Scott McTominay,23/10,14/1,70/1
Man Utd,Burnley,Mason Mount,7/2,25/1,150/1
Man Utd,Burnley,Kobbie Mainoo,9/2,35/1,250/1
Man Utd,Burnley,Christian Eriksen,24/5,40/1,250/1
Man Utd,Burnley,Harry Maguire,8/1,70/1,500/1
Man Utd,Burnley,Sofyan Amrabat,9/1,90/1,500/1
Man Utd,Burnley,Casemiro,9/1,90/1,500/1
Man Utd,Burnley,Jack Kingdon,10/1,125/1,500/1
Man Utd,Burnley,Jonny Evans,12/1,200/1,500/1
Man Utd,Burnley,Harry Amass,12/1,200/1,500/1
Man Utd,Burnley,Louis Jackson,12/1,200/1,500/1
Man Utd,Burnley,Diogo Dalot,12/1,200/1,500/1
Man Utd,Burnley,Raphael Varane,12/1,200/1,500/1
Man Utd,Burnley,Willy Kambwala,12/1,200/1,500/1
Man Utd,Burnley,Toby Collyer,14/1,200/1,500/1
Man Utd,Burnley,Habeeb Ogunneye,14/1,200/1,500/1
Man Utd,Burnley,Aaron Wan-Bissaka,20/1,300/1,500/1
Man Utd,Burnley,David Datro Fofana,9/5,11/1,45/1
Man Utd,Burnley,Lyle Foster,21/10,12/1,60/1
