home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
Nottingham Forest,Sheffield Utd,Taiwo Awoniyi,7/5,8/1,33/1
Nottingham Forest,Sheffield Utd,Brennan Johnson,6/4,17/2,35/1
Nottingham Forest,Sheffield Utd,Chris Wood,9/5,10/1,45/1
Nottingham Forest,Sheffield Utd,Danilo,23/10,14/1,70/1
Nottingham Forest,Sheffield Utd,Emmanuel Dennis,23/10,14/1,70/1
Nottingham Forest,Sheffield Utd,Hwang Ui-jo,13/5,16/1,90/1
Nottingham Forest,Sheffield Utd,Morgan Gibbs-White,29/10,18/1,100/1
Nottingham Forest,Sheffield Utd,Anthony Elanga,29/10,18/1,100/1
Nottingham Forest,Sheffield Utd,Ryan Yates,6/1,50/1,300/1
Nottingham Forest,Sheffield Utd,Jonjo Shelvey,6/1,50/1,300/1
Nottingham Forest,Sheffield Utd,Lewis O'Brien,17/2,80/1,500/1
Nottingham Forest,Sheffield Utd,Neco Williams,17/2,80/1,500/1
Nottingham Forest,Sheffield Utd,Cheikhou Kouyate,9/1,100/1,500/1
Nottingham Forest,Sheffield Utd,Remo Freuler,9/1,100/1,500/1
Nottingham Forest,Sheffield Utd,Serge Aurier,10/1,125/1,500/1
Nottingham Forest,Sheffield Utd,Orel Mangala,11/1,125/1,500/1
Nottingham Forest,Sheffield Utd,Giulian Biancone,12/1,150/1,500/1
Nottingham Forest,Sheffield Utd,Felipe,12/1,150/1,500/1
Nottingham Forest,Sheffield Utd,Scott McKenna,12/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Ola Aina,12/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Willy Boly,12/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Moussa Niakhate,12/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Jonathan Panzo,14/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Joe Worrall,14/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Benie Traore,16/5,20/1,125/1
Nottingham Forest,Sheffield Utd,Oliver McBurnie,7/2,25/1,150/1
Nottingham Forest,Sheffield Utd,William Osula,15/4,28/1,200/1
Nottingham Forest,Sheffield Utd,Daniel Jebbison,15/4,28/1,200/1
Nottingham Forest,Sheffield Utd,Antwoine Hackford,4/1,28/1,200/1
Nottingham Forest,Sheffield Utd,Louie Marsh,11/2,45/1,250/1
Nottingham Forest,Sheffield Utd,Gustavo Hamer,6/1,50/1,300/1
Nottingham Forest,Sheffield Utd,Anis Ben Slimane,15/2,66/1,500/1
Nottingham Forest,Sheffield Utd,Anel Ahmedhodzic,17/2,80/1,500/1
Nottingham Forest,Sheffield Utd,Andre Brooks,9/1,100/1,500/1
Nottingham Forest,Sheffield Utd,Tom Davies,11/1,125/1,500/1
Nottingham Forest,Sheffield Utd,Jack Robinson,12/1,150/1,500/1
Nottingham Forest,Sheffield Utd,Vinicius Souza,12/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Ben Osborn,12/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Oliver Norwood,12/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Yasser Larouci,14/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Chris Basham,14/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Max Lowe,14/1,200/1,500/1
Nottingham Forest,Sheffield Utd,Auston Trusty,14/1,200/1,500/1
Nottingham Forest,Sheffield Utd,John Egan,14/1,200/1,500/1
