contest,home,draw,away
Newcastle v Chelsea, 7/4 , 5/2 , 6/4 
Bournemouth v Burnley, 1/2 , 17/5 , 11/2 
Brighton v Sunderland, 13/20 , 3/1 , 17/4 
Man City v West Ham, 1/5 , 13/2 , 11/1 
Wolves v Brentford, 13/5 , 5/2 , 21/20 
Tottenham v Liverpool, 23/10 , 14/5 , 21/20 
Everton v Arsenal, 5/1 , 3/1 , 4/7 
Leeds v Crystal Palace, 13/8 , 9/4 , 9/5 
Aston Villa v Man Utd, 21/20 , 13/5 , 23/10 
Fulham v Nottingham Forest, 29/20 , 9/4 , 19/10 
Man Utd v Newcastle, 11/10 , 27/10 , 11/5 
Nottingham Forest v Man City, 15/4 , 3/1 , 13/20 
Arsenal v Brighton, 2/5 , 18/5 , 11/2 
Brentford v Bournemouth, 6/5 , 13/5 , 2/1 
Burnley v Everton, 3/1 , 12/5 , 10/11 
Liverpool v Wolves, 1/5 , 6/1 , 10/1 
West Ham v Fulham, 13/8 , 23/10 , 31/20 
Chelsea v Aston Villa, 4/5 , 14/5 , 3/1 
Sunderland v Leeds, 31/20 , 23/10 , 17/10 
Crystal Palace v Tottenham, 23/20 , 12/5 , 9/4 
