contest,home,draw,away
West Ham v Nottingham Forest, 2/1 , 23/10 , 29/20 
Bournemouth v Tottenham, 11/10 , 13/5 , 23/10 
Brentford v Sunderland, 4/5 , 13/5 , 7/2 
Crystal Palace v Aston Villa, 9/4 , 23/10 , 5/4 
Everton v Wolves, 4/5 , 5/2 , 15/4 
Fulham v Chelsea, 12/5 , 27/10 , 21/20 
Man City v Brighton, 2/5 , 4/1 , 11/2 
Burnley v Man Utd, 4/1 , 3/1 , 4/6 
Newcastle v Leeds, 7/10 , 14/5 , 4/1 
Arsenal v Liverpool, 8/15 , 10/3 , 19/4 
Man Utd v Man City, 3/1 , 10/3 , 8/11 
Chelsea v Brentford, 4/7 , 16/5 , 17/4 
Leeds v Fulham, 6/5 , 9/4 , 23/10 
Liverpool v Burnley, 1/5 , 6/1 , 10/1 
Sunderland v Crystal Palace, 9/5 , 21/10 , 13/8 
Tottenham v West Ham, 7/10 , 29/10 , 15/4 
Nottingham Forest v Arsenal, 9/2 , 16/5 , 6/11 
Wolves v Newcastle, 17/5 , 3/1 , 8/11 
Aston Villa v Everton, 3/4 , 27/10 , 18/5 
Brighton v Bournemouth, 4/5 , 3/1 , 14/5 
