contest,home,draw,away
Tottenham v Man Utd, 9/5 , 12/5 , 6/4 
Everton v Fulham, 5/4 , 23/10 , 23/10 
West Ham v Burnley, 10/11 , 13/5 , 3/1 
Sunderland v Arsenal, 6/1 , 7/2 , 40/85 
Chelsea v Wolves, 4/11 , 17/4 , 7/1 
Aston Villa v Bournemouth, 13/10 , 12/5 , 21/10 
Brentford v Newcastle, 19/10 , 23/10 , 29/20 
Crystal Palace v Brighton, 6/5 , 12/5 , 9/4 
Nottingham Forest v Leeds, 13/10 , 23/10 , 21/10 
Man City v Liverpool, 87/100 , 3/1 , 14/5 
Burnley v Chelsea, 23/5 , 16/5 , 6/11 
Bournemouth v West Ham, 8/13 , 3/1 , 4/1 
Brighton v Brentford, 19/20 , 12/5 , 14/5 
Fulham v Sunderland, 10/11 , 23/10 , 17/5 
Liverpool v Nottingham Forest, 2/5 , 15/4 , 11/2 
Wolves v Crystal Palace, 12/5 , 5/2 , 21/20 
Newcastle v Man City, 21/10 , 11/4 , 11/10 
Leeds v Aston Villa, 13/8 , 9/4 , 13/8 
Arsenal v Tottenham, 1/3 , 4/1 , 7/1 
Man Utd v Everton, 8/11 , 3/1 , 10/3 
