contest,home,draw,away
Bournemouth v Fulham, Evs , 5/2 , 14/5 
Leeds v Tottenham, 7/4 , 5/2 , 6/4 
Arsenal v West Ham, 1/5 , 6/1 , 12/1 
Man Utd v Sunderland, 1/2 , 18/5 , 5/1 
Chelsea v Liverpool, 19/10 , 14/5 , 5/4 
Aston Villa v Burnley, 4/7 , 29/10 , 5/1 
Everton v Crystal Palace, 6/4 , 11/5 , 19/10 
Newcastle v Nottingham Forest, 4/7 , 16/5 , 17/4 
Wolves v Brighton, 27/10 , 13/5 , 19/20 
Brentford v Man City, 15/4 , 17/5 , 8/13 
Nottingham Forest v Chelsea, 23/10 , 29/10 , 19/20 
Brighton v Newcastle, 31/20 , 11/4 , 29/20 
Burnley v Leeds, 2/1 , 12/5 , 13/10 
Crystal Palace v Bournemouth, 5/4 , 13/5 , 9/5 
Man City v Everton, 1/3 , 4/1 , 8/1 
Sunderland v Wolves, 21/20 , 23/10 , 13/5 
Fulham v Arsenal, 7/2 , 3/1 , 4/6 
Tottenham v Aston Villa, 21/20 , 11/4 , 23/10 
Liverpool v Man Utd, 1/2 , 17/5 , 24/5 
West Ham v Brentford, 23/20 , 13/5 , 19/10 
