contest,home,draw,away
Leeds v Tottenham, 9/5 , 9/4 , 13/8 
Arsenal v West Ham, 2/11 , 6/1 , 14/1 
Man Utd v Sunderland, 1/2 , 18/5 , 5/1 
Chelsea v Liverpool, 2/1 , 14/5 , 6/5 
Aston Villa v Burnley, 3/5 , 29/10 , 5/1 
Everton v Crystal Palace, 31/20 , 9/4 , 19/10 
Newcastle v Nottingham Forest, 6/11 , 7/2 , 9/2 
Wolves v Brighton, 13/5 , 5/2 , 21/20 
Brentford v Man City, 15/4 , 7/2 , 8/13 
Nottingham Forest v Chelsea, 9/4 , 5/2 , 11/10 
Brighton v Newcastle, 29/20 , 5/2 , 17/10 
Burnley v Leeds, 11/5 , 12/5 , 6/5 
Crystal Palace v Bournemouth, 21/20 , 12/5 , 23/10 
Man City v Everton, 2/5 , 15/4 , 11/2 
Sunderland v Wolves, 13/10 , 21/10 , 9/4 
Fulham v Arsenal, 4/1 , 16/5 , 3/5 
Tottenham v Aston Villa, 23/20 , 14/5 , 2/1 
Liverpool v Man Utd, 1/2 , 10/3 , 24/5 
West Ham v Brentford, 29/20 , 11/5 , 9/5 
