contest,home,draw,away
Liverpool v Everton, 4/9 , 18/5 , 6/1 
Brighton v Tottenham, 5/4 , 13/5 , 2/1 
Burnley v Nottingham Forest, 12/5 , 12/5 , 23/20 
West Ham v Crystal Palace, 21/10 , 12/5 , 13/10 
Wolves v Leeds, 7/4 , 21/10 , 7/4 
Man Utd v Chelsea, 13/8 , 27/10 , 6/4 
Fulham v Brentford, Evs , 12/5 , 29/10 
Bournemouth v Newcastle, 11/8 , 5/2 , 2/1 
Sunderland v Aston Villa, 13/5 , 23/10 , 23/20 
Arsenal v Man City, 17/20 , 14/5 , 29/10 
Brentford v Man Utd, 19/10 , 14/5 , 6/5 
Chelsea v Brighton, 3/4 , 29/10 , 17/5 
Crystal Palace v Liverpool, 14/5 , 3/1 , 4/5 
Leeds v Bournemouth, 9/5 , 23/10 , 6/4 
Man City v Burnley, 1/6 , 13/2 , 12/1 
Nottingham Forest v Sunderland, 3/4 , 13/5 , 18/5 
Tottenham v Wolves, 40/85 , 4/1 , 23/5 
Aston Villa v Fulham, Evs , 23/10 , 14/5 
Newcastle v Arsenal, 21/10 , 13/5 , 23/20 
Everton v West Ham, 4/5 , 13/5 , 17/5 
