contest,home,draw,away
Chelsea v Everton, 8/11 , 14/5 , 15/4 
Liverpool v Brighton, 8/11 , 3/1 , 7/2 
Burnley v Fulham, 29/10 , 23/10 , Evs 
Arsenal v Wolves, 2/15 , 15/2 , 18/1 
Crystal Palace v Man City, 29/10 , 29/10 , 87/100 
Nottingham Forest v Tottenham, 31/20 , 23/10 , 9/5 
Sunderland v Newcastle, 23/10 , 9/4 , 5/4 
West Ham v Aston Villa, 27/10 , 5/2 , 21/20 
Brentford v Leeds, Evs , 5/2 , 11/4 
Man Utd v Bournemouth, 4/5 , 3/1 , 14/5 
Newcastle v Chelsea, 7/5 , 5/2 , 7/4 
Bournemouth v Burnley, 40/85 , 17/5 , 5/1 
Brighton v Sunderland, 3/5 , 3/1 , 17/4 
Man City v West Ham, 1/5 , 6/1 , 10/1 
Wolves v Brentford, 13/5 , 12/5 , Evs 
Tottenham v Liverpool, 23/10 , 14/5 , Evs 
Everton v Arsenal, 15/4 , 13/5 , 3/4 
Leeds v Crystal Palace, 7/4 , 11/5 , 31/20 
Aston Villa v Man Utd, 21/20 , 13/5 , 23/10 
Fulham v Nottingham Forest, 23/20 , 12/5 , 9/4 
