contest,home,draw,away
Chelsea v Sunderland, 2/5 , 18/5 , 13/2 
Newcastle v Fulham, 13/20 , 14/5 , 23/5 
Man Utd v Brighton, 21/20 , 11/4 , 12/5 
Brentford v Liverpool, 3/1 , 3/1 , 5/6 
Arsenal v Crystal Palace, 2/5 , 15/4 , 13/2 
Aston Villa v Man City, 16/5 , 3/1 , 3/4 
Bournemouth v Nottingham Forest, 5/6 , 14/5 , 16/5 
Wolves v Burnley, 19/20 , 9/4 , 16/5 
Everton v Tottenham, 11/8 , 23/10 , 21/10 
Brighton v Leeds, 3/4 , 29/10 , 3/1 
Burnley v Arsenal, 15/2 , 23/5 , 3/10 
Crystal Palace v Brentford, 87/100 , 5/2 , 3/1 
Fulham v Wolves, 4/5 , 5/2 , 17/5 
Nottingham Forest v Man Utd, 15/8 , 11/4 , 5/4 
Tottenham v Chelsea, 7/4 , 13/5 , 11/8 
Liverpool v Aston Villa, 1/2 , 18/5 , 23/5 
West Ham v Newcastle, 15/4 , 10/3 , 8/13 
Man City v Bournemouth, 40/85 , 15/4 , 5/1 
Sunderland v Everton, 2/1 , 21/10 , 7/5 
