contest,home,draw,away
Bournemouth v Everton, 5/4 , 23/10 , 12/5 
Fulham v Man City, 4/1 , 3/1 , 4/6 
Newcastle v Tottenham, 5/6 , 14/5 , 16/5 
Arsenal v Brentford, 4/11 , 4/1 , 15/2 
Brighton v Aston Villa, 21/20 , 13/5 , 5/2 
Burnley v Crystal Palace, 15/4 , 14/5 , 3/4 
Wolves v Nottingham Forest, 11/5 , 23/10 , 13/10 
Leeds v Chelsea, 10/3 , 29/10 , 4/5 
Liverpool v Sunderland, 4/11 , 17/4 , 7/1 
Man Utd v West Ham, 4/9 , 15/4 , 5/1 
Aston Villa v Arsenal, 3/1 , 13/5 , 87/100 
Bournemouth v Chelsea, 21/10 , 14/5 , 11/10 
Everton v Nottingham Forest, 23/20 , 21/10 , 13/5 
Man City v Sunderland, 2/9 , 11/2 , 10/1 
Newcastle v Burnley, 1/4 , 24/5 , 17/2 
Tottenham v Brentford, 6/5 , 13/5 , 2/1 
Leeds v Liverpool, 3/1 , 3/1 , 3/4 
Brighton v West Ham, 4/7 , 16/5 , 17/4 
Fulham v Crystal Palace, 8/5 , 23/10 , 13/8 
Wolves v Man Utd, 3/1 , 29/10 , 3/4 
