contest,home,draw,away
Brentford v Burnley, 4/9 , 15/4 , 6/1 
Man City v Leeds, 2/9 , 11/2 , 10/1 
Sunderland v Bournemouth, 11/5 , 23/10 , 13/10 
Everton v Newcastle, 13/8 , 23/10 , 17/10 
Tottenham v Fulham, 5/4 , 23/10 , 23/10 
Crystal Palace v Man Utd, 5/4 , 13/5 , 21/10 
Aston Villa v Wolves, 40/85 , 15/4 , 11/2 
Nottingham Forest v Brighton, 9/5 , 12/5 , 31/20 
West Ham v Liverpool, 17/5 , 16/5 , 8/11 
Chelsea v Arsenal, 12/5 , 9/4 , 6/5 
Bournemouth v Everton, 21/20 , 11/5 , 14/5 
Fulham v Man City, 15/4 , 10/3 , 8/13 
Newcastle v Tottenham, 4/5 , 27/10 , 16/5 
Arsenal v Brentford, 2/7 , 19/4 , 8/1 
Brighton v Aston Villa, 11/10 , 5/2 , 23/10 
Burnley v Crystal Palace, 18/5 , 29/10 , 7/10 
Wolves v Nottingham Forest, 21/10 , 9/4 , 13/10 
Leeds v Chelsea, 3/1 , 29/10 , 3/4 
Liverpool v Sunderland, 1/3 , 17/4 , 7/1 
Man Utd v West Ham, 2/5 , 4/1 , 11/2 
