contest,home,draw,away
Aston Villa v Arsenal, 16/5 , 5/2 , 87/100 
Bournemouth v Chelsea, 21/10 , 11/4 , 6/5 
Everton v Nottingham Forest, 23/20 , 9/4 , 27/10 
Man City v Sunderland, 2/9 , 11/2 , 10/1 
Newcastle v Burnley, 1/4 , 5/1 , 9/1 
Tottenham v Brentford, 11/8 , 12/5 , 2/1 
Leeds v Liverpool, 3/1 , 29/10 , 17/20 
Brighton v West Ham, 6/11 , 7/2 , 23/5 
Fulham v Crystal Palace, 6/4 , 9/4 , 9/5 
Wolves v Man Utd, 3/1 , 29/10 , 4/5 
Chelsea v Everton, 3/5 , 3/1 , 17/4 
Liverpool v Brighton, 7/10 , 29/10 , 7/2 
Burnley v Fulham, 14/5 , 5/2 , 19/20 
Arsenal v Wolves, 1/5 , 5/1 , 12/1 
Crystal Palace v Man City, 14/5 , 11/4 , 87/100 
Nottingham Forest v Tottenham, 13/10 , 12/5 , 19/10 
Sunderland v Newcastle, 13/5 , 23/10 , 21/20 
West Ham v Aston Villa, 27/10 , 13/5 , 19/20 
Brentford v Leeds, 19/20 , 5/2 , 27/10 
Man Utd v Bournemouth, 17/20 , 3/1 , 11/4 
