contest,home,draw,away
Brentford v Man Utd, 23/10 , 11/4 , 11/10 
Chelsea v Brighton, 87/100 , 14/5 , 29/10 
Crystal Palace v Liverpool, 16/5 , 27/10 , 87/100 
Leeds v Bournemouth, 19/10 , 23/10 , 29/20 
Man City v Burnley, 2/11 , 13/2 , 12/1 
Nottingham Forest v Sunderland, 3/4 , 11/4 , 15/4 
Tottenham v Wolves, 4/7 , 16/5 , 23/5 
Aston Villa v Fulham, 13/10 , 21/10 , 12/5 
Newcastle v Arsenal, 13/5 , 23/10 , 11/10 
Everton v West Ham, 4/6 , 29/10 , 4/1 
Bournemouth v Fulham, Evs , 5/2 , 13/5 
Leeds v Tottenham, 9/5 , 27/10 , 5/4 
Arsenal v West Ham, 2/9 , 5/1 , 10/1 
Man Utd v Sunderland, 2/5 , 15/4 , 5/1 
Chelsea v Liverpool, 9/5 , 5/2 , 11/8 
Aston Villa v Burnley, 1/2 , 3/1 , 5/1 
Everton v Crystal Palace, 13/10 , 21/10 , 9/4 
Newcastle v Nottingham Forest, 13/20 , 3/1 , 15/4 
Wolves v Brighton, 5/2 , 13/5 , Evs 
Brentford v Man City, 7/2 , 7/2 , 8/13 
