contest,home,draw,away
Arsenal v Nottingham Forest, 4/11 , 4/1 , 7/1 
Bournemouth v Brighton, 7/5 , 13/5 , 19/10 
Crystal Palace v Sunderland, 8/11 , 13/5 , 17/4 
Everton v Aston Villa, 31/20 , 23/10 , 9/5 
Fulham v Leeds, 19/20 , 12/5 , 3/1 
Newcastle v Wolves, 2/5 , 15/4 , 7/1 
West Ham v Tottenham, 12/5 , 5/2 , 11/10 
Brentford v Chelsea, 29/10 , 11/4 , 10/11 
Burnley v Liverpool, 8/1 , 23/5 , 3/10 
Man City v Man Utd, 3/4 , 3/1 , 10/3 
Liverpool v Everton, 2/5 , 18/5 , 6/1 
Bournemouth v Newcastle, 31/20 , 5/2 , 13/8 
Brighton v Tottenham, Evs , 27/10 , 23/10 
Burnley v Nottingham Forest, 23/10 , 12/5 , 11/10 
West Ham v Crystal Palace, 9/5 , 23/10 , 29/20 
Wolves v Leeds, 7/5 , 11/5 , 2/1 
Man Utd v Chelsea, 17/10 , 5/2 , 29/20 
Fulham v Brentford, Evs , 5/2 , 13/5 
Sunderland v Aston Villa, 29/10 , 5/2 , 10/11 
Arsenal v Man City, 19/20 , 13/5 , 13/5 
