contest,home,draw,away
West Ham v Sunderland, 31/20 , 11/5 , 19/10 
Burnley v Tottenham, 13/5 , 5/2 , 21/20 
Fulham v Brighton, 31/20 , 5/2 , 17/10 
Man City v Wolves, 1/5 , 13/2 , 12/1 
Bournemouth v Liverpool, 14/5 , 29/10 , 10/11 
Brentford v Nottingham Forest, 10/11 , 5/2 , 3/1 
Crystal Palace v Chelsea, 5/2 , 27/10 , Evs 
Newcastle v Aston Villa, Evs , 13/5 , 13/5 
Arsenal v Man Utd, 4/7 , 3/1 , 5/1 
Everton v Leeds, 6/4 , 11/5 , 19/10 
Brighton v Everton, 4/5 , 27/10 , 10/3 
Leeds v Arsenal, 5/1 , 16/5 , 1/2 
Wolves v Bournemouth, 21/10 , 13/5 , 23/20 
Chelsea v West Ham, 4/9 , 18/5 , 11/2 
Liverpool v Newcastle, 4/5 , 3/1 , 29/10 
Aston Villa v Brentford, Evs , 5/2 , 5/2 
Man Utd v Fulham, 8/13 , 16/5 , 15/4 
Nottingham Forest v Crystal Palace, Evs , 12/5 , 13/5 
Tottenham v Man City, 10/3 , 3/1 , 7/10 
Sunderland v Burnley, 3/4 , 12/5 , 15/4 
