contest,home,draw,away
Wolves v Newcastle, 10/3 , 29/10 , 3/4 
Aston Villa v Everton, 13/20 , 29/10 , 23/5 
Brighton v Bournemouth, 17/20 , 3/1 , 29/10 
West Ham v Sunderland, 7/5 , 23/10 , 19/10 
Burnley v Tottenham, 11/4 , 5/2 , 19/20 
Fulham v Brighton, 8/5 , 23/10 , 13/8 
Man City v Wolves, 2/13 , 7/1 , 12/1 
Bournemouth v Liverpool, 13/5 , 29/10 , 87/100 
Brentford v Nottingham Forest, 11/10 , 23/10 , 12/5 
Crystal Palace v Chelsea, 23/10 , 14/5 , Evs 
Newcastle v Aston Villa, Evs , 13/5 , 12/5 
Arsenal v Man Utd, 8/13 , 27/10 , 24/5 
Everton v Leeds, 29/20 , 9/4 , 15/8 
