contest,home,draw,away
Man Utd v Newcastle, 6/4 , 13/5 , 13/8 
Nottingham Forest v Man City, 17/4 , 18/5 , 4/7 
Arsenal v Brighton, 4/11 , 4/1 , 7/1 
Brentford v Bournemouth, 13/10 , 13/5 , 2/1 
Burnley v Everton, 3/1 , 23/10 , Evs 
Liverpool v Wolves, 2/9 , 6/1 , 10/1 
West Ham v Fulham, 13/8 , 12/5 , 13/8 
Chelsea v Aston Villa, 17/20 , 29/10 , 3/1 
Sunderland v Leeds, 31/20 , 9/4 , 9/5 
Crystal Palace v Tottenham, 5/4 , 11/5 , 23/10 
Burnley v Newcastle, 17/5 , 16/5 , 4/6 
Chelsea v Bournemouth, 8/13 , 29/10 , 17/4 
Nottingham Forest v Everton, 23/20 , 9/4 , 12/5 
West Ham v Brighton, 2/1 , 13/5 , 23/20 
Arsenal v Aston Villa, 40/85 , 17/5 , 11/2 
Man Utd v Wolves, 3/10 , 9/2 , 7/1 
Crystal Palace v Fulham, 11/10 , 23/10 , 5/2 
Liverpool v Leeds, 4/9 , 18/5 , 5/1 
Brentford v Tottenham, 13/10 , 13/5 , 19/10 
Sunderland v Man City, 5/1 , 7/2 , 40/85 
