contest,home,draw,away
Brighton v Leeds, Evs , 5/2 , 14/5 
Burnley v Arsenal, 9/1 , 11/2 , 1/4 
Crystal Palace v Brentford, Evs , 5/2 , 14/5 
Fulham v Wolves, 17/20 , 5/2 , 7/2 
Nottingham Forest v Man Utd, 23/10 , 27/10 , 11/10 
Tottenham v Chelsea, 17/10 , 5/2 , 6/4 
Liverpool v Aston Villa, 4/6 , 3/1 , 15/4 
West Ham v Newcastle, 17/4 , 17/5 , 3/5 
Man City v Bournemouth, 1/2 , 18/5 , 24/5 
Sunderland v Everton, 9/5 , 21/10 , 13/8 
Tottenham v Man Utd, 6/4 , 27/10 , 31/20 
Everton v Fulham, 11/10 , 5/2 , 23/10 
West Ham v Burnley, Evs , 23/10 , 27/10 
Sunderland v Arsenal, 11/2 , 15/4 , 2/5 
Chelsea v Wolves, 1/3 , 4/1 , 7/1 
Aston Villa v Bournemouth, 23/20 , 12/5 , 23/10 
Brentford v Newcastle, 2/1 , 12/5 , 13/10 
Crystal Palace v Brighton, 23/20 , 13/5 , 11/5 
Nottingham Forest v Leeds, 6/5 , 23/10 , 23/10 
Man City v Liverpool, 4/5 , 3/1 , 14/5 
