contest,home,draw,away
Burnley v Newcastle, 9/2 , 16/5 , 3/5 
Chelsea v Bournemouth, 6/11 , 7/2 , 19/4 
Nottingham Forest v Everton, 11/10 , 9/4 , 11/4 
West Ham v Brighton, 23/10 , 11/4 , 11/10 
Arsenal v Aston Villa, 2/5 , 15/4 , 13/2 
Man Utd v Wolves, 1/3 , 17/4 , 7/1 
Crystal Palace v Fulham, 23/20 , 23/10 , 12/5 
Liverpool v Leeds, 1/2 , 17/5 , 24/5 
Brentford v Tottenham, 5/4 , 5/2 , 2/1 
Sunderland v Man City, 6/1 , 15/4 , 2/5 
Aston Villa v Nottingham Forest, 5/6 , 5/2 , 17/5 
Brighton v Burnley, 8/15 , 3/1 , 5/1 
Wolves v West Ham, 29/20 , 23/10 , 9/5 
Bournemouth v Arsenal, 4/1 , 10/3 , 4/7 
Leeds v Man Utd, 7/4 , 12/5 , 6/4 
Everton v Brentford, 11/8 , 21/10 , 21/10 
Fulham v Liverpool, 5/2 , 14/5 , 19/20 
Newcastle v Crystal Palace, 3/4 , 11/4 , 17/5 
Tottenham v Sunderland, 4/5 , 14/5 , 16/5 
Man City v Chelsea, 8/11 , 3/1 , 3/1 
