contest,home,draw,away
Burnley v Chelsea, 6/1 , 17/5 , 40/85 
Bournemouth v West Ham, 4/6 , 29/10 , 4/1 
Brighton v Brentford, 19/20 , 5/2 , 14/5 
Fulham v Sunderland, 11/10 , 11/5 , 11/4 
Liverpool v Nottingham Forest, 4/9 , 15/4 , 11/2 
Wolves v Crystal Palace, 7/2 , 13/5 , 5/6 
Newcastle v Man City, 5/2 , 13/5 , 21/20 
Leeds v Aston Villa, 19/10 , 9/4 , 6/4 
Arsenal v Tottenham, 2/5 , 18/5 , 13/2 
Man Utd v Everton, 3/4 , 13/5 , 7/2 
Brentford v Burnley, 1/2 , 17/5 , 5/1 
Man City v Leeds, 1/4 , 5/1 , 8/1 
Sunderland v Bournemouth, 19/10 , 23/10 , 7/5 
Everton v Newcastle, 9/5 , 9/4 , 6/4 
Tottenham v Fulham, Evs , 12/5 , 13/5 
Crystal Palace v Man Utd, 6/4 , 5/2 , 17/10 
Aston Villa v Wolves, 1/2 , 10/3 , 24/5 
Nottingham Forest v Brighton, 7/4 , 12/5 , 29/20 
West Ham v Liverpool, 4/1 , 17/5 , 4/7 
Chelsea v Arsenal, 12/5 , 23/10 , 23/20 
