assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,7,1,13.3,701,0.01,0.12,0.11,0.33,63,0,0,2.8,8.2,2023-01-18,68,7,0,0,0,0,20,0,0,1,1,1,6.0,2,0,0,0,6.0,False,0,701,0,1,0.0733143016695976,72,Crystal Palace,Manchester United,1,1,18270,2022,569810,0.0185282006859779,0,1,0,0.0733143016695976,0.1958300024271011,0.1039870008826255,7052,Manchester United,Wout Weghorst,Wout Weghorst,3,2,20,3.0,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,1,0,2.5,701,0.0,0.0,0.0,2.93,201,3,0,1.3,6.0,2023-01-22,90,1,0,0,0,0,21,0,40973,1,2,3,4.0,2,39734,43206,3472,6.0,False,0,701,0,0,0.0,90,Arsenal,Manchester United,3,2,18402,2022,570744,0.0,0,0,0,0.0,0.0370679013431072,0.0370679013431072,7052,Manchester United,Wout Weghorst,Wout Weghorst,3,4,21,0.8,FWD,1.0,0.01,0.12,0.11,0.33,0.0,0.0,2.8,8.2,13.3,6.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.07,0.02,0.0,0.0,1.0,0.0,0.07,0.2,0.1,3.0,0.33,0.0,0.04,0.04,0.11,0.0,0.0,0.93,2.73,4.43,2.0,22.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.67,0.0,0.33,0.02,0.01,0.0,0.0,0.33,0.0,0.02,0.07,0.03,1.0,0.2,0.0,0.02,0.02,0.07,0.0,0.0,0.56,1.64,2.66,1.2,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.2,0.01,0.0,0.0,0.0,0.2,0.0,0.01,0.04,0.02,0.6,40973.0,0.8512361283688247
0,0,5,0,30.8,701,0.47,0.58,0.11,0.57,216,0,0,6.2,8.0,2023-02-04,58,7,0,0,0,0,22,0,142311,1,1,2,23.0,1,98158,114783,16625,6.0,True,0,701,0,1,0.0560960993170738,61,Manchester United,Crystal Palace,2,1,18417,2022,573287,0.3254680037498474,0,3,0,0.0560960993170738,0.1413110047578811,0.0,7052,Manchester United,Wout Weghorst,Wout Weghorst,2,4,22,2.4,FWD,0.0,0.0,0.0,0.0,2.93,3.0,0.0,1.3,6.0,2.5,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.8,0.33,0.0,0.04,0.04,1.09,1.0,0.0,1.37,4.73,5.27,3.33,52.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,1.33,1.33,0.0,0.33,0.02,0.01,0.0,0.0,0.33,0.0,0.02,0.08,0.05,1.27,0.2,0.0,0.02,0.02,0.65,0.6,0.0,0.82,2.84,3.16,2.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.8,0.8,0.0,0.2,0.01,0.0,0.0,0.0,0.2,0.0,0.01,0.05,0.03,0.76,101338.0,0.7469712650675758
0,0,3,0,13.2,701,0.01,0.01,0.0,0.54,76,2,0,1.9,3.4,2023-02-08,58,11,0,0,0,0,22,0,142311,1,2,2,2.0,1,98158,114783,16625,6.0,True,0,701,0,0,0.0,67,Manchester United,Leeds,2,2,18279,2022,574395,0.0091216703876852,0,1,0,0.0,0.6390770077705383,0.629954993724823,7052,Manchester United,Wout Weghorst,Wout Weghorst,2,4,22,2.4,FWD,0.0,0.47,0.58,0.11,0.57,0.0,0.0,6.2,8.0,30.8,23.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.06,0.33,0.0,0.0,3.0,0.0,0.06,0.14,0.0,2.4,0.33,0.16,0.23,0.07,1.28,1.0,0.0,3.43,7.4,15.53,11.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.0,1.67,0.0,0.67,0.04,0.11,0.0,0.0,1.33,0.0,0.04,0.12,0.05,2.07,0.2,0.1,0.14,0.04,0.77,0.6,0.0,2.06,4.44,9.32,6.6,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.2,1.0,0.0,0.4,0.03,0.07,0.0,0.0,0.8,0.0,0.03,0.07,0.03,1.24,0.0,0.7469712650675758
1,0,20,1,22.9,701,0.02,0.02,0.0,1.83,225,0,0,5.4,28.6,2023-02-12,90,11,0,0,0,0,23,0,100587,1,2,0,2.0,5,-39852,6409,46261,6.0,False,0,701,0,0,0.0,90,Leeds,Manchester United,0,2,18426,2022,575419,0.2518590092658996,1,2,0,0.0,0.5628899931907654,0.3110310137271881,7052,Manchester United,Wout Weghorst,Wout Weghorst,3,2,23,2.2,FWD,0.0,0.01,0.01,0.0,0.54,2.0,0.0,1.9,3.4,13.2,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.64,0.63,2.4,0.0,0.16,0.2,0.04,1.35,1.67,0.0,3.13,5.8,15.5,9.67,68.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.33,1.33,0.0,0.33,0.02,0.11,0.0,0.0,1.33,0.0,0.02,0.27,0.22,1.87,0.2,0.1,0.14,0.04,0.87,1.0,0.0,2.44,5.12,11.96,7.0,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.6,1.2,0.0,0.4,0.03,0.07,0.0,0.0,1.0,0.0,0.03,0.2,0.15,1.72,-41724.0,-0.756635655971141
0,0,0,1,17.6,701,0.33,1.29,0.96,1.42,236,0,0,6.8,11.4,2023-02-19,90,10,0,0,0,0,24,0,88626,1,0,3,39.0,2,-13138,7962,21100,5.9,True,0,701,0,6,0.8198279738426208,90,Manchester United,Leicester,3,0,18437,2022,576942,0.1549409925937652,0,1,0,0.8198279738426208,1.5587600469589231,0.6675620079040527,7052,Manchester United,Wout Weghorst,Wout Weghorst,3,4,24,2.2,FWD,1.0,0.02,0.02,0.0,1.83,0.0,0.0,5.4,28.6,22.9,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.25,1.0,1.0,2.0,0.0,0.0,0.56,0.31,2.2,0.33,0.17,0.2,0.04,0.98,0.67,0.0,4.5,13.33,22.3,9.0,68.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.33,2.33,0.0,0.33,0.02,0.2,0.33,0.33,2.0,0.0,0.02,0.45,0.31,2.33,0.4,0.1,0.15,0.04,1.24,1.0,0.0,3.52,10.84,16.54,7.4,72.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,2.2,0.0,0.4,0.03,0.12,0.2,0.2,1.4,0.0,0.03,0.32,0.22,2.16,-11961.0,-0.45206799256761404
0,0,2,0,3.8,701,0.01,0.01,0.0,1.67,256,3,0,0.4,0.6,2023-03-05,57,12,0,0,0,0,26,0,63243,1,0,7,0.0,1,-1975,9092,11067,5.8,False,0,701,0,0,0.0,59,Liverpool,Manchester United,7,0,18457,2022,580387,0.0,0,0,0,0.0,0.0454038009047508,0.0454038009047508,7052,Manchester United,Wout Weghorst,Wout Weghorst,3,4,26,1.7,FWD,1.0,0.33,1.29,0.96,1.42,0.0,0.0,6.8,11.4,17.6,39.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,0.82,0.15,0.0,0.0,1.0,0.0,0.82,1.56,0.67,2.2,0.67,0.12,0.44,0.32,1.26,0.67,0.0,4.7,14.47,17.9,14.33,79.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,2.67,0.0,2.0,0.27,0.14,0.33,0.33,1.33,0.0,0.27,0.92,0.54,2.27,0.4,0.17,0.38,0.21,1.46,1.0,0.0,4.32,11.48,17.4,14.0,77.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,2.0,2.2,0.0,1.4,0.18,0.15,0.2,0.2,1.4,0.0,0.18,0.59,0.33,2.0,-25383.0,-0.0979711295203135
0,0,1,0,0.3,701,0.0,0.09,0.09,0.41,267,0,0,2.1,3.4,2023-03-12,43,17,0,0,0,0,27,0,60757,1,0,0,17.0,1,-3060,9302,12362,5.7,True,0,701,0,1,0.0648361966013908,43,Manchester United,Southampton,0,0,18468,2022,581786,0.0,0,0,0,0.0648361966013908,0.0648361966013908,0.0,7052,Manchester United,Wout Weghorst,Wout Weghorst,2,4,27,1.8,FWD,0.0,0.01,0.01,0.0,1.67,3.0,0.0,0.4,0.6,3.8,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,1.7,0.67,0.12,0.44,0.32,1.64,1.0,0.0,4.2,13.53,14.77,13.67,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,3.33,2.67,0.0,2.0,0.27,0.14,0.33,0.33,1.0,0.0,0.27,0.72,0.34,2.03,0.4,0.17,0.38,0.21,1.21,1.0,0.0,4.14,10.4,17.66,13.2,70.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8,2.0,0.0,1.4,0.18,0.15,0.2,0.2,1.4,0.0,0.18,0.59,0.33,2.18,-2486.0,-0.14124815361890694
0,0,4,1,2.6,701,0.0,0.07,0.07,1.81,288,0,0,0.6,0.0,2023-04-02,61,15,0,0,0,0,29,0,58315,1,0,2,6.0,2,5283,10783,5500,5.6,False,0,701,0,1,0.0748853981494903,63,Newcastle United,Manchester United,2,0,18489,2022,585627,0.0,0,0,0,0.0748853981494903,0.0748853981494903,0.0,7052,Manchester United,Wout Weghorst,Wout Weghorst,3,4,29,1.5,FWD,0.0,0.0,0.09,0.09,0.41,0.0,0.0,2.1,3.4,0.3,17.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,1.8,0.33,0.11,0.46,0.35,1.17,1.0,0.0,3.1,5.13,7.23,18.67,63.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.33,1.33,0.0,2.33,0.29,0.05,0.0,0.0,0.33,0.0,0.29,0.56,0.24,1.9,0.4,0.07,0.28,0.21,1.17,1.0,0.0,3.32,9.48,11.56,12.0,67.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,2.4,2.0,0.0,1.4,0.18,0.08,0.2,0.2,0.8,0.0,0.18,0.57,0.33,2.06,-2442.0,0.32444881164404593
0,0,5,0,20.6,701,0.01,0.01,0.0,0.0,297,0,0,2.7,4.0,2023-04-08,9,8,0,0,0,0,30,0,51497,0,0,2,2.0,1,-6650,2459,9109,5.6,True,0,701,0,0,0.0,8,Manchester United,Everton,2,0,18498,2022,586389,0.0947822034358978,0,2,0,0.0,0.0947822034358978,0.0,7052,Manchester United,Wout Weghorst,Wout Weghorst,2,4,30,1.0,FWD,1.0,0.0,0.07,0.07,1.81,0.0,0.0,0.6,0.0,2.6,6.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,1.5,0.33,0.0,0.06,0.05,1.3,1.0,0.0,1.03,1.33,2.23,7.67,53.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.33,0.0,0.67,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.02,1.67,0.6,0.07,0.3,0.22,1.43,0.6,0.0,3.06,8.8,9.44,12.8,68.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,2.4,2.2,0.0,1.6,0.19,0.08,0.2,0.2,0.6,0.0,0.19,0.46,0.2,1.88,-6818.0,-0.5748616874135546
