assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id
0,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2024-08-16T19:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,1,0,1453,0,0,1,0.0,0,0,0,0,45,True,0,379
1,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2024-08-24T11:30:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,2,0,1100,0,1,2,0.0,0,-404,41,445,45,False,0,379
2,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,2024-09-01T15:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,3,0,976,0,3,0,0.0,0,-155,38,193,44,True,0,379
3,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2024-09-14T11:30:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,4,0,946,0,3,0,0.0,0,-81,36,117,44,False,0,379
4,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2024-09-21T16:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,5,0,918,0,0,0,0.0,0,-32,27,59,44,False,0,379
5,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2024-09-29T15:30:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,6,0,912,0,3,0,0.0,0,-16,33,49,44,True,0,379
6,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2024-10-06T13:00:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,7,0,904,0,0,0,0.0,0,-22,22,44,44,False,0,379
7,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2024-10-19T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,8,0,901,0,1,2,0.0,0,-18,28,46,44,True,0,379
8,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2024-10-27T14:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,9,0,889,0,1,2,0.0,0,-15,19,34,44,False,0,379
9,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,10,0,880,0,1,1,0.0,0,-14,13,27,44,True,0,379
