assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,10,0,0,0,0,2,0,0,0,1,4,0.0,0,0,0,0,45,True,0
1,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2024-08-31T16:30:00Z,0,False,19,0,0,0,0,3,0,653,0,3,1,0.0,0,169,243,74,45,False,0
2,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,4,0,0,0,0,4,0,940,0,1,2,0.0,0,-35,248,283,45,True,0
3,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2024-09-22T15:30:00Z,0,False,1,0,0,0,0,5,0,775,0,2,2,0.0,0,-164,0,164,45,True,0
4,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2024-09-28T11:30:00Z,0,False,15,0,0,0,0,6,0,701,0,1,1,0.0,0,-82,0,82,45,False,0
5,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,False,9,0,0,0,0,7,0,654,0,2,3,0.0,0,-47,0,47,45,True,0
6,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,80,0,0,0.0,0.0,2024-10-20T13:00:00Z,0,False,20,0,0,0,0,8,0,627,0,2,1,0.0,0,-29,0,29,45,False,0
7,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,False,17,0,0,0,0,9,0,618,0,0,1,0.0,0,-9,0,9,45,True,0
8,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,False,3,0,0,0,0,10,0,601,0,1,2,0.0,0,-17,0,17,45,False,0
9,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2024-11-09T17:30:00Z,0,False,5,0,0,0,0,11,0,596,0,1,2,0.0,0,-6,0,6,45,False,0
10,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2024-11-23T17:30:00Z,0,False,18,0,0,0,0,12,0,589,0,4,0,0.0,0,-8,0,8,45,True,0
11,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2024-12-01T16:00:00Z,0,False,12,0,0,0,0,13,0,585,0,0,2,0.0,0,-5,0,5,45,False,0
12,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2024-12-04T19:30:00Z,0,False,16,0,0,0,0,14,0,580,0,0,3,0.0,0,-5,0,5,45,True,0
13,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,143,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,7,0,0,0,0,15,0,574,0,2,2,0.0,0,-5,0,5,45,False,0
14,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,156,0,0,0.0,0.0,2024-12-15T16:30:00Z,0,False,14,0,0,0,0,16,0,571,0,2,1,0.0,0,-4,0,4,45,True,0
15,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,161,0,0,0.0,0.0,2024-12-21T12:30:00Z,0,False,2,0,0,0,0,17,0,564,0,1,2,0.0,0,-7,0,7,45,False,0
16,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,176,0,0,0.0,0.0,2024-12-26T12:30:00Z,0,False,8,0,0,0,0,18,0,552,0,1,1,0.0,0,-10,0,10,45,True,0
17,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,187,0,0,0.0,0.0,2024-12-29T14:30:00Z,0,False,11,0,0,0,0,19,0,549,0,2,0,0.0,0,-5,0,5,45,False,0
18,0,0,0,0,0.0,626,0.0,0.0,0.0,0.0,197,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,19,0,0,0,0,20,0,543,0,1,4,0.0,0,-6,0,6,45,True,0
