assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,2,0,0.0,102,0.0,0.0,0.0,0.56,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,6,0,0,0,0,0,0,0,False,7,0,0,0,0,1,0,3770,0,1,2,0.0,1,0,0,0,50,True,0
1,0,0,1,0,0.5,102,0.02,0.02,0.0,0.13,16,0,0,0.0,0.0,2024-08-25T15:30:00Z,17,0,0,0,0,0,0,0,False,12,0,0,0,0,2,0,3946,0,0,2,0.0,1,-493,190,683,50,False,0
2,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,3,0,3926,0,1,3,0.0,0,-300,458,758,49,True,0
3,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,4,0,2531,0,1,2,0.0,0,-1379,0,1379,49,False,0
4,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,5,0,2213,0,1,3,0.0,0,-356,0,356,49,False,0
5,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,6,0,1996,0,1,1,0.0,0,-218,0,218,49,True,0
6,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,7,0,1871,0,3,5,0.0,0,-134,0,134,49,True,0
7,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2024-10-19T14:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,8,0,1776,0,1,2,0.0,0,-95,0,95,49,False,0
8,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,9,0,1737,0,3,4,0.0,0,-41,0,41,49,True,0
9,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,10,0,1692,0,1,2,0.0,0,-42,0,42,49,False,0
10,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,101,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,11,0,1669,0,2,3,0.0,0,-26,0,26,49,True,0
11,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,12,0,1623,0,0,0,0.0,0,-46,0,46,49,False,0
12,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,13,0,1613,0,1,4,0.0,0,-13,0,13,49,True,0
13,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,132,0,0,0.0,0.0,2024-12-04T20:15:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,14,0,1603,0,1,3,0.0,0,-11,0,11,49,False,0
14,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,142,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,15,0,1578,0,2,4,0.0,0,-24,0,24,49,True,0
15,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,16,0,1564,0,1,2,0.0,0,-15,0,15,49,False,0
16,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,162,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,17,0,1551,0,2,0,0.0,0,-12,0,12,49,True,0
17,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2024-12-27T19:30:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,18,0,1533,0,0,0,0.0,0,-19,0,19,49,False,0
18,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2025-01-01T17:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,19,0,1522,0,3,1,0.0,0,-12,0,12,49,True,0
19,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,20,0,1503,0,5,0,0.0,0,-19,0,19,49,False,0
20,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2025-01-14T19:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,21,0,1498,0,2,2,0.0,0,-6,0,6,49,True,0
21,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,212,0,0,0.0,0.0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,22,0,1493,0,2,0,0.0,0,-5,0,5,49,True,0
22,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2025-01-26T14:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,23,0,1485,0,2,1,0.0,0,-8,0,8,49,False,0
