assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id
0,0,0,-1,0,0.0,225,0.0,0.0,0.0,0.07,3,1,0,0.0,0.0,2024-08-17T14:00:00Z,5,0,0,0,0,0,0,0,False,5,0,0,0,0,1,0,43592,0,3,0,0.0,1,0,0,0,40,True,0,225
1,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,2,0,57099,0,0,4,0.0,0,2961,6673,3712,40,False,0,225
2,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,24,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,3,0,57395,0,3,2,0.0,0,-1535,5113,6648,40,True,0,225
3,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2024-09-14T16:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,4,0,41242,0,2,3,0.0,0,-15557,0,15557,40,False,0,225
4,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,5,0,36730,0,1,1,0.0,0,-5013,0,5013,40,False,0,225
5,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,6,0,32807,0,1,2,0.0,0,-3982,0,3982,40,True,0,225
6,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2024-10-05T16:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,7,0,30132,0,0,0,0.0,0,-2747,0,2747,40,True,0,225
7,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2024-10-19T14:15:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,8,0,28139,0,2,0,0.0,0,-2042,0,2042,40,False,0,225
8,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2024-10-26T16:30:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,9,0,26821,0,1,1,0.0,0,-1327,0,1327,40,True,0,225
9,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,10,0,25305,0,0,1,0.0,0,-1522,0,1522,40,False,0,225
