assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position,team,fpl_name
0,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,1,0,8033,0,1,2,0.0,0,0,0,0,45,True,0,92,,,Rico Henry
1,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,2,0,6426,0,0,2,0.0,0,-1755,58,1813,45,False,0,92,,,Rico Henry
2,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,3,0,5568,0,1,3,0.0,0,-946,152,1098,44,True,0,92,,,Rico Henry
3,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,4,0,4895,0,1,2,0.0,0,-746,228,974,44,False,0,92,,,Rico Henry
4,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,5,0,4522,0,1,3,0.0,0,-399,44,443,44,False,0,92,,,Rico Henry
5,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,6,0,4118,0,1,1,0.0,0,-419,69,488,44,True,0,92,,,Rico Henry
6,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,7,0,3860,0,3,5,0.0,0,-270,59,329,43,True,0,92,,,Rico Henry
7,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2024-10-19T14:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,8,0,3784,0,1,2,0.0,0,-123,131,254,43,False,0,92,,,Rico Henry
8,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,9,0,3682,0,3,4,0.0,0,-104,77,181,43,True,0,92,,,Rico Henry
9,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,10,0,3542,0,1,2,0.0,0,-143,51,194,43,False,0,92,,,Rico Henry
10,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,101,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,11,0,3431,0,2,3,0.0,0,-111,30,141,43,True,0,92,,,Rico Henry
11,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,12,0,3307,0,0,0,0.0,0,-136,26,162,43,False,0,92,,,Rico Henry
12,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,13,0,3198,0,1,4,0.0,0,-112,13,125,43,True,0,92,,,Rico Henry
13,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,132,0,0,0.0,0.0,2024-12-04T20:15:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,14,0,3109,0,1,3,0.0,0,-93,14,107,43,False,0,92,,,Rico Henry
14,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,142,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,15,0,3035,0,2,4,0.0,0,-79,13,92,43,True,0,92,,,Rico Henry
15,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,16,0,2962,0,1,2,0.0,0,-79,12,91,43,False,0,92,,,Rico Henry
16,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,162,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,17,0,2920,0,2,0,0.0,0,-46,33,79,43,True,0,92,,,Rico Henry
17,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2024-12-27T19:30:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,18,0,2829,0,0,0,0.0,0,-89,15,104,43,False,0,92,,,Rico Henry
18,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2025-01-01T17:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,19,0,2765,0,3,1,0.0,0,-68,9,77,43,True,0,92,,,Rico Henry
19,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,20,0,2716,0,5,0,0.0,0,-57,20,77,43,False,0,92,,,Rico Henry
20,0,0,3,0,0.3,92,0.0,0.0,0.0,0.26,202,0,0,0.1,1.0,2025-01-14T19:30:00Z,3,0,0,0,0,0,0,0,False,13,0,0,0,0,21,0,2960,0,2,2,0.0,1,188,288,100,43,True,0,92,,,Rico Henry
21,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,212,0,0,0.0,0.0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,22,0,3202,0,2,0,0.0,0,199,293,94,43,True,0,92,,,Rico Henry
22,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2025-01-26T14:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,23,0,3450,0,2,1,0.0,0,173,333,160,43,False,0,92,,,Rico Henry
23,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,24,0,3318,0,2,0,0.0,0,-150,96,246,43,True,0,92,,,Rico Henry
24,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2025-02-15T15:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,25,0,3113,0,1,0,0.0,0,-212,8,220,43,False,0,92,,,Rico Henry
25,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,257,0,0,0.0,0.0,2025-02-21T20:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,26,0,3041,0,4,0,0.0,0,-79,8,87,43,False,0,92,,,Rico Henry
26,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,261,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,27,0,2983,0,1,1,0.0,0,-56,9,65,43,True,0,92,,,Rico Henry
27,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,271,0,0,0.0,0.0,2025-03-08T17:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,28,0,2925,0,1,0,0.0,0,-63,12,75,43,True,0,92,,,Rico Henry
28,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2025-03-15T17:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,29,0,2852,0,2,1,0.0,0,-54,8,62,43,False,0,92,,,Rico Henry
29,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,30,0,2864,0,1,2,0.0,0,-11,35,46,43,False,0,92,,,Rico Henry
30,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2025-04-06T13:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,31,0,2836,0,0,0,0.0,0,-30,9,39,43,True,0,92,,,Rico Henry
31,0,0,0,0,0.0,92,0.0,0.0,0.0,0.0,311,0,0,0.0,0.0,2025-04-12T16:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,32,0,2867,0,1,1,0.0,0,22,54,32,43,False,0,92,,,Rico Henry
