assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2025-01-26T14:00:00Z,0,0,0,2,0,0,0,1,False,7,0,0,0,0,23,0,0,0,2,1,0.0,8,0,0,0,8,False,0
1,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,0,0,0,1,0,0,0,False,18,0,0,0,0,24,0,13071,0,2,0,0.0,0,-300,508,808,8,True,0
2,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2025-02-15T15:00:00Z,0,1,0,1,0,0,0,1,False,19,0,0,0,0,25,0,24407,0,1,0,0.0,9,-3366,1496,4862,8,False,0
3,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,257,0,0,0.0,0.0,2025-02-21T20:00:00Z,0,1,0,4,0,0,0,1,False,11,0,0,0,0,26,0,60155,0,4,0,0.0,12,14056,15646,1590,8,False,0
4,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,261,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,1,1,0,0,0,0,False,8,0,0,0,0,27,0,52384,0,1,1,0.0,4,133,5475,5342,8,True,0
5,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,271,0,0,0.0,0.0,2025-03-08T17:30:00Z,0,0,0,0,1,0,0,0,False,2,0,0,0,0,28,0,28415,0,1,0,0.0,0,-5262,1435,6697,8,True,0
6,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2025-03-15T17:30:00Z,0,0,0,2,0,0,0,1,False,3,0,0,0,0,29,0,11969,0,2,1,0.0,8,-117,1464,1581,8,False,0
7,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,1,1,0,0,0,False,15,0,0,0,0,30,0,4670,0,1,2,0.0,1,-225,375,600,8,False,0
8,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2025-04-06T13:00:00Z,0,1,1,0,0,1,0,0,False,6,0,0,0,0,31,0,8849,0,0,0,0.0,10,379,677,298,8,True,0
9,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,311,0,0,0.0,0.0,2025-04-12T16:30:00Z,0,0,1,1,0,1,0,0,False,1,0,0,0,0,32,0,2117,0,1,1,0.0,9,-6125,134,6259,8,False,0
10,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,322,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,4,0,0,0,1,False,5,0,0,0,0,33,0,1758,0,2,4,0.0,10,-486,144,630,8,True,0
11,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,338,0,0,0.0,0.0,2025-05-01T18:30:00Z,0,1,0,2,0,0,1,1,False,16,0,0,0,0,34,0,11190,0,2,0,0.0,20,5816,5952,136,8,False,0
12,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,343,0,0,0.0,0.0,2025-05-04T13:00:00Z,0,0,0,4,0,0,0,1,False,14,0,0,0,0,35,0,28161,0,3,4,0.0,10,2051,3142,1091,8,True,0
13,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,1,0,1,0,0,0,1,False,10,0,0,0,0,36,0,78465,0,1,0,0.0,9,10041,10928,887,8,False,0
14,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,363,0,0,0.0,0.0,2025-05-18T14:00:00Z,0,0,0,2,1,0,0,0,False,9,0,0,0,0,37,0,78183,0,3,2,0.0,2,-3571,2333,5904,8,True,0
15,0,0,0,0,0.0,752,0.0,0.0,0.0,0.0,380,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,1,1,0,0,0,0,False,20,0,0,0,0,38,0,49872,0,1,1,0.0,4,-7971,603,8574,8,False,0
