assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position,team
0,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,1,0,10496,0,2,0,0.0,0,0,0,0,40,True,0,170,,
1,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,2,0,8337,0,6,2,0.0,0,-2062,0,2062,40,False,0,170,,
2,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2024-09-01T12:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,3,0,7028,0,1,1,0.0,0,-1350,0,1350,40,True,0,170,,
3,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2024-09-14T19:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,4,0,6036,0,1,0,0.0,0,-1019,0,1019,40,False,0,170,,
4,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,50,0,0,0.0,0.0,2024-09-21T11:30:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,5,0,5677,0,3,0,0.0,0,-404,0,404,40,False,0,170,,
5,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,6,0,5262,0,2,4,0.0,0,-410,0,410,40,True,0,170,,
6,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2024-10-06T13:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,7,0,4960,0,1,1,0.0,0,-309,0,309,40,True,0,170,,
7,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2024-10-20T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,8,0,4713,0,1,2,0.0,0,-251,0,251,40,False,0,170,,
8,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2024-10-27T14:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,9,0,4544,0,1,2,0.0,0,-170,0,170,40,True,0,170,,
9,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,10,0,4384,0,1,1,0.0,0,-163,0,163,40,False,0,170,,
10,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,11,0,4252,0,1,1,0.0,0,-129,0,129,40,True,0,170,,
11,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,117,0,0,0.0,0.0,2024-11-23T12:30:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,12,0,4113,0,2,1,0.0,0,-147,0,147,40,False,0,170,,
12,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2024-12-01T13:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,13,0,4011,0,0,3,0.0,0,-104,0,104,40,True,0,170,,
13,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2024-12-04T19:30:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,14,0,3906,0,5,1,0.0,0,-100,0,100,40,False,0,170,,
14,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2024-12-08T16:30:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,15,0,3836,0,4,3,0.0,0,-74,0,74,40,False,0,170,,
15,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,16,0,3714,0,1,2,0.0,0,-123,0,123,40,True,0,170,,
16,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,164,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,17,0,3635,0,0,0,0.0,0,-81,0,81,40,False,0,170,,
17,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,18,0,3508,0,2,1,0.0,0,-123,0,123,40,True,0,170,,
18,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2024-12-30T19:45:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,19,0,3408,0,0,2,0.0,0,-106,0,106,40,False,0,170,,
19,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,20,0,3346,0,1,1,0.0,0,-61,0,61,40,False,0,170,,
20,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,208,0,0,0.0,0.0,2025-01-14T19:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,21,0,3288,0,2,2,0.0,0,-59,0,59,40,True,0,170,,
21,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2025-01-20T20:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,22,0,3262,0,1,3,0.0,0,-27,0,27,40,True,0,170,,
22,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,227,0,0,0.0,0.0,2025-01-25T17:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,23,0,3229,0,1,3,0.0,0,-31,0,31,40,False,0,170,,
23,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,234,0,0,0.0,0.0,2025-02-03T20:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,24,0,3190,0,1,2,0.0,0,-41,0,41,40,True,0,170,,
24,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2025-02-14T20:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,25,0,3149,0,0,3,0.0,0,-43,0,43,40,False,0,170,,
25,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2025-02-22T17:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,26,0,3120,0,1,2,0.0,0,-26,0,26,40,False,0,170,,
26,0,0,0,0,0.0,170,0.0,0.0,0.0,0.0,268,0,0,0.0,0.0,2025-02-25T20:15:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,27,0,3093,0,0,4,0.0,0,-30,0,30,40,True,0,170,,
