FPL_ID,FPL_Name,Understat_ID,Understat_Name
538,149,Mats Wieffer,12758,Mats Wieffer
539,593,Matthijs de Ligt,7902,Matthijs de Ligt
541,543,Matt Doherty,6852,Matt Doherty
543,416,Matt Targett,884,Matt Targett
544,445,Matt Turner,10700,Matt Turner
545,443,Matz Sels,6903,Matz Sels
546,650,Maxence Lacroix,8853,Maxence Lacroix
547,515,Maxwel Cornet,3278,Maxwel Cornet
548,59,Max Aarons,7688,Max Aarons
550,524,Max Kilman,7332,Max Kilman
553,757,Michael Kayode,11281,Michael Kayode
554,228,Michael Keane,1653,Michael Keane
555,512,Michail Antonio,531,Michail Antonio
556,506,Micky van de Ven,10050,Micky van de Ven
559,633,Mikel Merino,5304,Mikel Merino
560,610,Mikey Moore,12603,Mikey Moore
561,89,Mikkel Damsgaard,8859,Mikkel Damsgaard
562,70,Milos Kerkez,11709,Milos Kerkez
566,328,Mohamed Salah,1250,Mohamed Salah
567,525,Mohammed Kudus,12027,Mohammed Kudus
569,433,Morgan Gibbs-White,6857,Morgan Gibbs-White
570,54,Morgan Rogers,12412,Morgan Rogers
571,34,Moussa Diaby,6556,Moussa Diaby
573,179,Mykhailo Mudryk,11305,Mykhailo Mudryk
574,597,Myles Lewis-Skelly,12272,Myles Lewis-Skelly
575,103,Myles Peart-Harris,10205,Myles Peart-Harris
576,190,Naouirou Ahamada,9274,Naouirou Ahamada
577,769,Nasser Djiga,13463,Nasser Djiga
578,196,Nathaniel Clyne,603,Nathaniel Clyne
580,341,Nathan Aké,579,Nathan Aké
581,262,Nathan Broadhead,9406,Nathan Broadhead
583,88,Nathan Collins,9733,Nathan Collins
584,546,Nathan Fraser,11210,Nathan Fraser
585,234,Nathan Patterson,10292,Nathan Patterson
588,229,Neal Maupay,3621,Neal Maupay
589,437,Neco Williams,8204,Neco Williams
590,413,Nick Pope,5552,Nick Pope
591,589,Niclas Füllkrug,6098,Niclas Füllkrug
592,180,Nicolas Jackson,10048,Nicolas Jackson
593,431,Nicolás Domínguez,8252,Nicolás Domínguez
594,765,Nico González,9802,Nico González
597,177,Noni Madueke,11357,Noni Madueke
600,594,Noussair Mazraoui,10696,Noussair Mazraoui
603,139,Odeluga Offiah,10453,Odeluga Offiah
604,198,Odsonne Edouard,3697,Odsonne Edouard
607,422,Ola Aina,725,Ola Aina
608,25,Oleksandr Zinchenko,2958,Oleksandr Zinchenko
610,501,Oliver Skipp,7198,Oliver Skipp
613,58,Ollie Watkins,8865,Ollie Watkins
615,173,Omari Kellyman,11739,Omari Kellyman
616,755,Omar Marmoush,8393,Omar Marmoush
618,651,Orel Mangala,6088,Orel Mangala
619,343,Oscar Bobb,11903,Oscar Bobb
620,565,Pablo Sarabia,2199,Pablo Sarabia
622,674,Paris Maghoma,10053,Paris Maghoma
623,125,Pascal Groß,239,Pascal Groß
624,766,Patrick Dorgu,11944,Patrick Dorgu
625,289,Patson Daka,9738,Patson Daka
626,470,Paul Onuachu,11360,Paul Onuachu
627,52,Pau Torres,6221,Pau Torres
630,495,Pedro Porro,6912,Pedro Porro
633,76,Philip Billing,6034,Philip Billing
634,348,Phil Foden,6055,Phil Foden
635,490,Pierre-Emile Højbjerg,343,Pierre-Emile Højbjerg
637,186,Raheem Sterling,618,Raheem Sterling
638,620,Ramón Sosa,13021,Ramón Sosa
639,375,Rasmus Højlund,11055,Rasmus Højlund
641,252,Raúl Jiménez,4105,Raúl Jiménez
642,172,Reece James,8067,Reece James
644,10,Reiss Nelson,6492,Reiss Nelson
645,209,Remi Matthews,9834,Remi Matthews
646,707,Remy Rees-Dottin,13307,Remy Rees-Dottin
650,578,Riccardo Calafiori,8129,Riccardo Calafiori
652,92,Rico Henry,9679,Rico Henry
653,355,Rico Lewis,10847,Rico Lewis
654,185,Robert Sánchez,9098,Robert Sánchez
655,51,Robin Olsen,6962,Robin Olsen
658,480,Rodrigo Bentancur,6108,Rodrigo Bentancur
661,730,Romain Esse,13387,Romain Esse
662,66,Romain Faivre,6420,Romain Faivre
663,627,Roman Dixon,12946,Roman Dixon
666,460,Ronnie Edwards,13239,Ronnie Edwards
667,29,Ross Barkley,592,Ross Barkley
668,473,Ross Stewart,13060,Ross Stewart
672,63,Ryan Christie,10744,Ryan Christie
673,397,Ryan Fraser,1683,Ryan Fraser
674,323,Ryan Gravenberch,10697,Ryan Gravenberch
675,467,Ryan Manning,13134,Ryan Manning
676,579,Ryan Sessegnon,6837,Ryan Sessegnon
677,602,Ryan Trevitt,11146,Ryan Trevitt
678,449,Ryan Yates,11003,Ryan Yates
683,451,Samuel Amo-Ameyaw,11618,Samuel Amo-Ameyaw
684,459,Samuel Edozie,10072,Samuel Edozie
687,204,Sam Johnstone,978,Sam Johnstone
688,278,Sam Morsy,12748,Sam Morsy
690,622,Sander Berge,8285,Sander Berge
691,417,Sandro Tonali,7958,Sandro Tonali
692,564,Santiago Bueno,10945,Santiago Bueno
696,381,Scott McTominay,5560,Scott McTominay
697,410,Sean Longstaff,7078,Sean Longstaff
699,338,Sepp van den Berg,10721,Sepp van den Berg
700,496,Sergio Reguilón,7187,Sergio Reguilón
702,781,Shumaira Mheuka,13476,Shumaira Mheuka
704,113,Simon Adingra,11710,Simon Adingra
706,132,Solly March,6049,Solly March
711,358,Stefan Ortega Moreno,8786,Stefan Ortega Moreno
712,298,Stephy Mavididi,7484,Stephy Mavididi
715,393,Sven Botman,8635,Sven Botman
720,424,Taiwo Awoniyi,7814,Taiwo Awoniyi
721,131,Tariq Lamptey,8226,Tariq Lamptey
722,538,Tawanda Chirewa,12234,Tawanda Chirewa
723,461,Taylor Harwood-Bellis,8495,Taylor Harwood-Bellis
725,20,Thomas Partey,2328,Thomas Partey
727,244,Timothy Castagne,6157,Timothy Castagne
728,509,Timo Werner,65,Timo Werner
729,226,Tim Iroegbunam,9554,Tim Iroegbunam
730,253,Tim Ream,7184,Tim Ream
732,613,Toby Collyer,12461,Toby Collyer
734,544,Tommy Doyle,8496,Tommy Doyle
736,243,Tom Cairney,6835,Tom Cairney
744,187,Tosin Adarabioyo,5590,Tosin Adarabioyo
746,311,Trent Alexander-Arnold,1791,Trent Alexander-Arnold
747,159,Trevoh Chalobah,6615,Trevoh Chalobah
749,60,Tyler Adams,7352,Tyler Adams
750,608,Tyler Dibling,10586,Tyler Dibling
753,379,Tyrell Malacia,10803,Tyrell Malacia
754,210,Tyrick Mitchell,8214,Tyrick Mitchell
755,696,Tyrique George,12573,Tyrique George
756,49,Tyrone Mings,1024,Tyrone Mings
758,116,Valentín Barco,12498,Valentín Barco
759,296,Victor Kristiansen,11367,Victor Kristiansen
760,376,Victor Lindelöf,6080,Victor Lindelöf
762,339,Virgil van Dijk,833,Virgil van Dijk
763,231,Vitalii Mykolenko,10291,Vitalii Mykolenko
