team_a,team_h,h_fdr,a_fdr,team_home,team_away
9,1,3,4,Arsenal,Fulham
19,20,2,2,Wolverhampton Wanderers,West Ham
14,16,3,4,Nottingham Forest,Manchester United
10,3,2,3,Bournemouth,Ipswich
2,5,3,3,Brighton,Aston Villa
11,13,2,4,Manchester City,Leicester
4,15,2,4,Newcastle United,Brentford
7,17,3,2,Southampton,Crystal Palace
8,12,2,5,Liverpool,Everton
18,6,3,4,Chelsea,Tottenham
