team_a,team_h,h_fdr,a_fdr,team_home,team_away
8,6,3,4,Chelsea,Everton
19,5,2,3,Brighton,West Ham
10,15,2,4,Newcastle United,Ipswich
9,17,3,1,Southampton,Fulham
11,20,1,3,Wolverhampton Wanderers,Leicester
14,3,2,3,Bournemouth,Manchester United
18,12,2,5,Liverpool,Tottenham
4,16,3,4,Nottingham Forest,Brentford
