team_a,team_h,h_fdr,a_fdr,team_home,team_away
4,11,2,2,Leicester,Brentford
14,8,3,3,Everton,Manchester United
19,1,2,4,Arsenal,West Ham
20,3,2,3,Bournemouth,Wolverhampton Wanderers
7,9,3,3,Fulham,Crystal Palace
18,10,3,2,Ipswich,Tottenham
5,17,3,2,Southampton,Brighton
6,2,4,3,Aston Villa,Chelsea
16,15,3,4,Newcastle United,Nottingham Forest
12,13,5,4,Manchester City,Liverpool
