h_team,a_team,WHH,WHD,WHA,h_fdr,a_fdr
Leicester,Brentford,0.278,0.249,0.473,2,2
Everton,Manchester United,0.365,0.306,0.329,3,3
Arsenal,West Ham,0.74,0.174,0.087,2,4
Bournemouth,Wolverhampton Wanderers,0.585,0.226,0.19,2,3
Fulham,Crystal Palace,0.464,0.272,0.264,3,3
Ipswich,Tottenham,0.271,0.256,0.473,3,2
Southampton,Brighton,0.19,0.226,0.585,3,2
Aston Villa,Chelsea,0.351,0.263,0.386,4,3
Newcastle United,Nottingham Forest,0.516,0.248,0.236,3,4
Manchester City,Liverpool,0.345,0.243,0.412,5,4
