h_team,a_team,WHH,WHD,WHA,h_fdr,a_fdr
Manchester City,Crystal Palace,0.624,0.212,0.164,3,4
Brighton,Leicester,0.732,0.173,0.095,2,3
Nottingham Forest,Everton,0.449,0.29,0.262,2,4
Southampton,Aston Villa,0.187,0.216,0.596,3,2
Arsenal,Brentford,0.615,0.22,0.164,2,4
Chelsea,Ipswich,0.695,0.188,0.117,2,4
Liverpool,West Ham,0.703,0.187,0.11,2,5
Wolverhampton Wanderers,Tottenham,0.413,0.271,0.316,3,2
Newcastle United,Manchester United,0.542,0.243,0.215,3,4
Bournemouth,Fulham,0.441,0.263,0.296,3,3
