team_a,team_h,h_fdr,a_fdr,team_home,team_away
20,13,3,4,Manchester City,Wolverhampton Wanderers
9,2,3,4,Aston Villa,Fulham
10,8,2,3,Everton,Ipswich
17,11,1,1,Leicester,Southampton
3,1,3,5,Arsenal,Bournemouth
14,4,2,3,Brentford,Manchester United
15,5,4,3,Brighton,Newcastle United
18,19,2,2,West Ham,Tottenham
12,6,5,4,Chelsea,Liverpool
16,7,4,3,Crystal Palace,Nottingham Forest
