team_a,team_h,h_fdr,a_fdr,team_home,team_away
6,5,4,3,Brighton,Chelsea
1,11,4,2,Leicester,Arsenal
10,2,2,3,Aston Villa,Ipswich
16,9,3,3,Fulham,Nottingham Forest
15,13,3,4,Manchester City,Newcastle United
3,17,3,2,Southampton,Bournemouth
4,19,2,2,West Ham,Brentford
8,7,2,3,Crystal Palace,Everton
20,12,2,5,Liverpool,Wolverhampton Wanderers
14,18,3,3,Tottenham,Manchester United
12,2,5,3,Aston Villa,Liverpool
