h_team,a_team,WHH,WHD,WHA,h_fdr,a_fdr
Arsenal,Crystal Palace,0.687,0.203,0.11,None,None
Chelsea,Everton,0.584,0.246,0.17,3,4
Brighton,West Ham,0.568,0.234,0.197,2,3
Newcastle United,Ipswich,0.766,0.156,0.078,2,4
Southampton,Fulham,0.195,0.239,0.566,3,1
Wolverhampton Wanderers,Leicester,0.596,0.234,0.17,1,3
Bournemouth,Manchester United,0.558,0.239,0.203,2,3
Liverpool,Tottenham,0.746,0.155,0.098,2,5
Nottingham Forest,Brentford,0.433,0.266,0.301,3,4
Manchester City,Wolverhampton Wanderers,0.688,0.187,0.125,None,None
