h_team,a_team,WHH,WHD,WHA,h_fdr,a_fdr
Brentford,Manchester United,0.284,0.26,0.456,3,3
Chelsea,Brighton and Hove Albion,0.527,0.243,0.231,3,4
Crystal Palace,Liverpool,0.247,0.251,0.502,4,3
Leeds United,Bournemouth,0.323,0.284,0.393,3,2
Manchester City,Burnley,0.794,0.134,0.072,2,4
Nottingham Forest,Sunderland,0.507,0.273,0.221,2,3
Tottenham,Wolverhampton Wanderers,0.636,0.211,0.153,2,3
Aston Villa,Fulham,0.403,0.299,0.299,3,4
Newcastle United,Arsenal,0.292,0.283,0.425,4,4
Everton,West Ham United,0.511,0.27,0.219,2,3
