h_team,a_team,WHH,WHD,WHA,h_fdr,a_fdr
Nottingham Forest,Manchester City,0.269,0.248,0.483,4,4
Brighton,Fulham,0.47,0.261,0.269,3,3
Crystal Palace,Ipswich,0.649,0.208,0.144,2,3
Liverpool,Southampton,0.863,0.087,0.05,2,5
Brentford,Aston Villa,0.4,0.254,0.346,3,3
Wolverhampton Wanderers,Everton,0.394,0.291,0.315,2,2
Chelsea,Leicester,0.783,0.145,0.072,2,4
Tottenham,Bournemouth,0.395,0.243,0.362,3,3
Manchester United,Arsenal,0.224,0.268,0.508,4,3
West Ham,Newcastle United,0.288,0.25,0.463,3,2
