h_team,a_team,WHH,WHD,WHA,h_fdr,a_fdr
Arsenal,Fulham,0.667,0.216,0.117,3,4
Wolverhampton Wanderers,West Ham,0.392,0.294,0.314,2,2
Nottingham Forest,Manchester United,0.439,0.27,0.291,3,4
Bournemouth,Ipswich,0.67,0.196,0.134,2,3
Brighton,Aston Villa,0.472,0.242,0.286,3,3
Manchester City,Leicester,0.791,0.136,0.073,2,4
Newcastle United,Brentford,0.548,0.226,0.226,2,4
Southampton,Crystal Palace,0.189,0.237,0.574,3,2
Liverpool,Everton,0.68,0.201,0.119,2,5
Chelsea,Tottenham,0.571,0.217,0.212,3,4
