team_a,team_h,h_fdr,a_fdr,team_home,team_away
13,16,4,4,Nottingham Forest,Manchester City
9,5,3,3,Brighton,Fulham
10,7,2,3,Crystal Palace,Ipswich
17,12,2,5,Liverpool,Southampton
2,4,3,3,Brentford,Aston Villa
8,20,2,2,Wolverhampton Wanderers,Everton
11,6,2,4,Chelsea,Leicester
3,18,3,3,Tottenham,Bournemouth
1,14,4,3,Manchester United,Arsenal
15,19,3,2,West Ham,Newcastle United
