team_a,team_h,h_fdr,a_fdr,team_home,team_away
7,13,3,4,Manchester City,Crystal Palace
11,5,2,3,Brighton,Leicester
8,16,2,4,Nottingham Forest,Everton
2,17,3,2,Southampton,Aston Villa
4,1,2,4,Arsenal,Brentford
10,6,2,4,Chelsea,Ipswich
19,12,2,5,Liverpool,West Ham
18,20,3,2,Wolverhampton Wanderers,Tottenham
14,15,3,4,Newcastle United,Manchester United
9,3,3,3,Bournemouth,Fulham
7,15,3,4,Newcastle United,Crystal Palace
