assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,pts_bps,whh,whd,wha,xg_pred,xa_pred,cs_pred,yc_pred,sv_pred,xPts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,True,,110.0,,,,,Brentford,Aston Villa,,,,,,,,,,,,,5786.0,4,3.0,3.0,28.0,,FWD,2.0,0.07,2.01,1.95,2.7,1.0,2.0,23.6,83.6,9.4,142.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,19.0,2.0,9.0,1.78,0.0,0.0,0.0,2.0,1.78,2.42,0.65,,4404092.0,2.0,0.47,3.36,2.9,4.64,4.0,2.0,31.5,97.8,25.3,191.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,2.0,23.0,2.0,15.0,2.62,0.65,0.0,1.0,2.0,2.62,3.92,0.65,,6820928.0,,0.4,0.254,0.346,0.17849574374020302,0.05421198316860811,0,0,0.0,2.8766189244666367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,True,,111.0,,,,,Brentford,Aston Villa,,,,,,,,,,,,,11772.0,4,3.0,3.0,28.0,,MID,0.0,0.05,0.13,0.08,1.63,1.0,0.0,10.2,28.2,36.4,37.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,3.0,0.0,1.0,0.11,0.31,0.0,2.0,0.0,0.11,0.39,0.39,,884501.0,0.0,0.05,0.13,0.08,2.03,2.0,0.0,10.5,31.2,36.4,37.0,156.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,2.0,4.0,0.0,1.0,0.11,0.31,0.0,2.0,0.0,0.11,0.39,0.39,,1206120.0,,0.4,0.254,0.346,-0.11777866350998639,0.07425825900214136,1,0,0.0,2.633881459456492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,True,,113.0,,,,,Brighton,Fulham,,,,,,,,,,,,,11710.0,5,3.0,3.0,28.0,,MID,0.0,0.16,0.2,0.04,0.0,0.0,0.0,3.4,4.2,12.6,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,2.0,0.05,0.15,0.0,1.0,0.0,0.05,0.68,0.63,,68205.0,0.0,0.17,0.24,0.07,2.42,4.0,0.0,4.0,4.2,13.6,24.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,3.0,0.08,0.15,0.0,1.0,0.0,0.08,0.71,0.63,,103052.0,,0.47,0.261,0.269,-0.13257981706574842,0.0514412251203854,0,0,0.0,1.491424590032414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,True,,115.0,,,,,Brighton,Fulham,,,,,,,,,,,,,10527.0,5,3.0,3.0,28.0,,MID,2.0,0.29,1.47,1.18,1.97,1.0,0.0,10.7,36.4,30.0,41.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,8.0,0.0,6.0,1.15,0.55,0.0,2.0,0.0,1.15,2.92,1.85,,50565.0,2.0,0.35,1.6,1.25,2.82,2.0,0.0,13.5,45.4,44.8,45.0,347.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,5.0,9.0,0.0,9.0,1.21,0.6,0.0,3.0,0.0,1.21,3.25,2.09,,69242.0,,0.47,0.261,0.269,-0.07071827772665987,0.07174908245877082,0,1,0.0,0.8616558587430132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4599999999999999,False,,117.0,,,,,Chelsea,Leicester,,,,,,,,,,,,,11362.0,11,2.0,4.0,28.0,,MID,0.0,0.02,0.16,0.14,2.42,4.0,0.0,2.4,6.2,5.5,14.0,130.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,3.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,0.2,0.27,0.08,,187309.0,0.0,0.02,0.16,0.14,2.56,4.0,0.0,2.7,9.4,5.6,14.0,143.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,3.0,3.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,0.2,0.27,0.08,,257186.0,,0.783,0.145,0.072,-0.1148591242312833,0.05381616692289449,0,0,0.0,1.587152879612267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4599999999999999,False,,12.0,,,,,Manchester United,Arsenal,,,,,,,,,,,,,11132.0,1,4.0,3.0,28.0,,MID,2.0,0.74,1.0,0.26,1.54,1.0,0.0,20.8,58.8,72.6,77.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,14.0,0.0,8.0,0.49,0.55,1.0,3.0,0.0,0.49,1.18,0.31,,1097947.0,2.0,0.76,1.28,0.52,1.99,1.0,1.0,27.4,98.6,88.1,88.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,21.0,1.0,11.0,0.75,0.57,1.0,4.0,1.0,0.75,1.59,0.66,,1213976.0,,0.224,0.268,0.508,-0.09704426673510841,0.1323871567297749,0,0,0.0,1.9119401365137827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,True,,120.0,,,,,Brighton,Fulham,,,,,,,,,,,,,6048.0,5,3.0,3.0,28.0,,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,4.26,8.0,0.0,4.6,39.4,6.8,0.0,180.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.9,709861.0,,0.47,0.261,0.269,-0.1762435976584702,0.016824874134907172,0,0,0.0,0.9930130364539004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,True,,121.0,,,,,Brighton,Fulham,,,,,,,,,,,,,11058.0,10,3.0,3.0,28.0,,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.71,0.43,1.05,2.0,0.0,10.5,33.0,32.1,40.0,115.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,6.0,0.0,7.0,0.3,0.5,1.0,1.0,0.0,0.3,1.07,0.94,4.0,32648.0,,0.47,0.261,0.269,-0.13373635005117912,0.05955641666973701,0,0,0.0,1.5099874997533156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,True,,122.0,,,,,Brighton,Fulham,,,,,,,,,,,,,5136.0,5,3.0,3.0,28.0,,DEF,0.0,0.01,0.01,0.0,1.19,1.0,0.0,1.5,7.0,6.1,2.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,1.95,,179370.0,0.0,0.01,0.01,0.0,1.19,1.0,0.0,1.5,7.0,6.1,2.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,1.95,,179370.0,,0.47,0.261,0.269,-0.15279112607257478,0.03241586160279981,0,0,0.0,1.1805008283729506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,True,,123.0,,,,,Brighton,Fulham,,,,,,,,,,,,,10177.0,19,3.0,3.0,28.0,,FWD,0.0,0.24,0.47,0.23,0.65,0.0,0.0,6.3,16.2,12.8,34.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,0.24,0.12,0.0,1.0,0.0,0.24,0.35,0.0,,107099.0,0.0,0.24,0.47,0.23,0.65,0.0,0.0,6.7,18.2,13.2,36.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,3.0,0.24,0.12,0.0,1.0,0.0,0.24,0.37,0.02,,130701.0,,0.47,0.261,0.269,-0.027925283144966784,0.038850517273537284,0,0,0.0,2.0048504192407446
