h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,understat_id
0,a,1.90915,1.24405,1.90915,1.24405,"{'att': 219, 'def': 22}","{'att': 225, 'def': 26}",4,10,1,1,1.8944000000000003,d,2024-08-17 14:00:00,0,1,0,1,0.6650999999999998,Bournemouth
1,h,2.53513,1.89287,2.53513,1.89287,"{'att': 276, 'def': 30}","{'att': 127, 'def': 14}",8,9,1,1,1.8522,d,2024-08-25 13:00:00,0,1,0,1,0.64226,Bournemouth
2,a,2.95688,2.55629,2.95688,2.55629,"{'att': 149, 'def': 21}","{'att': 191, 'def': 23}",7,15,3,2,1.6599,w,2024-08-31 14:00:00,1,0,0,3,0.4005899999999998,Bournemouth
3,h,1.53731,0.932726,0.77614,0.932726,"{'att': 338, 'def': 30}","{'att': 133, 'def': 14}",5,9,0,1,1.8796,l,2024-09-14 19:00:00,0,0,1,0,-0.156586,Bournemouth
4,a,1.46979,2.43731,1.46979,2.43731,"{'att': 370, 'def': 23}","{'att': 237, 'def': 20}",6,13,0,3,0.7964000000000001,l,2024-09-21 14:00:00,0,0,1,0,-0.9675200000000002,Bournemouth
5,h,1.44215,0.696068,1.44215,0.696068,"{'att': 371, 'def': 32}","{'att': 188, 'def': 16}",7,7,3,1,1.9961,w,2024-09-30 19:00:00,1,0,0,3,0.746082,Bournemouth
6,a,1.94963,0.912063,1.94963,0.912063,"{'att': 221, 'def': 26}","{'att': 201, 'def': 15}",7,2,0,1,2.1873,l,2024-10-05 14:00:00,0,0,1,0,1.037567,Bournemouth
7,h,2.18419,0.740758,1.42302,0.740758,"{'att': 247, 'def': 21}","{'att': 178, 'def': 20}",7,4,2,0,2.4646,w,2024-10-19 16:30:00,1,0,0,3,0.6822619999999999,Bournemouth
8,a,0.328651,1.974,0.328651,1.974,"{'att': 229, 'def': 26}","{'att': 186, 'def': 18}",6,16,1,1,0.267,d,2024-10-26 14:00:00,0,1,0,1,-1.645349,Bournemouth
9,h,2.4493,2.3527,2.4493,2.3527,"{'att': 301, 'def': 20}","{'att': 169, 'def': 13}",6,17,2,1,1.4571,w,2024-11-02 15:00:00,1,0,0,3,0.0966,Bournemouth
10,a,2.49234,1.56474,2.49234,1.56474,"{'att': 202, 'def': 23}","{'att': 135, 'def': 15}",6,14,2,3,2.0433,l,2024-11-09 15:00:00,0,0,1,0,0.9276,Bournemouth
11,h,1.91157,1.23059,1.91157,1.23059,"{'att': 230, 'def': 31}","{'att': 247, 'def': 19}",11,5,1,2,1.8322,l,2024-11-23 15:00:00,0,0,1,0,0.6809799999999999,Bournemouth
12,a,3.07901,0.866034,0.795501,0.866034,"{'att': 290, 'def': 27}","{'att': 181, 'def': 16}",4,8,4,2,2.7676,w,2024-11-30 15:00:00,1,0,0,3,-0.0705329999999999,Bournemouth
13,h,3.27716,0.623934,3.27716,0.623934,"{'att': 219, 'def': 31}","{'att': 97, 'def': 27}",10,11,1,0,2.7977000000000003,w,2024-12-05 20:15:00,1,0,0,3,2.653226,Bournemouth
14,a,3.49127,1.5668,3.49127,1.5668,"{'att': 164, 'def': 32}","{'att': 188, 'def': 20}",12,12,2,1,2.5853,w,2024-12-08 14:00:00,1,0,0,3,1.92447,Bournemouth
15,h,2.04842,1.81827,2.04842,1.0571,"{'att': 218, 'def': 19}","{'att': 207, 'def': 19}",10,6,1,1,1.5072,d,2024-12-16 20:00:00,0,1,0,1,0.9913200000000002,Bournemouth
16,a,1.82831,2.28533,1.06714,2.28533,"{'att': 240, 'def': 26}","{'att': 169, 'def': 23}",3,14,3,0,1.0631,w,2024-12-22 14:00:00,1,0,0,3,-1.21819,Bournemouth
17,h,1.20189,0.500066,1.20189,0.500066,"{'att': 218, 'def': 34}","{'att': 225, 'def': 19}",10,8,0,0,1.9444,d,2024-12-26 15:00:00,0,1,0,1,0.7018239999999999,Bournemouth
18,a,1.70692,0.961566,1.70692,0.961566,"{'att': 271, 'def': 26}","{'att': 215, 'def': 18}",10,5,2,2,1.9376,d,2024-12-29 15:00:00,0,1,0,1,0.745354,Bournemouth
19,h,2.61852,0.561015,2.61852,0.561015,"{'att': 107, 'def': 27}","{'att': 193, 'def': 18}",14,1,1,0,2.738,w,2025-01-04 15:00:00,1,0,0,3,2.057505,Bournemouth
20,a,1.14845,2.53808,0.387282,2.53808,"{'att': 232, 'def': 26}","{'att': 179, 'def': 19}",8,12,2,2,0.4455,d,2025-01-14 19:30:00,0,1,0,1,-2.150798,Bournemouth
21,a,2.70174,0.837801,2.70174,0.837801,"{'att': 209, 'def': 34}","{'att': 127, 'def': 16}",8,12,4,1,2.5229000000000004,w,2025-01-18 12:30:00,1,0,0,3,1.863939,Bournemouth
22,h,2.8254,0.996166,2.8254,0.996166,"{'att': 161, 'def': 21}","{'att': 153, 'def': 20}",6,12,5,0,2.5601000000000003,w,2025-01-25 15:00:00,1,0,0,3,1.829234,Bournemouth
23,h,1.65273,2.7219,1.65273,1.96073,"{'att': 213, 'def': 26}","{'att': 190, 'def': 22}",5,11,0,2,0.7025,l,2025-02-01 15:00:00,0,0,1,0,-0.308,Bournemouth
24,a,2.08722,0.974418,2.08722,0.974418,"{'att': 188, 'def': 26}","{'att': 253, 'def': 29}",3,7,3,1,2.2659,w,2025-02-15 15:00:00,1,0,0,3,1.1128019999999998,Bournemouth
25,h,0.629691,2.10124,0.629691,2.10124,"{'att': 275, 'def': 33}","{'att': 167, 'def': 31}",8,5,0,1,0.3528,l,2025-02-22 15:00:00,0,0,1,0,-1.4715490000000002,Bournemouth
26,a,1.70169,2.57927,1.70169,1.8181,"{'att': 156, 'def': 34}","{'att': 244, 'def': 21}",8,7,1,2,0.7937,l,2025-02-25 19:30:00,0,0,1,0,-0.1164100000000001,Bournemouth
27,a,2.22536,1.35053,2.22536,0.589359,"{'att': 283, 'def': 36}","{'att': 179, 'def': 26}",7,5,2,2,2.0221,d,2025-03-09 14:00:00,0,1,0,1,1.6360009999999998,Bournemouth
28,h,2.02714,1.60321,2.02714,1.60321,"{'att': 153, 'def': 21}","{'att': 156, 'def': 20}",17,8,1,2,1.677,l,2025-03-15 17:30:00,0,0,1,0,0.4239300000000001,Bournemouth
29,h,1.99637,1.41263,1.99637,1.41263,"{'att': 157, 'def': 30}","{'att': 235, 'def': 15}",7,6,1,2,1.8446,l,2025-04-02 19:45:00,0,0,1,0,0.5837399999999999,Bournemouth
30,a,1.94869,0.907832,1.94869,0.907832,"{'att': 264, 'def': 32}","{'att': 188, 'def': 23}",6,5,2,2,2.2605000000000004,d,2025-04-05 14:00:00,0,1,0,1,1.040858,Bournemouth
