id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,understat_id
0,1250,Mohamed Salah,34,3032,28,25.068650886416435,18,13.971924517303703,120,81,1,0,F M,Liverpool,19,18.21813130751252,41.93486148864031,13.314733918756248,player
1,5232,Alexander Isak,31,2552,22,21.061241772025824,6,5.267018302343786,90,39,1,0,F,Newcastle United,19,18.77773516997695,25.48809102922678,3.439236940816045,player
2,8260,Erling Haaland,28,2488,21,22.889690689742565,3,3.3539292896166444,103,26,2,0,F,Manchester City,19,20.60618413239717,22.09531505405903,3.048169631510973,player
3,4456,Chris Wood,31,2574,19,12.986801087856293,3,2.511345788836479,54,17,1,0,F S,Nottingham Forest,16,10.703294456005096,11.768618885427712,1.554637959226966,player
4,6552,Bryan Mbeumo,33,2969,18,11.675860192626716,6,9.346493707969785,72,63,2,0,D F M,Brentford,13,7.870015922933817,21.513487692922357,7.7549750143662095,player
5,5786,Yoane Wissa,30,2493,15,16.468080826103687,3,2.59277056530118,74,24,2,0,F M S,Brentford,15,16.468080826103687,21.49711155518889,3.916930017061532,player
6,7080,Matheus Cunha,29,2355,15,7.779664035886526,6,6.890430158004165,95,51,3,0,F M S,Wolverhampton Wanderers,15,7.779664035886526,17.084138486534357,6.674196948297322,player
7,8865,Ollie Watkins,34,2327,15,17.304633140563965,7,3.701185554265976,78,23,2,0,F S,Aston Villa,13,15.78229534626007,17.389121770858765,3.134095687419176,player
8,5735,Jean-Philippe Mateta,33,2480,14,14.12035165168345,2,3.713990582153201,61,27,2,0,F S,Crystal Palace,12,12.5980139169842,16.423365300521255,2.746108469553292,player
9,8497,Cole Palmer,33,2868,14,14.283512387424707,8,10.545095674693584,115,78,6,0,M S,Chelsea,11,11.238836955279112,25.800646224990487,8.741896368563175,player
10,11070,Jørgen Strand Larsen,32,2506,13,11.211825493723154,2,2.882735962048173,53,17,4,0,F S,Wolverhampton Wanderers,13,11.211825493723154,16.487674018368125,3.4084095507860184,player
11,6963,Justin Kluivert,30,2149,12,10.129414858296514,6,4.996581194922328,57,44,8,0,M S,Bournemouth,6,5.562401726841927,14.120543848723171,5.141164166852832,player
