goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,understat_id
0,0,0,0.0,10,FW,Freiburg,Eintracht Frankfurt,3,3,2024-02-18,23255,2023,642465,0.0,0,0,0,0.0,0.0,0.0,8812
1,0,1,0.0776510313153266,77,FW,FC Cologne,Eintracht Frankfurt,2,0,2024-02-03,23241,2023,638817,0.0,0,0,0,0.0776510313153266,0.0,0.0,8812
2,0,0,0.0,90,FW,Eintracht Frankfurt,Mainz 05,1,0,2024-01-26,23230,2023,636559,0.0,0,0,0,0.0,0.1031302288174629,0.1031302288174629,8812
3,0,1,0.0897181257605552,90,FW,Darmstadt,Eintracht Frankfurt,2,2,2024-01-20,23226,2023,635848,0.6858262419700623,1,2,0,0.0897181257605552,1.1632612943649292,0.4614153802394867,8812
4,0,0,0.0,64,FW,RasenBallsport Leipzig,Eintracht Frankfurt,0,1,2024-01-13,23210,2023,634819,0.0437957271933555,0,1,0,0.0,0.0437957271933555,0.0,8812
5,0,0,0.0,1,Sub,Wolverhampton Wanderers,Nottingham Forest,1,1,2023-12-09,22054,2023,628791,0.0,0,0,0,0.0,0.0,0.0,8812
6,0,0,0.0,1,Sub,Arsenal,Wolverhampton Wanderers,2,1,2023-12-02,22026,2023,626650,0.0,0,0,0,0.0,0.0,0.0,8812
7,0,0,0.0,25,Sub,Fulham,Wolverhampton Wanderers,3,2,2023-11-27,22018,2023,626127,0.0271557942032814,0,1,0,0.0,0.0,0.0,8812
8,0,1,0.2170687764883041,12,Sub,Wolverhampton Wanderers,Tottenham,2,1,2023-11-11,22014,2023,622998,0.0,0,0,0,0.2170687764883041,0.2170687764883041,0.0,8812
9,0,0,0.0,63,FW,Sheffield United,Wolverhampton Wanderers,2,1,2023-11-04,22003,2023,621485,0.3683583438396454,0,1,0,0.0,0.4473865032196045,0.0790281668305397,8812
10,0,0,0.0,6,Sub,Wolverhampton Wanderers,Newcastle United,2,2,2023-10-28,21994,2023,620122,0.0,0,0,0,0.0,0.0,0.0,8812
11,1,1,0.4821132123470306,4,Sub,Bournemouth,Wolverhampton Wanderers,1,2,2023-10-21,21975,2023,618057,0.0,0,0,1,0.4821132123470306,0.5623255968093872,0.0802123546600341,8812
12,0,1,0.1229497119784355,10,Sub,Wolverhampton Wanderers,Aston Villa,1,1,2023-10-08,21974,2023,616987,0.5960643887519836,0,1,0,0.1229497119784355,0.7190141081809998,0.0,8812
13,0,0,0.0,6,Sub,Crystal Palace,Wolverhampton Wanderers,3,2,2023-09-03,21932,2023,609361,0.0,0,0,0,0.0,0.0,0.0,8812
14,1,1,0.5301117897033691,3,Sub,Everton,Wolverhampton Wanderers,0,1,2023-08-26,22299,2023,606888,0.0,0,0,1,0.5301117897033691,0.5301117897033691,0.0,8812
15,0,0,0.0,1,Sub,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14,22284,2023,604645,0.088546484708786,0,1,0,0.0,0.088546484708786,0.0,8812
16,0,1,0.5194780230522156,48,FW,Wolverhampton Wanderers,Southampton,1,0,2022-09-03,18256,2022,547192,0.0,0,0,0,0.5194780230522156,0.0,0.0,8812
17,0,3,0.1809349954128265,90,FW,VfB Stuttgart,Freiburg,0,1,2022-08-20,19363,2022,542256,0.1061419993638992,0,3,0,0.1809349954128265,0.3925080001354217,0.1512459963560104,8812
18,0,1,0.0905753970146179,84,FW,Werder Bremen,VfB Stuttgart,2,2,2022-08-13,19354,2022,540515,0.5184260010719299,2,2,0,0.0905753970146179,0.6090019941329956,0.0,8812
19,0,1,0.1324519962072372,67,FW,VfB Stuttgart,RasenBallsport Leipzig,1,1,2022-08-07,19349,2022,539978,0.0564443990588188,1,1,0,0.1324519962072372,0.0928881019353866,0.0928881019353866,8812
20,1,4,1.0003299713134766,90,FW,VfB Stuttgart,FC Cologne,2,1,2022-05-14,17816,2021,535356,0.440530002117157,0,4,1,0.2425539940595626,0.5561550259590149,0.1066659986972808,8812
21,1,3,0.8829079866409302,81,FW,Bayern Munich,VfB Stuttgart,2,2,2022-05-08,17812,2021,533777,0.4195129871368408,0,3,1,0.8829079866409302,1.3358800411224363,0.187387004494667,8812
22,0,0,0.0,90,FW,VfB Stuttgart,Wolfsburg,1,1,2022-04-30,17799,2021,530421,0.0,0,0,0,0.0,0.0498346015810966,0.0498346015810966,8812
23,0,0,0.0,90,FW,Hertha Berlin,VfB Stuttgart,2,0,2022-04-24,17789,2021,529588,0.0580777004361152,0,3,0,0.0,0.0580777004361152,0.0,8812
24,0,1,0.1262709945440292,90,FW,Mainz 05,VfB Stuttgart,0,0,2022-04-16,17779,2021,526331,0.0,0,0,0,0.1262709945440292,0.0,0.0,8812
25,1,1,0.7577769756317139,90,FW,Arminia Bielefeld,VfB Stuttgart,1,1,2022-04-02,17759,2021,522716,0.2399439960718155,0,3,0,0.0,1.0124599933624268,0.827597975730896,8812
26,0,4,0.3424749970436096,90,FW,VfB Stuttgart,Augsburg,3,2,2022-03-19,17755,2021,521146,0.550478994846344,0,2,0,0.3424749970436096,0.8929529786109924,0.0,8812
27,1,3,0.8660249710083008,90,FW,Union Berlin,VfB Stuttgart,1,1,2022-03-12,17746,2021,519261,0.0,0,0,1,0.8660249710083008,0.7615399956703186,0.0,8812
28,1,5,0.7014639973640442,90,FW,VfB Stuttgart,Borussia M.Gladbach,3,2,2022-03-05,17737,2021,517824,0.3836750090122223,0,1,1,0.7014639973640442,0.9426220059394836,0.4749670028686523,8812
29,0,0,0.0,40,Sub,Hoffenheim,VfB Stuttgart,2,1,2022-02-25,17726,2021,515535,0.6324999928474426,1,3,0,0.0,0.1550029963254928,0.1245969980955123,8812
30,1,5,1.043280005455017,90,FW,VfB Stuttgart,Eintracht Frankfurt,2,3,2022-02-05,17701,2021,511032,0.0,0,0,1,1.043280005455017,1.4486099481582642,0.4232909977436065,8812
31,0,2,0.0602208003401756,90,FW,Freiburg,VfB Stuttgart,2,0,2022-01-22,17691,2021,509633,0.07464150339365,0,2,0,0.0602208003401756,0.0708542019128799,0.0,8812
32,0,4,0.4192459881305694,90,FW,VfB Stuttgart,RasenBallsport Leipzig,0,2,2022-01-15,17682,2021,508032,0.0,0,0,0,0.4192459881305694,0.0996564030647277,0.0461165010929107,8812
33,0,6,0.9406980276107788,90,FW,Greuther Fuerth,VfB Stuttgart,0,0,2022-01-08,17669,2021,506773,0.0,0,0,0,0.9406980276107788,0.8894420266151428,0.0782165974378585,8812
34,0,0,0.0,17,Sub,RasenBallsport Leipzig,VfB Stuttgart,4,0,2021-08-20,17525,2021,476598,0.0,0,0,0,0.0,0.0,0.0,8812
35,0,2,0.0717236995697021,90,FW,VfB Stuttgart,Arminia Bielefeld,0,2,2021-05-22,15445,2020,472637,0.0,0,0,0,0.0717236995697021,0.3857389986515045,0.3140150010585785,8812
36,1,2,0.1083360016345977,84,FW,Borussia M.Gladbach,VfB Stuttgart,1,2,2021-05-15,15429,2020,470783,0.2014580070972442,0,3,1,0.1083360016345977,0.2532149851322174,0.1280770003795623,8812
37,1,4,0.8647559881210327,90,FW,VfB Stuttgart,Augsburg,2,1,2021-05-07,15427,2020,468212,0.2093890011310577,1,2,1,0.8647559881210327,1.058519959449768,0.6642630100250244,8812
38,0,0,0.0,75,FW,RasenBallsport Leipzig,VfB Stuttgart,2,0,2021-04-25,15410,2020,466089,0.0,0,0,0,0.0,0.0,0.0,8812
39,0,2,0.3885749876499176,81,FW,VfB Stuttgart,Wolfsburg,1,3,2021-04-21,15409,2020,464437,0.0,0,0,0,0.3885749876499176,0.5434229969978333,0.1548479944467544,8812
40,0,0,0.0,90,FW,Union Berlin,VfB Stuttgart,2,1,2021-04-17,15398,2020,462819,0.5422689914703369,1,2,0,0.0,0.6459699869155884,0.103702001273632,8812
41,1,2,0.0369188003242015,90,FW,VfB Stuttgart,Borussia Dortmund,2,3,2021-04-10,15391,2020,461339,0.0878536030650138,0,1,1,0.0369188003242015,0.6431530117988586,0.5355929732322693,8812
42,0,2,0.0653377994894981,90,FW,VfB Stuttgart,Werder Bremen,1,0,2021-04-04,15381,2020,460272,0.0,0,0,0,0.0653377994894981,0.1492020040750503,0.0838646963238716,8812
43,0,2,0.7598569989204407,90,FW,Bayern Munich,VfB Stuttgart,4,0,2021-03-20,15365,2020,458138,0.0482209995388984,0,1,0,0.7598569989204407,0.8080779910087585,0.0,8812
44,1,2,0.4300220012664795,90,FW,VfB Stuttgart,Hoffenheim,2,0,2021-03-14,15364,2020,457222,0.0362395010888576,0,1,1,0.4300220012664795,0.9780840277671814,0.511821985244751,8812
45,1,3,0.6861159801483154,89,FW,Eintracht Frankfurt,VfB Stuttgart,1,1,2021-03-06,15355,2020,454628,0.0,0,0,1,0.6861159801483154,0.700626015663147,0.0145097998902201,8812
46,1,4,1.2522499561309814,87,FW,VfB Stuttgart,Schalke 04,5,1,2021-02-27,15346,2020,452171,0.0,0,0,1,1.2522499561309814,1.288509964942932,0.0764122009277343,8812
47,1,2,0.1022159978747367,74,FW,FC Cologne,VfB Stuttgart,0,1,2021-02-20,15335,2020,450604,0.1841170042753219,0,2,1,0.1022159978747367,0.3530560135841369,0.1540589928627014,8812
48,1,4,1.0689300298690796,90,FW,VfB Stuttgart,Hertha Berlin,1,1,2021-02-13,15328,2020,449005,0.0760757029056549,0,1,1,1.0689300298690796,0.4751319885253906,0.0760757029056549,8812
49,2,4,0.7658489942550659,69,Sub,Bayer Leverkusen,VfB Stuttgart,5,2,2021-02-06,15312,2020,447635,0.0,0,0,2,0.7658489942550659,0.6913040280342102,0.1288679987192154,8812
50,1,3,0.6063179969787598,90,FW,VfB Stuttgart,Mainz 05,2,0,2021-01-29,15310,2020,445359,0.018691100180149,0,1,1,0.6063179969787598,0.5707039833068848,0.0594069994986057,8812
51,0,1,0.1008720025420188,21,Sub,Freiburg,VfB Stuttgart,2,1,2021-01-23,15296,2020,444077,0.0,0,0,0,0.1008720025420188,0.1008720025420188,0.0,8812
