assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,8,0,4.8,359,0.01,0.01,0.0,0.87,25,1,0,0.9,4.6,2024-08-31,69,0,0,0,0,0,0,0,False,9,0,0,0,0,3,0,8123,1,1,1,0.0,2,-715,490,1205,5.0,True,0,359,,,0,0,0.0,72,DMC,Ipswich,Fulham,1,1,26625,2024,671786,0.0,0,0,0,0.0,0.0,0.0,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,3,2,3,0.2,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.4218289085545723,2.0,0.316,0.271,0.413
0,0,8,1,14.8,359,0.03,0.03,0.0,1.66,33,0,0,3.1,15.8,2024-09-14,90,0,0,0,0,0,0,0,False,5,0,0,0,0,4,0,8378,1,0,0,0.0,2,-296,753,1049,5.0,False,1,359,,,0,0,0.0,90,DMC,Brighton and Hove Albion,Ipswich,0,0,26633,2024,673662,0.0180300530046224,0,1,0,0.0,0.0231480505317449,0.0231480505317449,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,2,3,4,0.5,MID,0.0,0.01,0.01,0.0,0.87,1.0,0.0,0.9,4.6,4.8,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.29,0.33,0.0,0.3,1.53,1.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.17,0.2,0.0,0.18,0.92,0.96,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,255.0,-0.1642619311875693,2.0,0.685,0.189,0.126
0,0,18,0,2.8,359,0.02,0.04,0.02,0.67,56,2,0,2.3,13.6,2024-09-29,68,0,0,0,0,0,0,0,False,2,0,0,0,0,6,0,7253,1,2,2,7.0,2,-1390,74,1464,5.0,True,0,359,,,0,1,0.0185753908008337,72,DMC,Ipswich,Aston Villa,2,2,26659,2024,678365,0.0,0,0,0,0.0185753908008337,0.1763113290071487,0.1763113290071487,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,3,2,6,0.6,MID,1.0,0.03,0.03,0.0,1.66,0.0,0.0,3.1,15.8,14.8,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.02,0.02,0.5,0.33,0.01,0.01,0.0,0.84,0.33,0.0,1.33,6.8,6.53,0.0,53.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.33,0.33,1.33,0.0,0.0,0.0,0.01,0.0,0.0,0.33,0.0,0.0,0.01,0.01,0.23,0.2,0.01,0.01,0.0,0.51,0.2,0.0,0.8,4.08,3.92,0.0,31.8,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.14,-1125.0,-0.9037711313394018,2.0,0.236,0.252,0.511
0,0,10,0,1.7,359,0.02,0.05,0.03,3.62,70,4,0,1.0,6.8,2024-10-05,73,0,0,0,0,0,0,0,False,19,0,0,0,0,7,0,7458,1,1,4,1.0,2,8,624,616,4.9,False,0,359,,,0,1,0.0218622460961341,77,DMC,West Ham United,Ipswich,4,1,26665,2024,679504,0.0,0,0,0,0.0218622460961341,0.3929031789302826,0.3710409104824066,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,2,2,7,1.0,MID,0.0,0.02,0.04,0.02,0.67,2.0,0.0,2.3,13.6,2.8,7.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.18,0.6,0.33,0.02,0.03,0.01,1.07,1.0,0.0,2.1,11.33,7.47,2.33,75.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,2.0,0.0,0.33,0.01,0.01,0.0,0.0,0.33,0.0,0.01,0.07,0.07,0.43,0.2,0.01,0.02,0.0,0.64,0.6,0.0,1.26,6.8,4.48,1.4,45.4,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.6,0.6,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.04,0.04,0.26,205.0,0.0064516129032258,2.0,0.529,0.251,0.22
0,0,12,0,18.5,359,0.12,0.26,0.14,1.17,73,2,0,2.5,3.6,2024-10-19,70,0,0,0,0,0,0,0,False,8,0,0,0,0,8,0,7651,1,2,0,3.0,2,37,451,414,4.9,True,0,359,,,0,1,0.0840629637241363,77,DMC,Ipswich,Everton,0,2,26674,2024,681418,0.0767478197813034,0,1,0,0.0840629637241363,0.3734568059444427,0.3734568059444427,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,3,2,8,2.0,MID,0.0,0.02,0.05,0.03,3.62,4.0,0.0,1.0,6.8,1.7,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.39,0.37,1.0,0.33,0.02,0.04,0.02,1.98,2.0,0.0,2.13,12.07,6.43,2.67,77.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,2.0,2.0,0.0,0.67,0.01,0.01,0.0,0.0,0.33,0.0,0.01,0.2,0.19,0.7,0.2,0.02,0.03,0.01,1.36,1.4,0.0,1.46,8.16,4.82,1.6,60.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.8,1.4,1.6,0.0,0.4,0.01,0.0,0.0,0.0,0.2,0.0,0.01,0.12,0.11,0.46,193.0,0.0427745664739884,2.0,0.398,0.287,0.315
0,0,13,0,6.6,359,0.01,0.01,0.0,4.11,83,4,0,3.1,24.0,2024-10-26,90,0,0,0,0,0,0,0,False,4,0,0,0,0,9,0,7593,1,3,4,0.0,2,-140,262,402,4.9,False,0,359,,,0,0,0.0,90,DMC,Brentford,Ipswich,4,3,26685,2024,683010,0.0,0,0,0,0.0,0.4651331305503845,0.4651331305503845,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,2,3,9,2.0,MID,0.0,0.12,0.26,0.14,1.17,2.0,0.0,2.5,3.6,18.5,3.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.08,0.08,0.0,0.0,1.0,0.0,0.08,0.37,0.37,2.0,0.0,0.05,0.12,0.06,1.82,2.67,0.0,1.93,8.0,7.67,3.67,70.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.0,2.0,0.0,1.0,0.04,0.03,0.0,0.0,0.33,0.0,0.04,0.31,0.31,1.2,0.2,0.04,0.08,0.04,1.6,1.8,0.0,1.96,8.88,8.52,2.2,74.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.2,1.4,2.0,0.0,0.6,0.02,0.02,0.0,0.0,0.4,0.0,0.02,0.19,0.19,0.86,-58.0,-0.2108433734939759,2.0,0.579,0.22,0.201
0,0,0,0,6.5,359,0.01,0.13,0.12,0.39,93,1,0,1.8,0.0,2024-11-02,76,0,0,0,0,0,0,0,False,11,0,0,0,1,10,0,7982,1,1,1,14.0,-1,251,755,504,4.9,True,0,359,,,0,3,0.1913090646266937,79,DMC,Ipswich,Leicester,1,1,26695,2024,684997,0.0,0,0,0,0.1913090646266937,0.137457937002182,0.0653064548969268,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,1,2,10,1.0,MID,0.0,0.01,0.01,0.0,4.11,4.0,0.0,3.1,24.0,6.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,2.0,0.0,0.05,0.11,0.06,2.97,3.33,0.0,2.2,11.47,8.93,1.33,77.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.67,2.0,0.0,0.67,0.04,0.03,0.0,0.0,0.33,0.0,0.04,0.41,0.4,1.67,0.2,0.04,0.08,0.04,2.25,2.4,0.0,2.4,12.76,8.88,2.2,78.2,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.6,2.0,2.0,0.0,0.6,0.02,0.02,0.0,0.0,0.4,0.0,0.02,0.29,0.28,1.22,389.0,0.1993645750595711,-1.0,0.422,0.271,0.306
0,0,5,0,1.3,359,0.01,0.01,0.0,0.09,166,0,0,0.6,4.2,2024-12-21,28,0,0,0,0,0,0,0,False,15,0,0,0,0,17,0,6001,0,4,0,0.0,1,-89,96,185,4.8,True,0,359,,,0,0,0.0,23,Sub,Ipswich,Newcastle United,0,4,26771,2024,695334,0.0,0,0,0,0.0,0.0,0.0,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,4,2,17,0.2,MID,0.0,0.01,0.13,0.12,0.39,1.0,0.0,1.8,0.0,6.5,14.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,3.0,0.19,0.0,0.0,0.0,0.0,0.0,0.19,0.14,0.07,1.0,0.0,0.05,0.13,0.09,1.89,2.33,0.0,2.47,9.2,10.53,5.67,78.67,0.0,0.0,0.0,0.33,0.0,0.0,1.0,2.0,1.67,1.0,0.0,1.33,0.09,0.03,0.0,0.0,0.33,0.0,0.09,0.33,0.3,1.67,0.0,0.04,0.1,0.06,1.99,2.6,0.0,2.14,9.6,7.22,5.0,75.4,0.0,0.0,0.0,0.2,0.0,0.0,1.0,1.8,2.2,1.4,0.0,1.2,0.06,0.02,0.0,0.0,0.2,0.0,0.06,0.31,0.29,1.32,-1981.0,-0.3167259786476868,1.0,0.2,0.253,0.548
0,0,17,0,6.4,359,0.02,0.04,0.02,1.94,171,1,0,2.5,16.6,2024-12-27,90,0,0,0,0,0,0,0,False,1,0,0,0,0,18,0,5934,1,0,1,2.0,2,-92,91,183,4.8,False,0,359,,,0,1,0.0155161684378981,90,MC,Arsenal,Ipswich,1,0,26773,2024,696416,0.0,0,0,0,0.0155161684378981,0.078332744538784,0.0628165751695633,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,2,5,18,0.0,MID,0.0,0.01,0.01,0.0,0.09,0.0,0.0,0.6,4.2,1.3,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.05,0.04,1.53,1.67,0.0,1.83,9.4,4.8,4.67,64.67,0.0,0.0,0.0,0.33,0.0,0.0,0.67,2.67,1.67,0.67,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.2,0.18,1.07,0.0,0.03,0.09,0.06,1.88,2.2,0.0,1.8,7.72,6.92,3.6,67.4,0.0,0.0,0.0,0.2,0.0,0.0,0.8,2.2,1.8,1.2,0.0,1.0,0.06,0.02,0.0,0.0,0.2,0.0,0.06,0.27,0.25,1.24,-67.0,-0.3357664233576642,2.0,0.831,0.105,0.063
0,0,3,0,0.2,359,0.0,0.0,0.0,0.15,186,0,0,0.1,0.4,2024-12-30,13,0,0,0,0,0,0,0,False,6,0,0,0,0,19,0,5958,0,0,2,0.0,1,-15,153,168,4.8,True,0,359,,,0,0,0.0,8,Sub,Ipswich,Chelsea,2,0,26787,2024,696901,0.0,0,0,0,0.0,0.0,0.0,8719,Ipswich,Kalvin Phillips,Kalvin Phillips,3,2,19,0.2,MID,0.0,0.02,0.04,0.02,1.94,1.0,0.0,2.5,16.6,6.4,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.06,0.0,0.0,0.01,0.06,0.05,0.81,0.67,0.0,1.63,6.93,4.73,5.33,64.67,0.0,0.0,0.0,0.33,0.0,0.0,0.67,1.67,0.67,0.67,0.0,1.33,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.04,0.4,0.0,0.03,0.09,0.06,1.54,1.6,0.0,2.1,9.68,7.86,3.8,70.8,0.0,0.0,0.0,0.2,0.0,0.0,0.8,2.0,1.2,1.2,0.0,1.0,0.06,0.02,0.0,0.0,0.2,0.0,0.06,0.21,0.19,1.04,24.0,-0.0467289719626168,1.0,0.144,0.197,0.659
