assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,pts_bps_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,pts_bps_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,pts_bps_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,whh,whd,wha
0,0,6,0,1.3,565,0.01,0.09,0.08,0.0,2,0,0,2.6,7.4,2024-08-17,6,0,0,0,0,0,0,0,False,1,0,0,0,0,1,0,20559,0,0,2,17.0,1,0,0,0,5.5,False,0,565,,,Pablo Sarabia,0,1,0.0411322973668575,5,Sub,Arsenal,Wolverhampton Wanderers,2,0,26604,2024,666323,0.0,0,0,0,0.0411322973668575,0.0573402903974056,0.0162079948931932,26604,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,3,5,1,1.0,MID,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.801,0.126,0.073
0,0,7,0,1.9,565,0.01,0.03,0.02,0.32,20,1,0,2.9,8.4,2024-08-25,22,0,0,0,0,0,0,0,False,6,0,0,0,0,2,0,19657,0,6,2,19.0,1,-3096,632,3728,5.5,True,0,565,,,Pablo Sarabia,0,1,0.006408791989088,13,Sub,Wolverhampton Wanderers,Chelsea,2,6,26619,2024,668745,0.0,0,0,0,0.006408791989088,0.006408791989088,0.0,26619,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,3,3,2,1.0,MID,1,0.0,0.01,0.09,0.08,0.0,0.0,0.0,2.6,7.4,1.3,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.02,1.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.87,2.47,0.43,5.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.33,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.52,1.48,0.26,3.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.2,-902.0,-0.710091743119266,0.219,0.238,0.543
0,0,5,0,43.0,565,0.36,0.36,0.0,0.26,84,1,0,5.1,3.8,2024-10-26,45,0,0,0,0,0,0,0,False,5,0,0,0,0,9,0,10047,0,2,2,4.0,1,-239,262,501,5.1,False,0,565,,,Pablo Sarabia,0,0,0.0,40,Sub,Brighton and Hove Albion,Wolverhampton Wanderers,2,2,26686,2024,683052,0.2517122328281402,0,3,0,0.0,0.1588069200515747,0.1588069200515747,26686,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,3,3,9,0.0,MID,1,0.0,0.01,0.03,0.02,0.32,1.0,0.0,2.9,8.4,1.9,19.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,1.0,0.0,0.01,0.04,0.03,0.11,0.33,0.0,1.83,5.27,1.07,12.0,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.33,0.67,0.0,0.67,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.67,0.0,0.0,0.02,0.02,0.06,0.2,0.0,1.1,3.16,0.64,7.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.4,0.0,0.4,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.4,-9610.0,-0.3132372214941022,0.581,0.209,0.209
0,0,4,0,3.9,565,0.02,0.38,0.36,1.2,100,1,0,3.1,8.4,2024-11-02,61,0,0,0,0,0,0,0,False,7,0,0,0,0,10,0,10174,1,2,2,19.0,2,14,641,627,5.1,True,0,565,,,Pablo Sarabia,0,1,0.3574825525283813,62,AMC,Wolverhampton Wanderers,Crystal Palace,2,2,26701,2024,685243,0.0,0,0,0,0.3574825525283813,0.4409233629703522,0.0834408029913902,26701,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,3,3,10,0.7,MID,2,0.0,0.36,0.36,0.0,0.26,1.0,0.0,5.1,3.8,43.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,3.0,0.0,0.0,0.16,0.16,0.0,0.0,0.13,0.16,0.03,0.19,0.67,0.0,3.53,6.53,15.4,13.33,24.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,2.0,1.0,0.0,0.67,0.02,0.08,0.0,0.0,1.0,0.0,0.02,0.07,0.06,0.67,0.0,0.08,0.1,0.02,0.12,0.4,0.0,2.12,3.92,9.24,8.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.2,0.6,0.0,0.4,0.01,0.05,0.0,0.0,0.6,0.0,0.01,0.04,0.04,0.4,127.0,0.0110410094637223,0.384,0.282,0.333
0,0,28,0,0.9,565,0.02,0.99,0.97,0.45,110,0,1,5.7,36.6,2024-11-09,45,0,0,0,0,0,0,0,False,17,0,0,0,0,11,0,11397,1,0,2,19.0,6,1022,1697,675,5.1,True,0,565,,,Pablo Sarabia,1,1,0.5329024791717529,52,AMC,Wolverhampton Wanderers,Southampton,2,0,26711,2024,686670,0.0,0,0,1,0.5329024791717529,0.5329024791717529,0.0,26711,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,1,3,11,3.5,MID,6,0.0,0.02,0.38,0.36,1.2,1.0,0.0,3.1,8.4,3.9,19.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.36,0.0,0.0,0.0,0.0,0.0,0.36,0.44,0.08,0.7,0.0,0.13,0.26,0.13,0.59,1.0,0.0,3.7,6.87,16.27,14.0,42.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.33,2.0,1.33,0.0,0.67,0.12,0.08,0.0,0.0,1.0,0.0,0.12,0.2,0.08,0.57,0.0,0.08,0.17,0.09,0.36,0.6,0.0,2.74,5.6,10.02,11.8,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.6,1.0,0.0,0.6,0.08,0.05,0.0,0.0,0.6,0.0,0.08,0.13,0.05,0.54,1223.0,0.4308600337268128,0.495,0.252,0.252
0,0,3,0,9.2,565,0.08,0.08,0.0,1.06,200,1,0,1.3,1.6,2025-01-06,15,0,0,0,0,0,0,0,False,16,0,0,0,0,20,0,7444,0,3,0,2.0,1,-206,16,222,5.0,True,0,565,,,Pablo Sarabia,0,0,0.0,13,Sub,Wolverhampton Wanderers,Nottingham Forest,0,3,26801,2024,697812,0.0,0,0,0,0.0,0.0250752568244934,0.0250752568244934,26801,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,4,3,20,0.0,MID,1,0.0,0.02,0.99,0.97,0.45,0.0,1.0,5.7,36.6,0.9,19.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,1.0,0.53,0.0,0.0,0.0,0.0,1.0,0.53,0.53,0.0,3.5,0.0,0.13,0.58,0.44,0.64,0.67,0.33,4.63,16.27,15.93,14.0,50.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,2.0,3.0,0.33,0.67,0.3,0.08,0.0,0.0,1.0,0.33,0.3,0.38,0.08,1.4,0.0,0.08,0.37,0.29,0.45,0.6,0.2,3.88,12.92,10.2,15.6,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,2.0,2.2,0.2,0.8,0.19,0.05,0.0,0.0,0.6,0.2,0.19,0.24,0.05,1.24,-3953.0,-0.865546218487395,0.289,0.298,0.414
0,0,5,0,3.6,565,0.01,0.38,0.37,0.05,210,0,0,4.6,8.4,2025-01-15,4,0,0,0,0,0,0,0,False,15,0,0,0,0,21,0,7393,0,0,3,34.0,1,-106,51,157,5.0,False,0,565,,,Pablo Sarabia,0,2,0.3666711151599884,1,Sub,Newcastle United,Wolverhampton Wanderers,3,0,26810,2024,699472,0.0,0,0,0,0.3666711151599884,0.3666711151599884,0.0,26810,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,3,4,21,0.4,MID,1,0.0,0.08,0.08,0.0,1.06,1.0,0.0,1.3,1.6,9.2,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.04,0.48,0.44,0.9,0.67,0.33,3.37,15.53,4.67,13.33,40.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,1.33,3.0,0.33,0.67,0.3,0.0,0.0,0.0,0.0,0.33,0.3,0.33,0.04,1.4,0.0,0.1,0.37,0.27,0.66,0.8,0.2,3.62,11.76,11.78,12.6,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.6,1.6,2.2,0.2,0.6,0.18,0.05,0.0,0.0,0.6,0.2,0.18,0.23,0.05,1.04,-51.0,-0.5096153846153846,0.706,0.174,0.12
0,0,7,0,12.7,565,0.04,0.04,0.0,3.07,213,3,0,1.6,2.8,2025-01-20,73,0,0,0,0,0,0,0,False,6,0,0,0,0,22,0,7421,1,1,3,0.0,2,-9,63,72,5.0,False,0,565,,,Pablo Sarabia,0,0,0.0,81,AMC,Chelsea,Wolverhampton Wanderers,3,1,26814,2024,701025,0.0268973857164382,0,1,0,0.0,0.092763252556324,0.092763252556324,26814,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,3,4,22,0.0,MID,2,0.0,0.01,0.38,0.37,0.05,0.0,0.0,4.6,8.4,3.6,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.37,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.4,0.0,0.04,0.48,0.45,0.52,0.33,0.33,3.87,15.53,4.57,18.33,21.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.67,2.67,0.33,1.0,0.3,0.0,0.0,0.0,0.0,0.33,0.3,0.31,0.01,1.3,0.0,0.1,0.44,0.34,0.6,0.6,0.2,3.96,11.76,12.12,15.6,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,1.8,2.2,0.2,0.8,0.25,0.05,0.0,0.0,0.6,0.2,0.25,0.3,0.05,0.92,28.0,-0.0666666666666666,0.692,0.164,0.145
0,0,3,0,2.8,565,0.01,0.51,0.5,1.0,230,1,0,1.1,0.0,2025-01-25,74,0,0,0,0,0,0,0,False,1,0,0,0,0,23,0,7485,1,1,0,8.0,2,9,122,113,5.0,True,0,565,,,Pablo Sarabia,0,2,0.2934664189815521,82,AMC,Wolverhampton Wanderers,Arsenal,0,1,26831,2024,701444,0.0,0,0,0,0.2934664189815521,0.3146936893463135,0.0212272517383098,26831,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,5,3,23,1.0,MID,2,0.0,0.04,0.04,0.0,3.07,3.0,0.0,1.6,2.8,12.7,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.0,0.04,0.17,0.12,1.39,1.33,0.0,2.5,4.27,8.5,12.0,30.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,2.0,1.33,0.0,0.67,0.12,0.01,0.0,0.0,0.33,0.0,0.12,0.16,0.04,0.13,0.0,0.03,0.37,0.34,1.17,1.0,0.2,3.26,11.56,6.06,14.8,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,2.0,2.4,0.2,0.8,0.25,0.01,0.0,0.0,0.2,0.2,0.25,0.29,0.04,0.92,64.0,0.0382978723404255,0.135,0.211,0.654
1,0,17,1,17.1,565,0.26,0.26,0.0,0.19,240,0,0,3.9,22.2,2025-02-01,78,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,7714,1,0,2,0.0,5,175,304,129,5.0,True,1,565,,,Pablo Sarabia,0,0,0.0,83,AMC,Wolverhampton Wanderers,Aston Villa,2,0,26841,2024,703643,0.3166633248329162,1,1,0,0.0,1.3078033924102783,0.9911401271820068,26841,Wolverhampton Wanderers,Pablo Sarabia,Pablo Sarabia,3,3,24,2.5,MID,5,0.0,0.01,0.51,0.5,1.0,1.0,0.0,1.1,0.0,2.8,8.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.29,0.0,0.0,0.0,0.0,0.0,0.29,0.31,0.02,1.0,0.0,0.02,0.31,0.29,1.37,1.33,0.0,2.43,3.73,6.37,14.0,50.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,2.0,1.67,0.0,1.33,0.22,0.01,0.0,0.0,0.33,0.0,0.22,0.26,0.04,0.47,0.0,0.03,0.4,0.37,1.13,1.0,0.2,2.86,9.88,5.84,12.6,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.6,2.4,0.2,1.0,0.24,0.01,0.0,0.0,0.2,0.2,0.24,0.27,0.03,0.98,229.0,0.4041570438799076,0.287,0.263,0.451
