assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position
0,0,0,16,0,40.5,553,0.22,0.22,0.0,4.1,4,4,0,6.1,20.4,2023-08-12,90,5,0,0,0,0,1,0,13932,1,1,4,0.0,0,0,0,0,45,False,0,553,,,Ryan Giles,0,0,0.0,90,DML,Brighton,Luton,4,1,22278,2023,603777,0.093309186398983,0,2,0,0.0,0.0865475460886955,0.0442306846380233,22278,Luton,Ryan Giles,Ryan John Giles,DEF
1,0,0,10,0,21.8,553,0.04,0.1,0.06,2.09,26,3,0,4.8,9.2,2023-08-25,90,7,0,0,0,0,3,0,13425,1,0,3,17.0,1,-812,477,1289,45,False,0,553,,,Ryan Giles,0,1,0.0736318752169609,90,DL,Chelsea,Luton,3,0,22295,2023,606601,0.0318026468157768,0,1,0,0.0736318752169609,0.1148169115185737,0.0411850400269031,22295,Luton,Ryan Giles,Ryan John Giles,DEF
2,0,0,12,0,22.9,553,0.06,0.06,0.0,0.86,38,1,0,3.7,13.6,2023-09-01,70,19,0,0,0,0,4,0,13673,1,2,1,0.0,2,-355,1025,1380,45,True,0,553,,,Ryan Giles,0,0,0.0,73,DL,Luton,West Ham,1,2,21925,2023,608279,0.0291844811290502,0,1,0,0.0,0.1365194916725158,0.1073350086808204,21925,Luton,Ryan Giles,Ryan John Giles,DEF
3,0,0,4,0,4.0,553,0.03,0.03,0.0,0.0,58,0,0,0.4,0.2,2023-09-23,18,20,0,0,0,0,6,0,15215,0,1,1,0.0,1,-754,880,1634,45,True,0,553,,,Ryan Giles,0,0,0.0,13,Sub,Luton,Wolverhampton Wanderers,1,1,21945,2023,612191,0.0,0,0,0,0.0,0.0,0.0,21945,Luton,Ryan Giles,Ryan John Giles,DEF
4,0,0,3,0,0.1,553,0.0,0.0,0.0,0.28,92,0,0,0.0,0.0,2023-10-29,11,2,0,0,0,0,10,0,11734,0,1,3,0.0,1,-894,85,979,44,False,0,553,,,Ryan Giles,0,0,0.0,10,Sub,Aston Villa,Luton,3,1,21987,2023,620470,0.0,0,0,0,0.0,0.0,0.0,21987,Luton,Ryan Giles,Ryan John Giles,DEF
5,0,0,3,0,0.5,553,0.0,0.0,0.0,0.11,118,0,0,0.1,0.0,2023-11-11,4,14,0,0,0,0,12,0,10914,0,0,1,0.0,1,-317,90,407,43,False,0,553,,,Ryan Giles,0,0,0.0,2,Sub,Manchester United,Luton,1,0,22012,2023,623256,0.0,0,0,0,0.0,0.0,0.0,22012,Luton,Ryan Giles,Ryan John Giles,DEF
6,0,0,4,0,4.6,553,0.17,0.17,0.0,1.71,133,1,0,1.0,3.4,2023-12-02,14,4,0,0,0,0,14,0,10596,0,1,3,2.0,1,-221,75,296,43,False,0,553,,,Ryan Giles,0,0,0.0,12,Sub,Brentford,Luton,3,1,22027,2023,626524,0.0,0,0,0,0.0,0.0,0.0,22027,Luton,Ryan Giles,Ryan John Giles,DEF
7,0,0,3,0,0.0,553,0.0,0.0,0.0,0.09,146,1,0,0.1,1.0,2023-12-05,2,1,0,0,0,0,15,0,10547,0,4,3,0.0,1,-72,136,208,43,True,0,553,,,Ryan Giles,0,0,0.0,1,Sub,Luton,Arsenal,3,4,22039,2023,627916,0.0,0,0,0,0.0,0.0,0.0,22039,Luton,Ryan Giles,Ryan John Giles,DEF
8,0,0,8,0,1.8,553,0.01,0.01,0.0,1.6,156,2,0,1.5,12.8,2023-12-10,83,13,0,0,0,0,16,0,10353,1,2,1,0.0,1,-222,48,270,43,True,0,553,,,Ryan Giles,0,0,0.0,87,DML,Luton,Manchester City,1,2,22050,2023,629330,0.0,0,0,0,0.0,0.0246841944754123,0.0246841944754123,22050,Luton,Ryan Giles,Ryan John Giles,DEF
9,0,0,3,0,0.6,553,0.0,0.06,0.06,0.74,175,0,0,2.6,8.4,2023-12-23,45,15,0,0,0,0,18,0,10097,0,0,1,17.0,1,-210,46,256,43,True,0,553,,,Ryan Giles,0,1,0.0735124126076698,41,Sub,Luton,Newcastle United,1,0,22069,2023,632647,0.0,0,0,0,0.0735124126076698,0.207265093922615,0.1337526887655258,22069,Luton,Ryan Giles,Ryan John Giles,DEF
10,0,0,15,0,11.9,553,0.03,0.03,0.0,2.46,190,2,0,2.8,14.2,2023-12-26,71,17,0,0,0,0,19,0,10118,1,3,2,2.0,1,-38,134,172,43,False,0,553,,,Ryan Giles,0,0,0.0,73,DML,Sheffield United,Luton,2,3,22084,2023,632963,0.0717798247933387,0,1,0,0.0,0.1749270856380462,0.1749270856380462,22084,Luton,Ryan Giles,Ryan John Giles,DEF
