assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position
0,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2023-08-19,0,13,0,0,0,0,2,0,7154,0,0,1,0.0,0,-373,146,519,40,False,0,411,,,Mark Gillespie,0,0,0,90,GK,Fulham,Brentford,0,3,22287,2023,605101,0.0,0,0,0,0,0.8103819489479065,0.8103819489479065,22287,Brentford,Mark Gillespie,Mark Flekken,GK
1,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2023-09-02,0,5,0,0,0,0,4,0,7039,0,1,3,0.0,0,-294,74,368,40,False,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Bournemouth,2,2,21928,2023,608644,0.0,0,0,0,0,0.3669611811637878,0.3669611811637878,21928,Brentford,Mark Gillespie,Mark Flekken,GK
2,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,46,0,0,0.0,0.0,2023-09-16,0,4,0,0,0,0,5,0,7102,0,0,1,0.0,0,-187,77,264,40,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Newcastle United,Brentford,1,0,21943,2023,610659,0.0,0,0,0,0,0.0,0.0,21943,Brentford,Mark Gillespie,Mark Flekken,GK
3,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2023-10-21,0,8,0,0,0,0,9,0,9316,0,0,4,0.0,0,3,384,381,39,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Burnley,3,0,21977,2023,618092,0.0,0,0,0,0,0.0,0.0,21977,Brentford,Mark Gillespie,Mark Flekken,GK
4,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2023-10-28,0,20,0,0,0,0,10,0,9301,0,2,2,0.0,0,-47,241,288,39,False,0,411,,,Mark Gillespie,0,0,0,90,GK,Chelsea,Brentford,0,2,21989,2023,619570,0.0,0,0,0,0,0.8388981223106384,0.8388981223106384,21989,Brentford,Mark Gillespie,Mark Flekken,GK
5,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,107,0,0,0.0,0.0,2023-11-04,0,1,0,0,0,0,11,0,9402,0,0,1,0.0,0,38,227,189,39,True,0,411,,,Mark Gillespie,0,0,0,53,GK,Brentford,West Ham,3,2,21995,2023,621521,0.0,0,0,0,0,0.0,0.0,21995,Brentford,Mark Gillespie,Mark Flekken,GK
6,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,127,0,0,0.0,0.0,2023-11-25,0,7,0,0,0,0,13,0,9352,0,1,4,0.0,0,-24,165,189,39,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Arsenal,0,1,22015,2023,625115,0.0,0,0,0,0,0.0206544324755668,0.0206544324755668,22015,Brentford,Mark Gillespie,Mark Flekken,GK
7,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02,0,14,0,0,0,0,14,0,9159,0,0,1,0.0,0,-195,102,297,39,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Luton,3,1,22027,2023,626498,0.0,0,0,0,0,0.0,0.0,22027,Brentford,Mark Gillespie,Mark Flekken,GK
8,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,237,0,0,0.0,0.0,2024-02-10,0,16,0,0,0,0,24,0,9026,0,3,2,0.0,0,-50,65,115,39,False,0,411,,,Mark Gillespie,0,0,0,90,GK,Wolverhampton Wanderers,Brentford,0,2,22134,2023,640257,0.0,0,0,0,0,0.0,0.0,22134,Brentford,Mark Gillespie,Mark Flekken,GK
9,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,247,0,0,0.0,0.0,2024-02-17,0,3,0,0,0,0,25,0,9172,0,2,2,0.0,0,-5,167,172,39,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Liverpool,1,4,22135,2023,641481,0.0,0,0,0,0,0.0,0.0,22135,Brentford,Mark Gillespie,Mark Flekken,GK
10,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,267,0,0,0.0,0.0,2024-03-02,0,20,0,0,0,0,27,0,9047,0,0,3,0.0,0,-18,88,106,39,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Chelsea,2,2,22155,2023,644809,0.0,0,0,0,0,0.06697778403759,0.06697778403759,22155,Brentford,Mark Gillespie,Mark Flekken,GK
11,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,297,0,0,0.0,0.0,2024-03-30,0,19,0,0,0,0,30,0,8926,0,3,4,0.0,0,-45,54,99,39,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Manchester United,1,1,22187,2023,650202,0.0781921222805976,0,1,0,0,0.2746623158454895,0.2746623158454895,22187,Brentford,Mark Gillespie,Mark Flekken,GK
12,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,315,0,0,0.0,0.0,2024-04-06,0,10,0,0,0,0,32,0,8859,0,1,0,0.0,0,-38,35,73,39,False,0,411,,,Mark Gillespie,0,0,0,90,GK,Aston Villa,Brentford,3,3,22205,2023,651694,0.0,0,0,0,0,0.0,0.0,22205,Brentford,Mark Gillespie,Mark Flekken,GK
13,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,328,0,0,0.0,0.0,2024-04-13,0,18,0,0,0,0,33,0,8839,0,0,4,0.0,0,-31,58,89,39,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Sheffield United,2,0,22217,2023,653199,0.0,0,0,0,0,0.0970434173941612,0.0970434173941612,22217,Brentford,Mark Gillespie,Mark Flekken,GK
14,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,346,0,0,0.0,0.0,2024-04-27,0,17,0,0,0,0,35,0,8663,0,1,5,0.0,0,-96,27,123,39,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Everton,Brentford,1,0,22237,2023,657165,0.0,0,0,0,0,0.0,0.0,22237,Brentford,Mark Gillespie,Mark Flekken,GK
15,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2024-05-04,0,6,0,0,0,0,36,0,8628,0,4,1,0.0,0,-44,36,80,39,False,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Fulham,0,0,22246,2023,658833,0.0,0,0,0,0,0.0,0.0,22246,Brentford,Mark Gillespie,Mark Flekken,GK
16,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,366,0,0,0.0,0.0,2024-05-11,0,5,0,0,0,0,37,0,8526,0,1,1,0.0,0,-107,56,163,39,True,0,411,,,Mark Gillespie,0,0,0,90,GK,Bournemouth,Brentford,1,2,22255,2023,660702,0.0,0,0,0,0,0.3736286461353302,0.3736286461353302,22255,Brentford,Mark Gillespie,Mark Flekken,GK
17,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,372,0,0,0.0,0.0,2024-05-19,0,4,0,0,0,0,38,0,8531,0,4,2,0.0,0,-15,67,82,39,False,0,411,,,Mark Gillespie,0,0,0,90,GK,Brentford,Newcastle United,2,4,22266,2023,663206,0.0,0,0,0,0,0.5337199568748474,0.5337199568748474,22266,Brentford,Mark Gillespie,Mark Flekken,GK
