assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position
0,0,0,26,0,23.1,599,0.11,0.47,0.36,2.8,6,4,1,10.6,42.6,2023-08-12,86,15,0,0,0,0,1,0,498593,1,1,5,40.0,7,0,0,0,65,False,0,599,,,1,3,0.3065274357795715,90,AMC,Newcastle United,Aston Villa,5,1,22281,2023,603929,0.365252822637558,0,2,1,0.3065274357795715,0.6717802286148071,0.0971870198845863,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
1,0,0,8,1,25.8,599,0.18,0.52,0.34,0.64,11,0,0,7.1,8.4,2023-08-20,63,9,0,0,0,0,2,0,820818,1,0,4,37.0,3,196218,223438,27220,65,True,0,599,,,0,3,0.2948002219200134,73,AMC,Aston Villa,Everton,4,0,22292,2023,605746,0.436418205499649,0,2,0,0.2948002219200134,1.4704887866973877,0.7392703294754028,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
2,1,2,42,0,26.8,599,0.1,0.28,0.18,0.28,25,1,1,10.1,55.8,2023-08-27,72,6,0,0,0,0,3,0,826851,1,3,1,18.0,12,-7930,84042,91972,66,False,0,599,,,1,2,0.1677733361721038,76,AMC,Burnley,Aston Villa,1,3,22302,2023,607461,1.0047519207000732,1,2,1,0.1677733361721038,1.1725252866744995,1.0047519207000732,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
3,0,0,5,0,14.4,599,0.08,0.17,0.09,2.47,37,3,0,2.7,2.8,2023-09-03,90,11,0,0,0,0,4,0,892868,1,0,3,10.0,2,43155,123955,80800,66,False,0,599,,,0,1,0.0776059105992317,90,FW,Liverpool,Aston Villa,3,0,21933,2023,609390,0.1272745132446289,0,1,0,0.0776059105992317,0.2048804312944412,0.0,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
4,1,0,21,0,27.6,599,0.34,0.45,0.11,1.17,41,1,0,6.9,23.0,2023-09-16,90,8,0,0,0,0,5,0,980024,1,1,3,18.0,5,62096,149089,86993,66,True,0,599,,,0,2,0.0862952545285224,90,AMC,Aston Villa,Crystal Palace,3,1,21938,2023,610470,0.7682520747184753,1,2,0,0.0862952545285224,0.854547381401062,0.7682520747184753,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
5,0,0,0,1,12.7,599,0.05,0.23,0.18,1.16,55,0,0,4.1,4.8,2023-09-24,80,7,0,0,0,0,6,0,1082085,1,1,0,23.0,3,94627,164805,70178,66,False,0,599,,,0,2,0.3796179294586181,83,AMC,Chelsea,Aston Villa,0,1,21947,2023,612757,0.0903491526842117,0,1,0,0.3796179294586181,0.4941540360450744,0.0241869520395994,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
6,2,0,24,0,12.1,599,0.04,0.46,0.42,1.61,61,1,0,9.5,24.0,2023-09-30,78,5,0,0,0,0,7,0,1159789,1,1,6,59.0,8,73649,169232,95583,67,True,0,599,,,0,5,0.3906803429126739,84,AMC,Aston Villa,Brighton,6,1,21955,2023,614296,0.2434852570295334,1,1,0,0.3906803429126739,1.2056933641433716,0.5715277194976807,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
7,0,0,10,0,14.2,599,0.07,0.07,0.0,0.42,80,1,0,1.9,5.2,2023-10-08,61,20,0,0,0,0,8,0,1255803,1,1,1,0.0,2,95207,313307,218100,67,False,0,599,,,0,0,0.0,66,FW,Wolverhampton Wanderers,Aston Villa,1,1,21974,2023,617000,0.2473731935024261,0,1,0,0.0,0.366030216217041,0.366030216217041,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
8,0,0,13,0,49.8,599,0.54,0.58,0.04,1.12,81,1,0,6.9,8.4,2023-10-22,84,19,0,0,0,0,9,0,1349924,1,1,4,11.0,2,81493,153048,71555,67,True,0,599,,,0,2,0.0442586243152618,87,FW,Aston Villa,West Ham,4,1,21976,2023,618974,0.7822153568267822,0,4,0,0.0442586243152618,0.8640972375869751,0.2003559321165084,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
9,1,3,37,0,16.5,599,0.32,0.63,0.31,0.17,92,1,1,8.5,33.2,2023-10-29,89,12,0,0,0,0,10,0,1358939,1,1,3,35.0,13,5161,140064,134903,67,True,0,599,,,1,2,0.1482775509357452,90,FW,Aston Villa,Luton,3,1,21987,2023,620449,0.3282880485057831,0,1,1,0.1482775509357452,1.3285859823226929,0.8733391165733337,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
10,0,0,7,0,50.3,599,0.25,0.3,0.05,0.41,108,2,0,10.2,18.4,2023-11-05,90,16,0,0,0,0,11,0,1529819,1,0,2,33.0,2,157408,194600,37192,68,False,0,599,,,0,1,0.0866348519921302,90,FW,Nottingham Forest,Aston Villa,2,0,22002,2023,622092,0.2724848389625549,0,4,0,0.0866348519921302,0.4011287093162536,0.0727565586566925,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
11,1,0,6,1,11.3,599,0.17,0.86,0.69,0.37,112,0,0,4.4,3.0,2023-11-12,61,10,0,0,0,0,12,0,1546586,1,1,3,30.0,6,18792,99189,80397,68,True,0,599,,,0,2,0.7338768839836121,67,FW,Aston Villa,Fulham,3,1,22007,2023,623905,0.1135927215218544,0,1,0,0.7338768839836121,0.8474696278572083,0.0,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
12,0,0,3,0,15.2,599,0.03,0.13,0.1,1.18,130,1,0,2.8,5.0,2023-11-26,45,18,0,0,0,0,13,0,1584190,1,2,1,8.0,1,34591,123825,89234,68,False,0,599,,,0,1,0.0608608536422252,55,FW,Tottenham,Aston Villa,1,2,22024,2023,625572,0.0999225601553917,0,1,0,0.0608608536422252,0.1607834100723266,0.0999225601553917,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
13,1,0,10,0,14.2,599,0.09,0.09,0.0,0.15,132,0,0,3.2,18.0,2023-12-03,16,3,0,0,0,0,14,0,1493722,0,2,2,0.0,4,-95965,52912,148877,68,False,0,599,,,0,0,0.0,7,Sub,Bournemouth,Aston Villa,2,2,22025,2023,627171,0.0357606448233127,1,1,0,0.0,0.0357606448233127,0.0,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
14,0,0,5,0,0.3,599,0.0,0.0,0.0,0.0,141,0,0,0.5,2.4,2023-12-06,5,13,0,0,0,0,15,0,1289171,0,0,1,2.0,1,-203107,16867,219974,68,True,0,599,,,0,0,0.0,3,Sub,Aston Villa,Manchester City,1,0,22035,2023,628065,0.0,0,0,0,0.0,0.0735536888241767,0.0735536888241767,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
15,0,0,4,0,20.8,599,0.09,0.09,0.0,0.64,151,0,0,3.2,5.2,2023-12-09,45,1,0,0,0,0,16,0,1142526,0,0,1,6.0,1,-147910,32611,180521,67,True,0,599,,,0,0,0.0,42,Sub,Aston Villa,Arsenal,1,0,22045,2023,628941,0.2150110304355621,0,2,0,0.0,0.2150110304355621,0.0,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
16,0,0,6,0,8.8,599,0.07,0.12,0.05,0.51,163,1,0,2.2,2.6,2023-12-17,64,4,0,0,0,0,17,0,1082339,1,2,1,11.0,2,-60934,63686,124620,67,False,0,599,,,0,2,0.0938258841633796,68,FW,Brentford,Aston Villa,1,2,22057,2023,630845,0.0,0,0,0,0.0938258841633796,0.1126955077052116,0.0188696254044771,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
17,0,0,2,1,5.5,599,0.04,0.14,0.1,0.0,171,0,0,4.9,4.6,2023-12-22,73,17,0,0,0,0,18,0,1067213,1,1,1,39.0,3,-25076,52254,77330,67,True,0,599,,,0,1,0.1306791007518768,76,AMC,Aston Villa,Sheffield United,1,1,22065,2023,632466,0.0,0,0,0,0.1306791007518768,0.1306791007518768,0.0,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
18,0,0,3,0,0.3,599,0.0,0.0,0.0,0.18,188,1,0,0.4,0.0,2023-12-26,13,14,0,0,0,0,19,0,1012032,0,2,3,4.0,1,-54032,21214,75246,66,False,0,599,,,0,0,0.0,9,Sub,Manchester United,Aston Villa,3,2,22082,2023,633061,0.0,0,0,0,0.0,0.0,0.0,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
19,0,0,20,0,13.5,599,0.08,1.35,1.27,0.98,191,2,1,9.5,30.8,2023-12-30,81,6,0,0,0,0,20,0,935799,1,2,3,51.0,7,-78053,23568,101621,66,True,0,599,,,1,6,1.0256989002227783,89,AMC,Aston Villa,Burnley,3,2,22085,2023,633526,0.0795115455985069,0,1,1,1.0256989002227783,0.9339130520820618,0.0,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
20,0,0,7,1,25.7,599,0.04,0.09,0.05,1.05,207,0,0,5.5,8.6,2024-01-14,63,9,0,0,0,0,21,0,990137,1,0,0,21.0,3,43434,121255,77821,66,False,0,599,,,0,1,0.0561542883515358,72,FW,Everton,Aston Villa,0,0,22098,2023,635209,0.0996254980564117,0,2,0,0.0561542883515358,0.2943779528141022,0.1947524398565292,6556,Aston Villa,Moussa Diaby,Moussa Diaby,MID
